연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,취약성지수_동일가중,취약성지수_실증가중
2017,강원특별자치도,동해시,0.0,0,1.3439542868926866,0.217878564595528,0.7113485554179262,0.5995357216034745,0.7181792821274038,0.8530809732486047
2018,강원특별자치도,동해시,0.0,0,1.3478166558736846,-0.1715219355099562,0.6598233988354024,0.29151869399950625,0.5319092032996593,0.7040471340346934
2019,강원특별자치도,동해시,0.0,0,1.3478166558736846,-0.0343611699236,0.6638779072792429,0.18688538885475484,0.5410546955210206,0.6595994765839592
2020,강원특별자치도,동해시,0.0,0,1.1210730455547473,-1.2866143578786482,0.6912197662605591,0.04317619425078306,0.1422136620468603,0.5284047313011058
2021,강원특별자치도,동해시,0.0,0,1.1210730455547473,-0.8866317762077955,0.6619774963281565,0.060114797917621365,0.23913339089818242,0.5303187401212411
2022,강원특별자치도,동해시,0.0016985566355814,1,1.1210730455547473,0.39779065365205,0.7039822447798998,0.0828285760048093,0.5764186299978766,0.5564942693434922
2023,강원특별자치도,동해시,0.0007996801705643,1,1.1222963120172573,-0.598822418866142,-0.23253627334307744,0.11858159215460737,0.10237980299066132,0.3340765474903393
2016,강원특별자치도,삼척시,0.0,0,2.2551797662482627,-1.1280294076438855,0.38376925236808673,0.5633283805260911,0.5185619978746387,1.0275051277356373
2017,강원특별자치도,삼척시,0.0,0,2.260480655895886,-1.088907252111904,0.7113485554179262,0.5966324115420668,0.6198885926859937,1.1258540540105122
2018,강원특별자치도,삼척시,0.0,0,2.262887555814788,-0.8215567321649999,0.6598233988354024,0.6205993618032221,0.6804383960721031,1.1254406639087822
2019,강원특별자치도,삼척시,0.0,0,2.262887555814788,-0.5577647831216475,0.6638779072792429,0.5164740682844711,0.7213686870642136,1.0817760777813905
