관리주기,전체등록건수,피해고사목수,감염목등록건수,경급합계,경급유효건수,평균경급,관리주기명,전체등록건수_전주기대비증감률,피해고사목수_전주기대비증감률,감염목등록건수_전주기대비증감률
2016,2211928,992098,715197,42589321,2211928,19.254388479191004,2016.5~2017.4,,,
2017,1873647,684088,679122,36242756,1873647,19.34342808437235,2017.5~2018.4,-15.293490565696533,-31.04632808452391,-5.044064782150937
2018,1894997,490936,417888,36144924,1894997,19.073868718525677,2018.5~2019.4,1.1394889218727,-28.234963922770174,-38.466431657345815
2019,1441076,406369,363779,30212027,1441076,20.964908859768673,2019.5~2020.4,-23.953652697075512,-17.225666889370505,-12.948206217933988
2020,996482,307919,280313,23437236,996482,23.51997928713213,2020.5~2021.4,-30.851530384240668,-24.226749579815387,-22.94415015710087
2021,920075,380600,347143,23313873,920075,25.339100616797545,2021.5~2022.4,-7.667674880228647,23.60393480103533,23.8412060803459
