year,sigungu_cd,buffer_m,road_inter_ha
2016,11110,100,2.8768051120937765
2016,11140,100,0.0
2016,11170,100,0.0
2016,11200,100,0.0
2016,11215,100,0.0
2016,11230,100,0.0
2016,11260,100,0.19160327296862364
2016,11290,100,3.241349159883629
2016,11305,100,0.0
2016,11320,100,0.0
2016,11350,100,12.663976074594036
2016,11380,100,0.5882016239728405
2016,11410,100,2.8128979484614707
2016,11440,100,2.513892743980104
2016,11470,100,0.0
2016,11500,100,1.177202253727145
2016,11530,100,0.0
2016,11545,100,1.3076795785895667
2016,11590,100,0.0
2016,11620,100,34.44842023589886
2016,11650,100,3.7229042518245414
2016,11680,100,1.0546851267616133
2016,11710,100,0.3836997166914151
2016,11740,100,2.2249673670557466
2016,26110,100,0.0
2016,26140,100,0.15450536485523883
2016,26170,100,12.443910101490564
2016,26200,100,0.0
2016,26230,100,8.515717584476283
2016,26260,100,8.69976597973903
2016,26290,100,10.24646340297893
2016,26320,100,10.372547450413595
2016,26350,100,75.44396032194528
2016,26380,100,0.019965259629185186
2016,26410,100,28.549708956305928
2016,26440,100,34.104252428976764
2016,26470,100,0.23542970002058705
2016,26500,100,7.836950229201237
2016,26530,100,14.26700989131906
2016,26710,100,235.4032829045854
2016,27140,100,67.4437283323397
2016,27170,100,0.7216109922877073
2016,27200,100,4.146968762644216
2016,27230,100,33.43542584408001
2016,27260,100,35.733077369002935
2016,27290,100,29.61191400668607
2016,27710,100,108.34819112705016
2016,27720,100,121.43547436604624
2016,28110,100,3.950071280257983
2016,28177,100,0.0
2016,28185,100,0.0
2016,28200,100,3.819503763074975
2016,28237,100,1.0354721440567505
2016,28245,100,0.22103064960470414
2016,28260,100,0.0
2016,28710,100,0.004353435821339367
2016,28720,100,0.0
2016,29110,100,24.357604406857128
2016,29140,100,0.047064419028566916
2016,29155,100,18.821894422353903
2016,29170,100,4.94477613310707
2016,29200,100,50.830310784154285
2016,30110,100,22.031642968504052
2016,30140,100,6.4243099032621895
2016,30170,100,9.043732371822012
2016,30200,100,35.91958802526702
2016,30230,100,6.327441923038366
2016,31110,100,41.224818430001285
2016,31140,100,15.350402258212357
2016,31170,100,0.0
2016,31200,100,51.26685263503984
2016,31710,100,309.1838644898924
2016,36110,100,23.223378337991353
2016,41111,100,3.283850440838199
2016,41113,100,3.5846836232902053
2016,41115,100,0.0
2016,41117,100,1.5630135828985836
