"year","sigungu_cd","buffer_m","road_inter_ha","pine_ha","ratio"
"2016","11110","100","2.8768051120937765","236.33805040953271","0.012172416194128597"
"2016","11110","300","11.348880935469412","236.33805040953271","0.048019694314156251"
"2016","11110","500","19.522312179214907","236.33805040953271","0.082603339349656718"
"2016","11140","100","0","5.6773289111381411","0"
"2016","11140","300","0","5.6773289111381411","0"
"2016","11140","500","0","5.6773289111381411","0"
"2016","11170","100","0","97.129619065982581","0"
"2016","11170","300","0","97.129619065982581","0"
"2016","11170","500","2.6680745497764486","97.129619065982581","0.027469216655363993"
"2016","11200","100","0","2.9984379544998263","0"
"2016","11200","300","0.1294500331403575","2.9984379544998263","0.043172490178123843"
"2016","11200","500","0.82799104845221194","2.9984379544998263","0.27614079764753052"
"2016","11215","100","0","116.90856639083398","0"
"2016","11215","300","3.7447437345956769","116.90856639083398","0.032031388718571072"
"2016","11215","500","9.0541336618132409","116.90856639083398","0.077446280810121323"
"2016","11230","100","0","9.2188424103115096","0"
"2016","11230","300","0.2546356666998521","9.2188424103115096","0.027621219169017972"
"2016","11230","500","3.1881396586259863","9.2188424103115096","0.34582863191803465"
"2016","11260","100","0.19160327296862359","79.044332668100338","0.002423997603637791"
"2016","11260","300","1.8721780445831551","79.044332668100338","0.023685164785238345"
"2016","11260","500","8.4288847823223421","79.044332668100338","0.10663490344987073"
"2016","11290","100","3.241349159883629","145.07422297425637","0.022342695300589761"
"2016","11290","300","17.713815068773108","145.07422297425637","0.12210174009973122"
"2016","11290","500","42.360253007910551","145.07422297425637","0.29199021121365881"
"2016","11305","100","0","115.00982494842624","0"
"2016","11305","300","0","115.00982494842624","0"
"2016","11305","500","0","115.00982494842624","0"
"2016","11320","100","0","73.285913701557917","0"
"2016","11320","300","0","73.285913701557917","0"
"2016","11320","500","0","73.285913701557917","0"
"2016","11350","100","12.663976074594036","342.62986980579802","0.036961097646775382"
"2016","11350","300","42.916499778644841","342.62986980579802","0.12525615412039187"
"2016","11350","500","79.858255930656924","342.62986980579802","0.23307441343605109"
"2016","11380","100","0.58820162397284048","235.43842164253857","0.0024983246993810345"
"2016","11380","300","5.3194932959604255","235.43842164253857","0.022593989795076461"
"2016","11380","500","12.153648706189976","235.43842164253857","0.051621348042515412"
"2016","11410","100","2.8128979484614707","96.352655597782203","0.02919377707869026"
"2016","11410","300","18.768008458762512","96.352655597782203","0.19478454789153216"
"2016","11410","500","37.184921865879673","96.352655597782203","0.38592524134576711"
"2016","11440","100","2.513892743980104","8.0171536831119301","0.31356424528515636"
"2016","11440","300","4.3080305854283232","8.0171536831119301","0.53735162823473814"
"2016","11440","500","7.2646769432840319","8.0171536831119301","0.90614165955019865"
"2016","11470","100","0","10.490697981839414","0"
"2016","11470","300","0.59346072615991075","10.490697981839414","0.056570185052248999"
"2016","11470","500","2.2959671685329037","10.490697981839414","0.21885742707563241"
"2016","11500","100","1.1772022537271449","26.64259896071815","0.044184963166048932"
"2016","11500","300","6.3372418687377516","26.64259896071815","0.23786124912518414"
"2016","11500","500","14.037842562208031","26.64259896071815","0.5268946390292264"
"2016","11530","100","0","16.079101788615233","0"
"2016","11530","300","0","16.079101788615233","0"
"2016","11530","500","0.0468730471283271","16.079101788615233","0.0029151533303629833"
"2016","11545","100","1.3076795785895667","25.61304832421682","0.051055210689356798"
"2016","11545","300","9.005174755763969","25.61304832421682","0.3515854357425191"
"2016","11545","500","16.519493982187477","25.61304832421682","0.64496399542449234"
"2016","11560","100","","0",""
"2016","11560","300","","0",""
"2016","11560","500","","0",""
"2016","11590","100","0","19.780235168269559","0"
"2016","11590","300","0.9955641926572848","19.780235168269559","0.050331261695731398"
"2016","11590","500","2.49134757891323","19.780235168269559","0.1259513629499068"
"2016","11620","100","34.448420235898858","309.41116624818159","0.11133541382364805"
"2016","11620","300","84.654880917123521","309.41116624818159","0.27359995420857258"
"2016","11620","500","126.40160653424512","309.41116624818159","0.40852309264384212"
"2016","11650","100","3.722904251824541","80.703725886860553","0.04613051269830741"
"2016","11650","300","18.962755910554968","80.703725886860553","0.23496753962932351"
"2016","11650","500","32.661324838630172","80.703725886860553","0.40470652971361504"
"2016","11680","100","1.0546851267616133","13.375270459764742","0.078853368231640547"
"2016","11680","300","3.3098459591786438","13.375270459764742","0.24746011448032137"
"2016","11680","500","4.462669343905489","13.375270459764742","0.33365077419032491"
"2016","11710","100","0.38369971669141512","28.518081249427841","0.013454611947257613"
"2016","11710","300","0.45688958719579148","28.518081249427841","0.016021049354607547"
"2016","11710","500","0.81919905336853394","28.518081249427841","0.028725602055887599"
"2016","11740","100","2.2249673670557466","18.168988088480827","0.1224596194471821"
"2016","11740","300","8.9213687127968893","18.168988088480827","0.4910217712373896"
"2016","11740","500","15.703035601126755","18.168988088480827","0.86427683945054212"
"2016","26110","100","0","1.9206728470322727","0"
"2016","26110","300","0","1.9206728470322727","0"
"2016","26110","500","0.4871901533246758","1.9206728470322727","0.25365598002671697"
"2016","26140","100","0.1545053648552388","174.17301864018526","0.00088707979032288107"
"2016","26140","300","0.92220336784862722","174.17301864018526","0.0052947544633980183"
"2016","26140","500","5.2062611593047858","174.17301864018526","0.029891318414019812"
"2016","26170","100","12.443910101490564","122.06456414754766","0.10194531220747056"
"2016","26170","300","32.116891210563629","122.06456414754766","0.26311396296587586"
"2016","26170","500","51.968960807431166","122.06456414754766","0.4257497757056895"
"2016","26200","100","0","290.40351465219481","0"
"2016","26200","300","0","290.40351465219481","0"
"2016","26200","500","0","290.40351465219481","0"
"2016","26230","100","8.5157175844762829","392.69690129276847","0.021685217164796357"
"2016","26230","300","38.58371057063453","392.69690129276847","0.098253157699019128"
"2016","26230","500","77.889803824505236","392.69690129276847","0.19834585800929411"
"2016","26260","100","8.6997659797390305","269.68966227763639","0.032258433290568309"
"2016","26260","300","31.215999388202302","269.68966227763639","0.11574785301212802"
"2016","26260","500","58.98495920587407","269.68966227763639","0.21871420175220158"
"2016","26290","100","10.246463402978931","420.16742169455978","0.024386620365887353"
"2016","26290","300","38.497237214511088","420.16742169455978","0.091623565337953808"
