항목,값
국가지점번호_고유값수,5619845
코드당_평균행수,1.8276904434197028
코드당_중앙행수,1.0
코드당_최대행수,14539
같은코드_좌표항상일치_비율,0.7460186179512068
같은코드_좌표불일치_코드수,1427336
연도1개에서만_등장한_코드수,4917662
연도2개이상_등장한_코드수(교차연도반복),702183
연도2개이상_등장_비율,0.12494704035431582
연도최대반복수(popcount_max),7
