발생자료에만_존재_sigungu_cd,CH2패널에만_존재_sigungu_cd
,11110
,11200
,11215
,11230
,11305
,11320
,11350
,11380
,11410
,11440
,11470
,11500
,11530
,11545
,11560
,11590
,11620
,11650
,11680
,11710
,11740
,26110
,27110
,28110
,28140
,28177
,28185
,28200
,28237
,28245
,28260
,28710
,28720
,30110
,30140
,30170
,30230
,41111
,41113
,41115
,41117
,41171
,41173
,41190
,41210
,41271
,41273
,41281
,41285
,41287
,41310
,41370
,41390
,41410
,41570
,43112
,43720
,43760
,43770
,44250
,45720
,46890
,46900
,47940
,51190
,51210
,51750
,51820
