법정동코드,법정동명,폐지여부
4772003011,경상북도 군위군 군위면 오곡동,폐지
4772003012,경상북도 군위군 군위면 정동,폐지
4772003013,경상북도 군위군 군위면 하곡동,폐지
4772003014,경상북도 군위군 군위면 용대동,폐지
4772003015,경상북도 군위군 군위면 상곡동,폐지
4772003016,경상북도 군위군 군위면 광현동,폐지
4772011000,경상북도 군위군 군위읍,폐지
4772011021,경상북도 군위군 군위읍 동부동,폐지
4772011022,경상북도 군위군 군위읍 서부동,폐지
4772011023,경상북도 군위군 군위읍 금구동,폐지
4772011024,경상북도 군위군 군위읍 무성동,폐지
4772011025,경상북도 군위군 군위읍 수서동,폐지
4772011026,경상북도 군위군 군위읍 사직동,폐지
4772011027,경상북도 군위군 군위읍 내량동,폐지
4772011028,경상북도 군위군 군위읍 외량동,폐지
4772011029,경상북도 군위군 군위읍 삽령동,폐지
4772011030,경상북도 군위군 군위읍 대북동,폐지
4772011031,경상북도 군위군 군위읍 오곡동,폐지
4772011032,경상북도 군위군 군위읍 정동,폐지
4772011033,경상북도 군위군 군위읍 하곡동,폐지
4772011034,경상북도 군위군 군위읍 용대동,폐지
4772011035,경상북도 군위군 군위읍 상곡동,폐지
4772011036,경상북도 군위군 군위읍 광현동,폐지
4772025000,경상북도 군위군 군위읍,폐지
4772025021,경상북도 군위군 군위읍 동부리,폐지
4772025022,경상북도 군위군 군위읍 서부리,폐지
4772025023,경상북도 군위군 군위읍 금구리,폐지
4772025024,경상북도 군위군 군위읍 무성리,폐지
4772025025,경상북도 군위군 군위읍 수서리,폐지
4772025026,경상북도 군위군 군위읍 사직리,폐지
4772025027,경상북도 군위군 군위읍 내량리,폐지
4772025028,경상북도 군위군 군위읍 외량리,폐지
4772025029,경상북도 군위군 군위읍 삽령리,폐지
4772025030,경상북도 군위군 군위읍 대북리,폐지
4772025031,경상북도 군위군 군위읍 오곡리,폐지
4772025032,경상북도 군위군 군위읍 정리,폐지
4772025033,경상북도 군위군 군위읍 하곡리,폐지
4772025034,경상북도 군위군 군위읍 용대리,폐지
4772025035,경상북도 군위군 군위읍 상곡리,폐지
4772025036,경상북도 군위군 군위읍 광현리,폐지
4772025037,경상북도 군위군 군위읍 대흥리,폐지
4772031000,경상북도 군위군 소보면,폐지
4772031021,경상북도 군위군 소보면 사리동,폐지
4772031022,경상북도 군위군 소보면 보현동,폐지
4772031023,경상북도 군위군 소보면 복성동,폐지
4772031024,경상북도 군위군 소보면 위성동,폐지
4772031025,경상북도 군위군 소보면 달산동,폐지
4772031026,경상북도 군위군 소보면 송원동,폐지
4772031027,경상북도 군위군 소보면 신계동,폐지
4772031028,경상북도 군위군 소보면 도산동,폐지
4772031029,경상북도 군위군 소보면 서경동,폐지
4772031030,경상북도 군위군 소보면 평호동,폐지
4772031031,경상북도 군위군 소보면 산법동,폐지
4772031032,경상북도 군위군 소보면 내의동,폐지
4772031033,경상북도 군위군 소보면 봉황동,폐지
4772031034,경상북도 군위군 소보면 봉소동,폐지
4772031035,경상북도 군위군 소보면 대흥동,폐지
4772031036,경상북도 군위군 소보면 사리리,폐지
4772031037,경상북도 군위군 소보면 보현리,폐지
4772031038,경상북도 군위군 소보면 복성리,폐지
4772031039,경상북도 군위군 소보면 위성리,폐지
4772031040,경상북도 군위군 소보면 달산리,폐지
4772031041,경상북도 군위군 소보면 송원리,폐지
4772031042,경상북도 군위군 소보면 신계리,폐지
4772031043,경상북도 군위군 소보면 도산리,폐지
4772031044,경상북도 군위군 소보면 서경리,폐지
4772031045,경상북도 군위군 소보면 평호리,폐지
4772031046,경상북도 군위군 소보면 산법리,폐지
4772031047,경상북도 군위군 소보면 내의리,폐지
4772031048,경상북도 군위군 소보면 봉황리,폐지
4772031049,경상북도 군위군 소보면 봉소리,폐지
4772031050,경상북도 군위군 소보면 대흥리,폐지
4772032000,경상북도 군위군 효령면,폐지
4772032021,경상북도 군위군 효령면 노행동,폐지
4772032022,경상북도 군위군 효령면 오천동,폐지
4772032023,경상북도 군위군 효령면 성동,폐지
4772032024,경상북도 군위군 효령면 병수동,폐지
4772032025,경상북도 군위군 효령면 불로동,폐지
4772032026,경상북도 군위군 효령면 내리동,폐지
4772032027,경상북도 군위군 효령면 중구동,폐지
4772032028,경상북도 군위군 효령면 거매동,폐지
4772032029,경상북도 군위군 효령면 장군동,폐지
4772032030,경상북도 군위군 효령면 장기동,폐지
4772032031,경상북도 군위군 효령면 금매동,폐지
4772032032,경상북도 군위군 효령면 화계동,폐지
4772032033,경상북도 군위군 효령면 마시동,폐지
4772032034,경상북도 군위군 효령면 매곡동,폐지
4772032035,경상북도 군위군 효령면 고곡동,폐지
4772032036,경상북도 군위군 효령면 노행리,폐지
4772032037,경상북도 군위군 효령면 오천리,폐지
4772032038,경상북도 군위군 효령면 성리,폐지
4772032039,경상북도 군위군 효령면 병수리,폐지
4772032040,경상북도 군위군 효령면 불로리,폐지
4772032041,경상북도 군위군 효령면 내리리,폐지
4772032042,경상북도 군위군 효령면 중구리,폐지
4772032043,경상북도 군위군 효령면 거매리,폐지
4772032044,경상북도 군위군 효령면 장군리,폐지
4772032045,경상북도 군위군 효령면 장기리,폐지
4772032046,경상북도 군위군 효령면 금매리,폐지
4772032047,경상북도 군위군 효령면 화계리,폐지
4772032048,경상북도 군위군 효령면 마시리,폐지
4772032049,경상북도 군위군 효령면 매곡리,폐지
4772032050,경상북도 군위군 효령면 고곡리,폐지
4772033000,경상북도 군위군 부계면,폐지
4772033001,경상북도 군위군 부계면 고곡동,폐지
4772033002,경상북도 군위군 부계면 매곡동,폐지
4772033021,경상북도 군위군 부계면 창평동,폐지
4772033022,경상북도 군위군 부계면 가호동,폐지
4772033023,경상북도 군위군 부계면 춘산동,폐지
4772033024,경상북도 군위군 부계면 대율동,폐지
4772033025,경상북도 군위군 부계면 동산동,폐지
4772033026,경상북도 군위군 부계면 남산동,폐지
4772033027,경상북도 군위군 부계면 명산동,폐지
4772033028,경상북도 군위군 부계면 신화동,폐지
4772033029,경상북도 군위군 부계면 창평리,폐지
4772033030,경상북도 군위군 부계면 가호리,폐지
4772033031,경상북도 군위군 부계면 춘산리,폐지
4772033032,경상북도 군위군 부계면 대율리,폐지
4772033033,경상북도 군위군 부계면 동산리,폐지
4772033034,경상북도 군위군 부계면 남산리,폐지
4772033035,경상북도 군위군 부계면 명산리,폐지
4772033036,경상북도 군위군 부계면 신화리,폐지
4772034000,경상북도 군위군 우보면,폐지
4772034021,경상북도 군위군 우보면 나호동,폐지
4772034022,경상북도 군위군 우보면 이화동,폐지
4772034023,경상북도 군위군 우보면 두북동,폐지
4772034024,경상북도 군위군 우보면 선곡동,폐지
4772034025,경상북도 군위군 우보면 미성동,폐지
4772034026,경상북도 군위군 우보면 모산동,폐지
4772034027,경상북도 군위군 우보면 문덕동,폐지
4772034028,경상북도 군위군 우보면 달산동,폐지
4772034029,경상북도 군위군 우보면 봉산동,폐지
4772034030,경상북도 군위군 우보면 나호리,폐지
4772034031,경상북도 군위군 우보면 이화리,폐지
4772034032,경상북도 군위군 우보면 두북리,폐지
4772034033,경상북도 군위군 우보면 선곡리,폐지
4772034034,경상북도 군위군 우보면 미성리,폐지
4772034035,경상북도 군위군 우보면 모산리,폐지
4772034036,경상북도 군위군 우보면 문덕리,폐지
4772034037,경상북도 군위군 우보면 달산리,폐지
4772034038,경상북도 군위군 우보면 봉산리,폐지
4772035000,경상북도 군위군 의흥면,폐지
4772035021,경상북도 군위군 의흥면 읍내동,폐지
4772035022,경상북도 군위군 의흥면 수북동,폐지
4772035023,경상북도 군위군 의흥면 수서동,폐지
4772035024,경상북도 군위군 의흥면 이지동,폐지
4772035025,경상북도 군위군 의흥면 파전동,폐지
4772035026,경상북도 군위군 의흥면 신덕동,폐지
4772035027,경상북도 군위군 의흥면 지호동,폐지
4772035028,경상북도 군위군 의흥면 연계동,폐지
4772035029,경상북도 군위군 의흥면 매성동,폐지
4772035030,경상북도 군위군 의흥면 원산동,폐지
4772035031,경상북도 군위군 의흥면 금양동,폐지
4772035032,경상북도 군위군 의흥면 읍내리,폐지
4772035033,경상북도 군위군 의흥면 수북리,폐지
4772035034,경상북도 군위군 의흥면 수서리,폐지
4772035035,경상북도 군위군 의흥면 이지리,폐지
4772035036,경상북도 군위군 의흥면 파전리,폐지
4772035037,경상북도 군위군 의흥면 신덕리,폐지
4772035038,경상북도 군위군 의흥면 지호리,폐지
4772035039,경상북도 군위군 의흥면 연계리,폐지
4772035040,경상북도 군위군 의흥면 매성리,폐지
4772035041,경상북도 군위군 의흥면 원산리,폐지
4772035042,경상북도 군위군 의흥면 금양리,폐지
4772036000,경상북도 군위군 산성면,폐지
4772036001,경상북도 군위군 산성면 금양동,폐지
4772036002,경상북도 군위군 산성면 원산동,폐지
4772036021,경상북도 군위군 산성면 백학동,폐지
4772036022,경상북도 군위군 산성면 삼산동,폐지
4772036023,경상북도 군위군 산성면 봉림동,폐지
4772036024,경상북도 군위군 산성면 무암동,폐지
4772036025,경상북도 군위군 산성면 운산동,폐지
4772036026,경상북도 군위군 산성면 화본동,폐지
4772036027,경상북도 군위군 산성면 화전동,폐지
4772036028,경상북도 군위군 산성면 백학리,폐지
4772036029,경상북도 군위군 산성면 삼산리,폐지
4772036030,경상북도 군위군 산성면 봉림리,폐지
4772036031,경상북도 군위군 산성면 무암리,폐지
4772036032,경상북도 군위군 산성면 운산리,폐지
4772036033,경상북도 군위군 산성면 화본리,폐지
4772036034,경상북도 군위군 산성면 화전리,폐지
4772037000,경상북도 군위군 고로면,폐지
4772037021,경상북도 군위군 고로면 화수동,폐지
4772037022,경상북도 군위군 고로면 화북동,폐지
4772037023,경상북도 군위군 고로면 괴산동,폐지
4772037024,경상북도 군위군 고로면 학성동,폐지
4772037025,경상북도 군위군 고로면 장곡동,폐지
4772037026,경상북도 군위군 고로면 인곡동,폐지
4772037027,경상북도 군위군 고로면 양지동,폐지
4772037028,경상북도 군위군 고로면 낙전동,폐지
4772037029,경상북도 군위군 고로면 가암동,폐지
4772037030,경상북도 군위군 고로면 석산동,폐지
4772037031,경상북도 군위군 고로면 학암동,폐지
4772037032,경상북도 군위군 고로면 화수리,폐지
4772037033,경상북도 군위군 고로면 화북리,폐지
4772037034,경상북도 군위군 고로면 괴산리,폐지
4772037035,경상북도 군위군 고로면 학성리,폐지
4772037036,경상북도 군위군 고로면 장곡리,폐지
4772037037,경상북도 군위군 고로면 인곡리,폐지
4772037038,경상북도 군위군 고로면 양지리,폐지
4772037039,경상북도 군위군 고로면 낙전리,폐지
4772037040,경상북도 군위군 고로면 가암리,폐지
4772037041,경상북도 군위군 고로면 석산리,폐지
4772037042,경상북도 군위군 고로면 학암리,폐지
4772038000,경상북도 군위군 삼국유사면,폐지
4772038021,경상북도 군위군 삼국유사면 화수리,폐지
4772038022,경상북도 군위군 삼국유사면 화북리,폐지
4772038023,경상북도 군위군 삼국유사면 괴산리,폐지
4772038024,경상북도 군위군 삼국유사면 학성리,폐지
4772038025,경상북도 군위군 삼국유사면 장곡리,폐지
4772038026,경상북도 군위군 삼국유사면 인곡리,폐지
4772038027,경상북도 군위군 삼국유사면 양지리,폐지
4772038028,경상북도 군위군 삼국유사면 낙전리,폐지
4772038029,경상북도 군위군 삼국유사면 가암리,폐지
4772038030,경상북도 군위군 삼국유사면 석산리,폐지
4772038031,경상북도 군위군 삼국유사면 학암리,폐지
