법정동코드,법정동명,레벨,등장연도,행수
2920016300,광주광역시 광산구 대산동,동,"[2020, 2021, 2022, 2023]",2724
2920017000,광주광역시 광산구 선동,동,"[2020, 2021, 2022, 2023]",2695
4671034032,전라남도 담양군 창평면 외동리,동,"[2018, 2019, 2020, 2022, 2023]",2685
4513034021,전라북도 군산시 서수면 서수리,동,"[2016, 2017, 2018, 2019, 2020]",2644
4617038028,전라남도 나주시 노안면 용산리,동,"[2016, 2017]",2638
4719035030,경상북도 구미시 산동면 송산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2611
2920016100,광주광역시 광산구 양동,동,"[2021, 2022, 2023]",2610
4161025024,경기도 광주시 오포읍 문형리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2599
4577032023,전라북도 순창군 동계면 어치리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2566
4615012700,전라남도 순천시 덕월동,동,"[2016, 2017, 2019, 2020, 2021, 2022]",2560
4161025022,경기도 광주시 오포읍 신현리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2540
4623035029,전라남도 광양시 진월면 월길리,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2023]",2531
4513037025,전라북도 군산시 성산면 여방리,동,"[2017, 2018, 2019, 2020]",2440
4615031036,전라남도 순천시 해룡면 농주리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2436
4575040028,전라북도 임실군 덕치면 회문리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2400
2671031030,부산광역시 기장군 일광면 원리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2312
4613033000,전라남도 여수시 화양면,동,"[2017, 2018, 2021, 2022]",2267
4713031027,경상북도 경주시 양북면 용당리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2266
4615033000,전라남도 순천시 황전면,동,"[2018, 2021, 2022]",2156
4613012700,전라남도 여수시 경호동,동,"[2017, 2018, 2019, 2022]",2134
4623025034,전라남도 광양시 광양읍 세풍리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2107
4513037000,전라북도 군산시 성산면,동,"[2017, 2022]",2069
4617039023,전라남도 나주시 금천면 광암리,동,[2016],2059
4513033000,전라북도 군산시 임피면,동,"[2017, 2022]",2005
4513037024,전라북도 군산시 성산면 도암리,동,"[2017, 2018, 2019, 2020]",1936
2671031033,부산광역시 기장군 일광면 용천리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1930
4513037022,전라북도 군산시 성산면 둔덕리,동,"[2017, 2018, 2019, 2020]",1921
4518012600,전라북도 정읍시 망제동,동,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",1856
4623025035,전라남도 광양시 광양읍 덕례리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1835
4719035025,경상북도 구미시 산동면 신당리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1807
3171039023,울산광역시 울주군 삼남면 신화리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1806
4513033026,전라북도 군산시 임피면 월하리,동,"[2018, 2019, 2020]",1799
4615031022,전라남도 순천시 해룡면 신대리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1794
4623035022,전라남도 광양시 진월면 차사리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1790
4575040023,전라북도 임실군 덕치면 가곡리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1772
4615031021,전라남도 순천시 해룡면 복성리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1762
4615013000,전라남도 순천시 안풍동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",1762
4615012900,전라남도 순천시 인월동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",1709
4511113800,전라북도 전주시 완산구 삼천동2가,동,"[2019, 2020, 2021, 2022]",1708
4513034000,전라북도 군산시 서수면,동,"[2017, 2022]",1697
4161025027,경기도 광주시 오포읍 양벌리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1686
4615031035,전라남도 순천시 해룡면 선학리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1680
4623033000,전라남도 광양시 옥곡면,동,"[2016, 2021, 2022]",1632
4513015100,전라북도 군산시 산북동,동,"[2017, 2018, 2019, 2020, 2021, 2022]",1631
4613033022,전라남도 여수시 화양면 용주리,동,"[2016, 2017, 2019, 2020, 2021]",1626
4615032000,전라남도 순천시 서면,동,"[2018, 2021, 2022]",1622
4623034022,전라남도 광양시 진상면 섬거리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1619
4617039022,전라남도 나주시 금천면 고동리,동,[2016],1598
4617037028,전라남도 나주시 문평면 국동리,동,"[2016, 2022, 2023]",1572
4613032027,전라남도 여수시 율촌면 취적리,동,"[2016, 2017, 2018, 2020, 2021, 2022, 2023]",1543
4513038000,전라북도 군산시 나포면,동,"[2017, 2022]",1513
2920016000,광주광역시 광산구 삼거동,동,"[2020, 2021, 2022, 2023]",1494
4617011600,전라남도 나주시 대호동,동,[2016],1478
4575039028,전라북도 임실군 강진면 필봉리,동,"[2016, 2017, 2018, 2019, 2021]",1467
2671031031,부산광역시 기장군 일광면 화전리,동,"[2016, 2017, 2018, 2019, 2020]",1448
4513035027,전라북도 군산시 대야면 보덕리,동,"[2017, 2018, 2019, 2020]",1414
4613032024,전라남도 여수시 율촌면 가장리,동,"[2016, 2019, 2020, 2021, 2022, 2023]",1413
4623034026,전라남도 광양시 진상면 지원리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1411
4513037027,전라북도 군산시 성산면 창오리,동,"[2017, 2018, 2019, 2020]",1399
4725032025,경상북도 상주시 사벌면 덕가리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1382
4673037030,전라남도 구례군 산동면 관산리,동,"[2019, 2020, 2021, 2022, 2023]",1377
4613032025,전라남도 여수시 율촌면 봉전리,동,"[2019, 2020, 2021, 2023]",1365
4521025025,전라북도 김제시 만경읍 소토리,동,"[2016, 2017, 2019]",1356
4615034000,전라남도 순천시 월등면,동,"[2021, 2022]",1348
4161025023,경기도 광주시 오포읍 능평리,동,"[2016, 2017, 2018, 2019, 2020]",1344
4577032024,전라북도 순창군 동계면 구미리,동,"[2017, 2018, 2019, 2020, 2021]",1344
4575040021,전라북도 임실군 덕치면 두지리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1338
2920013300,광주광역시 광산구 두정동,동,"[2019, 2020, 2021, 2022, 2023]",1333
4717033031,경상북도 안동시 서후면 자품리,동,"[2016, 2017]",1331
2671031000,부산광역시 기장군 일광면,동,"[2021, 2022]",1317
4575040024,전라북도 임실군 덕치면 천담리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1305
4617036035,전라남도 나주시 다시면 신광리,동,[2016],1284
4513036024,전라북도 군산시 개정면 발산리,동,"[2017, 2018, 2019, 2020]",1283
4513037021,전라북도 군산시 성산면 성덕리,동,"[2017, 2018, 2019, 2020]",1272
4513038021,전라북도 군산시 나포면 나포리,동,"[2016, 2017, 2018, 2019, 2020]",1263
4575039023,전라북도 임실군 강진면 갈담리,동,"[2016, 2017, 2018, 2019, 2021]",1260
4617010100,전라남도 나주시 토계동,동,[2016],1243
4725032027,경상북도 상주시 사벌면 묵상리,동,"[2016, 2017, 2019, 2021]",1235
4575040000,전라북도 임실군 덕치면,동,"[2021, 2022]",1233
4615031032,전라남도 순천시 해룡면 도롱리,동,"[2017, 2018, 2019, 2020, 2021]",1212
4615031029,전라남도 순천시 해룡면 신성리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1189
4613025000,전라남도 여수시 돌산읍,동,"[2017, 2021, 2022]",1185
4822025025,경상남도 통영시 산양읍 삼덕리,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",1179
4790036048,경상북도 예천군 호명면 황지리,동,"[2017, 2018]",1178
4577031024,전라북도 순창군 인계면 탑리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1171
4513025000,전라북도 군산시 옥구읍,동,[2022],1166
4613031023,전라남도 여수시 소라면 관기리,동,"[2016, 2019, 2020, 2021]",1153
4513014400,전라북도 군산시 나운동,동,"[2017, 2018, 2019, 2020, 2021, 2022]",1146
4613025029,전라남도 여수시 돌산읍 평사리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1138
4513038022,전라북도 군산시 나포면 장상리,동,"[2017, 2018, 2019, 2020, 2021]",1135
2771036025,대구광역시 달성군 현풍면 성하리,동,"[2016, 2017, 2018, 2019]",1127
4511113900,전라북도 전주시 완산구 삼천동3가,동,"[2019, 2021, 2022]",1125
4617010300,전라남도 나주시 안창동,동,[2016],1124
4513033027,전라북도 군산시 임피면 영창리,동,"[2018, 2019, 2020]",1113
4161036023,경기도 광주시 중부면 광지원리,동,"[2016, 2017]",1113
4713031024,경상북도 경주시 양북면 송전리,동,"[2017, 2018, 2019, 2020]",1109
4613031026,전라남도 여수시 소라면 사곡리,동,"[2016, 2017, 2018, 2020, 2021]",1104
4577035023,전라북도 순창군 팔덕면 월곡리,동,"[2017, 2018, 2019, 2020]",1102
4161025000,경기도 광주시 오포읍,동,"[2021, 2022]",1092
4623034021,전라남도 광양시 진상면 금이리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1086
4513038024,전라북도 군산시 나포면 주곡리,동,"[2016, 2017, 2018, 2020, 2021]",1085
4613014600,전라남도 여수시 월내동,동,"[2017, 2018, 2020, 2021, 2022]",1085
4615013300,전라남도 순천시 조례동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",1082
4513025021,전라북도 군산시 옥구읍 옥정리,동,"[2017, 2018, 2019, 2020]",1070
4615038027,전라남도 순천시 낙안면 검암리,동,"[2017, 2018, 2019, 2020, 2021]",1058
4623033022,전라남도 광양시 옥곡면 대죽리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1052
4623033024,전라남도 광양시 옥곡면 신금리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1049
2920015900,광주광역시 광산구 오운동,동,"[2020, 2021, 2022, 2023]",1045
4513025022,전라북도 군산시 옥구읍 상평리,동,"[2017, 2018, 2019, 2020]",1024
4575037023,전라북도 임실군 삼계면 세심리,동,"[2017, 2018, 2019, 2020, 2021]",1016
4521039022,전라북도 김제시 청하면 장산리,동,"[2016, 2018, 2019, 2020]",1013
4514033022,전라북도 익산시 함라면 금성리,동,"[2016, 2017, 2020, 2021, 2022, 2023]",1001
4513031022,전라북도 군산시 옥산면 남내리,동,"[2017, 2018, 2019, 2020]",996
4623035023,전라남도 광양시 진월면 마룡리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",994
4719035026,경상북도 구미시 산동면 봉산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",973
4513014300,전라북도 군산시 지곡동,동,"[2017, 2018, 2019, 2020, 2022]",963
2920013200,광주광역시 광산구 신룡동,동,"[2016, 2019, 2020, 2021, 2022, 2023]",954
4613033023,전라남도 여수시 화양면 창무리,동,"[2019, 2020, 2021]",953
4613013900,전라남도 여수시 봉계동,동,"[2016, 2017, 2018, 2020, 2021, 2022]",952
4513037028,전라북도 군산시 성산면 산곡리,동,"[2017, 2018, 2019, 2020]",949
4615032030,전라남도 순천시 서면 구상리,동,"[2016, 2017, 2019, 2020, 2021]",947
4577038028,전라북도 순창군 적성면 석산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",937
4511113500,전라북도 전주시 완산구 중인동,동,"[2019, 2020, 2021, 2022]",934
4623035030,전라남도 광양시 진월면 진정리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",928
4575037024,전라북도 임실군 삼계면 학정리,동,"[2017, 2018, 2019, 2020, 2021]",922
4513037023,전라북도 군산시 성산면 고봉리,동,"[2017, 2018, 2019, 2020]",919
4615031027,전라남도 순천시 해룡면 성산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",915
4613031028,전라남도 여수시 소라면 대포리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",910
4513013800,전라북도 군산시 내흥동,동,"[2017, 2018, 2019, 2020, 2022]",908
4615031028,전라남도 순천시 해룡면 선월리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",891
4577035024,전라북도 순창군 팔덕면 광암리,동,"[2017, 2018, 2019, 2020, 2021]",883
4615031025,전라남도 순천시 해룡면 남가리,동,"[2016, 2017, 2018, 2019, 2020]",857
4513036025,전라북도 군산시 개정면 통사리,동,"[2017, 2018, 2019, 2020]",851
4613012300,전라남도 여수시 둔덕동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",839
2671031021,부산광역시 기장군 일광면 삼성리,동,"[2016, 2017, 2018, 2019, 2020]",833
4575039024,전라북도 임실군 강진면 회진리,동,"[2016, 2017, 2018, 2019, 2021]",815
4161036026,경기도 광주시 중부면 오전리,동,"[2016, 2017]",811
2671031029,부산광역시 기장군 일광면 청광리,동,"[2016, 2017, 2018, 2020]",808
4513025023,전라북도 군산시 옥구읍 이곡리,동,"[2017, 2018, 2019, 2020]",804
3171039021,울산광역시 울주군 삼남면 교동리,동,"[2016, 2017, 2018, 2019, 2020]",800
4615012800,전라남도 순천시 야흥동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",773
3171039025,울산광역시 울주군 삼남면 가천리,동,"[2016, 2017, 2018, 2019, 2020]",771
4513038023,전라북도 군산시 나포면 옥곤리,동,"[2016, 2017, 2018, 2020, 2021]",768
4579032034,전라북도 고창군 아산면 구암리,동,"[2016, 2017]",767
4615013100,전라남도 순천시 대대동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",764
4688025000,전라남도 장성군 장성읍,동,"[2021, 2022]",761
4615031026,전라남도 순천시 해룡면 월전리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",761
4617039021,전라남도 나주시 금천면 오강리,동,[2016],759
4146136028,경기도 용인시 처인구 양지면 대대리,동,"[2016, 2017, 2018, 2019, 2020, 2022, 2023]",751
4518033021,전라북도 정읍시 소성면 주천리,동,"[2018, 2019, 2020, 2021, 2022]",747
4615032029,전라남도 순천시 서면 압곡리,동,"[2017, 2019, 2020, 2021, 2022]",747
4623034023,전라남도 광양시 진상면 비평리,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2023]",735
2920013900,광주광역시 광산구 유계동,동,"[2016, 2023]",732
4617037029,전라남도 나주시 문평면 옥당리,동,[2016],716
4615031034,전라남도 순천시 해룡면 해창리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",713
4615039028,전라남도 순천시 별량면 대곡리,동,"[2017, 2018, 2019, 2020, 2021]",712
4623035028,전라남도 광양시 진월면 송금리,동,"[2017, 2018, 2019, 2020, 2021, 2023]",708
4617013400,전라남도 나주시 빛가람동,동,[2016],701
4615011100,전라남도 순천시 조곡동,동,"[2016, 2017, 2018, 2019, 2020, 2021]",679
4623034027,전라남도 광양시 진상면 청암리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",679
4513037026,전라북도 군산시 성산면 대명리,동,"[2016, 2017, 2018, 2019, 2020]",677
2671031022,부산광역시 기장군 일광면 이천리,동,"[2016, 2017, 2018, 2019, 2020]",676
4577031026,전라북도 순창군 인계면 세룡리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",668
4615039037,전라남도 순천시 별량면 금치리,동,"[2016, 2018, 2019, 2020, 2021]",667
4623035025,전라남도 광양시 진월면 신아리,동,"[2016, 2018, 2019, 2020, 2021]",664
4725032024,경상북도 상주시 사벌면 목가리,동,"[2016, 2017, 2018, 2019, 2020]",662
4513038026,전라북도 군산시 나포면 서포리,동,"[2017, 2018, 2019, 2020, 2021]",659
4617039031,전라남도 나주시 금천면 원곡리,동,[2016],653
2920011100,광주광역시 광산구 박호동,동,"[2021, 2022, 2023]",648
4513036000,전라북도 군산시 개정면,동,[2022],646
4615040000,전라남도 순천시 상사면,동,"[2021, 2022]",641
4511113200,전라북도 전주시 완산구 평화동1가,동,"[2020, 2021, 2022]",632
4613013800,전라남도 여수시 주삼동,동,"[2016, 2018, 2020, 2021, 2022]",627
4617010200,전라남도 나주시 송월동,동,[2016],619
4577031025,전라북도 순창군 인계면 심초리,동,"[2016, 2017, 2018, 2019, 2020]",619
4617010800,전라남도 나주시 경현동,동,[2016],613
4684033032,전라남도 무안군 청계면 송현리,동,"[2016, 2019, 2020]",600
2771034028,대구광역시 달성군 옥포면 김흥리,동,"[2017, 2018, 2019]",584
4623025000,전라남도 광양시 광양읍,동,"[2021, 2022]",582
4713031021,경상북도 경주시 양북면 어일리,동,"[2016, 2017, 2018, 2019, 2020]",578
4615038000,전라남도 순천시 낙안면,동,"[2021, 2022]",578
4513014900,전라북도 군산시 신관동,동,"[2016, 2017, 2018, 2019, 2020, 2022]",576
4615039031,전라남도 순천시 별량면 동송리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",570
4671034023,전라남도 담양군 창평면 용수리,동,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",566
4713031023,경상북도 경주시 양북면 두산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",558
4613014900,전라남도 여수시 신덕동,동,"[2016, 2020, 2021, 2022]",554
2771036028,대구광역시 달성군 현풍면 오산리,동,"[2016, 2017, 2018, 2019]",550
4161036022,경기도 광주시 중부면 엄미리,동,"[2016, 2017]",546
2920013700,광주광역시 광산구 사호동,동,"[2021, 2022, 2023]",533
4513036023,전라북도 군산시 개정면 아산리,동,"[2017, 2018, 2019, 2020]",532
4513032024,전라북도 군산시 회현면 세장리,동,"[2017, 2018, 2019]",527
2914013200,광주광역시 서구 매월동,동,"[2016, 2017, 2019, 2020, 2021]",527
4613032026,전라남도 여수시 율촌면 반월리,동,"[2019, 2020, 2021]",523
4146131021,경기도 용인시 처인구 모현면 왕산리,동,"[2016, 2017, 2018]",513
4518012400,전라북도 정읍시 용계동,동,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",509
4613032029,전라남도 여수시 율촌면 상봉리,동,"[2020, 2021, 2022, 2023]",507
4623010100,전라남도 광양시 황금동,동,"[2016, 2017, 2020, 2021, 2022]",507
4579042029,전라북도 고창군 신림면 자포리,동,[2016],505
4617012200,전라남도 나주시 삼도동,동,[2016],503
4161036025,경기도 광주시 중부면 하번천리,동,"[2016, 2017]",502
2915512800,광주광역시 남구 대지동,동,[2016],501
4577032000,전라북도 순창군 동계면,동,"[2021, 2022]",500
4615031024,전라남도 순천시 해룡면 대안리,동,"[2016, 2017, 2018, 2019, 2020]",490
4513014700,전라북도 군산시 오식도동,동,"[2017, 2018, 2019, 2021, 2022]",488
4615011000,전라남도 순천시 용당동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",485
4615031037,전라남도 순천시 해룡면 상내리,동,"[2017, 2018, 2019, 2020, 2021]",481
4615039026,전라남도 순천시 별량면 쌍림리,동,"[2016, 2018, 2019, 2020, 2021]",478
2920013500,광주광역시 광산구 광산동,동,"[2016, 2021, 2023]",476
4615033034,전라남도 순천시 황전면 모전리,동,"[2016, 2017, 2019, 2020, 2021]",472
4613025023,전라남도 여수시 돌산읍 금성리,동,"[2019, 2021]",471
4577025024,전라북도 순창군 순창읍 복실리,동,"[2017, 2018, 2019, 2020, 2021]",469
4513025025,전라북도 군산시 옥구읍 오곡리,동,"[2017, 2018, 2019, 2020, 2021]",467
2915512500,광주광역시 남구 신장동,동,[2016],464
4521041025,전라북도 김제시 진봉면 심포리,동,"[2016, 2017, 2019, 2021]",463
4513034023,전라북도 군산시 서수면 관원리,동,"[2016, 2017, 2018, 2019, 2020]",463
4623036000,전라남도 광양시 다압면,동,"[2021, 2022]",460
4513033025,전라북도 군산시 임피면 술산리,동,"[2017, 2018, 2019, 2020]",445
4615032023,전라남도 순천시 서면 구만리,동,"[2016, 2019, 2020, 2021]",442
4784035000,경상북도 성주군 금수면,동,"[2021, 2022]",438
4613013100,전라남도 여수시 소호동,동,"[2016, 2017, 2019, 2020, 2021, 2022]",436
4521039023,전라북도 김제시 청하면 대청리,동,"[2016, 2018, 2019]",435
4579037022,전라북도 고창군 성송면 하고리,동,[2017],431
4511312700,전라북도 전주시 덕진구 원동,동,[2021],429
2920016200,광주광역시 광산구 내산동,동,"[2021, 2022, 2023]",429
4514025024,전라북도 익산시 함열읍 석매리,동,"[2016, 2017, 2018, 2019, 2020]",426
4617010900,전라남도 나주시 보산동,동,[2016],424
4617025036,전라남도 나주시 남평읍 평산리,동,[2016],422
