sigungu_cd,before,after,removed,removed_rate,year
47290,27,27,0,0.0,2022
47730,299,283,16,0.05351170568561873,2022
47770,5716,4709,1007,0.17617214835549336,2022
47820,721,669,52,0.07212205270457697,2022
47830,6182,5172,1010,0.16337754771918472,2022
47840,3015,2556,459,0.15223880597014924,2022
47850,1454,1340,114,0.07840440165061899,2022
47900,38,36,2,0.05263157894736842,2022
47920,31,26,5,0.16129032258064516,2022
48121,569,469,100,0.1757469244288225,2022
48123,828,698,130,0.1570048309178744,2022
48125,2020,1716,304,0.1504950495049505,2022
48127,834,708,126,0.1510791366906475,2022
48129,195,152,43,0.2205128205128205,2022
48170,10215,7916,2299,0.22506118453255017,2022
48220,1890,1587,303,0.16031746031746033,2022
48240,5662,4658,1004,0.1773225008830802,2022
48250,3360,2904,456,0.1357142857142857,2022
48270,19713,14590,5123,0.2598792674884594,2022
48310,5429,4837,592,0.10904402284030208,2022
48330,4961,4204,757,0.1525902035879863,2022
48720,2004,1548,456,0.2275449101796407,2022
48730,9037,6270,2767,0.3061856810888569,2022
48740,869,789,80,0.09205983889528194,2022
48820,855,788,67,0.0783625730994152,2022
48840,141,132,9,0.06382978723404255,2022
48850,12384,9306,3078,0.24854651162790697,2022
48860,7,7,0,0.0,2022
48890,9,8,1,0.1111111111111111,2022
50110,14856,11179,3677,0.2475094238018309,2022
50130,14063,9973,4090,0.29083410367631374,2022
51110,9104,7102,2002,0.21990333919156416,2022
51130,1067,928,139,0.1302717900656045,2022
51170,30,26,4,0.13333333333333333,2022
51230,8,6,2,0.25,2022
51720,440,415,25,0.056818181818181816,2022
51730,390,358,32,0.08205128205128205,2022
51770,23,22,1,0.043478260869565216,2022
51780,1,1,0,0.0,2022
51790,5,5,0,0.0,2022
26230,13,12,1,0.07692307692307693,2023
26350,7,7,0,0.0,2023
26410,17,11,6,0.35294117647058826,2023
26440,91,65,26,0.2857142857142857,2023
26530,4,4,0,0.0,2023
26710,32,26,6,0.1875,2023
27140,184,155,29,0.15760869565217392,2023
27170,13,13,0,0.0,2023
27230,3538,2944,594,0.16789146410401357,2023
27260,5,4,1,0.2,2023
27290,40,39,1,0.025,2023
27710,15330,10251,5079,0.3313111545988258,2023
29200,4159,3065,1094,0.26304400096176966,2023
30200,2,2,0,0.0,2023
31110,245,199,46,0.18775510204081633,2023
31140,25,24,1,0.04,2023
31170,141,137,4,0.028368794326241134,2023
31200,4539,3291,1248,0.2749504296100463,2023
31710,14297,11204,3093,0.21633909211722738,2023
41250,32,31,1,0.03125,2023
41360,155,144,11,0.07096774193548387,2023
41450,113,107,6,0.05309734513274336,2023
41461,51,44,7,0.13725490196078433,2023
41480,3,3,0,0.0,2023
41500,195,157,38,0.19487179487179487,2023
41550,1,1,0,0.0,2023
41610,6665,3953,2712,0.40690172543135783,2023
41630,26,25,1,0.038461538461538464,2023
41650,4158,2910,1248,0.30014430014430016,2023
41670,494,387,107,0.2165991902834008,2023
41800,27,25,2,0.07407407407407407,2023
41820,1315,1125,190,0.1444866920152091,2023
41830,1467,1170,297,0.20245398773006135,2023
43150,17,16,1,0.058823529411764705,2023
43800,11,10,1,0.09090909090909091,2023
44150,2,2,0,0.0,2023
44180,25,23,2,0.08,2023
44210,7,7,0,0.0,2023
44270,9,9,0,0.0,2023
44770,41,40,1,0.024390243902439025,2023
44790,264,187,77,0.2916666666666667,2023
44800,21,20,1,0.047619047619047616,2023
44810,139,55,84,0.60431654676259,2023
44825,77,65,12,0.15584415584415584,2023
45140,32,30,2,0.0625,2023
45180,32,29,3,0.09375,2023
45190,10,8,2,0.2,2023
45210,21,21,0,0.0,2023
46130,127,120,7,0.05511811023622047,2023
46150,6,6,0,0.0,2023
46170,49,48,1,0.02040816326530612,2023
46230,308,229,79,0.2564935064935065,2023
46730,11,10,1,0.09090909090909091,2023
47111,7,4,3,0.42857142857142855,2023
47113,1910,1663,247,0.12931937172774868,2023
47130,23034,15858,7176,0.31153946340192756,2023
47150,4568,2737,1831,0.40083187390542907,2023
47170,6183,4055,2128,0.34416949700792493,2023
47280,1188,957,231,0.19444444444444445,2023
47770,2675,1959,716,0.26766355140186915,2023
47820,3,2,1,0.3333333333333333,2023
47830,14136,9431,4705,0.3328381437464629,2023
47840,1150,715,435,0.3782608695652174,2023
47850,65,47,18,0.27692307692307694,2023
47920,19,18,1,0.05263157894736842,2023
48129,112,81,31,0.2767857142857143,2023
48170,1319,1102,217,0.1645185746777862,2023
48220,1920,1588,332,0.17291666666666666,2023
48250,3091,2614,477,0.154318990617923,2023
48270,2345,1623,722,0.30788912579957356,2023
48310,1206,896,310,0.2570480928689884,2023
48330,1592,1289,303,0.19032663316582915,2023
48740,2,2,0,0.0,2023
48820,609,564,45,0.07389162561576355,2023
48840,12,12,0,0.0,2023
48850,13819,9469,4350,0.3147839930530429,2023
48860,2,2,0,0.0,2023
48890,4,4,0,0.0,2023
50110,9073,6407,2666,0.2938388625592417,2023
50130,2867,2287,580,0.20230205790024416,2023
51110,11090,9142,1948,0.175653742110009,2023
51130,26,24,2,0.07692307692307693,2023
51170,8,8,0,0.0,2023
51720,803,690,113,0.14072229140722292,2023
51730,6,6,0,0.0,2023
51770,38,34,4,0.10526315789473684,2023
51780,2,2,0,0.0,2023
