항목,값
형식(가-힣2자+숫자8자)_일치건수,10162318.0
전체건수,10271337.0
형식일치율,0.9893860945269345
자릿수_7,1124.0
자릿수_8,10530.0
자릿수_9,97319.0
자릿수_10,10162318.0
자릿수_11,46.0
