지역X좌표,지역Y좌표,국가지점번호,법정동코드,감염목구분
327942.0,399420.0,라마82929895,null00,미감염
328046.0,399422.0,라마83039895,null00,미감염
328265.0,399494.0,라마83259902,null00,미감염
327992.0,399419.0,라마82979895,null00,미감염
328142.0,399995.0,라마83139953,null00,미감염
328108.0,400123.0,라마83099965,null00,미감염
328065.0,399236.0,라마83059877,null00,미감염
328067.0,399221.0,라마83059875,null00,미감염
328048.0,399239.0,라마83039877,null00,미감염
327978.0,399249.0,라마82969878,null00,미감염
327915.0,399289.0,라마82909882,null00,미감염
333020.0,393575.0,라마87979308,null00,감염목
333020.0,393589.0,라마87979310,null00,감염목
333187.0,393776.0,라마88149328,null00,감염목
333186.0,393790.0,라마88149330,null00,감염목
332509.0,393820.0,라마87469333,null00,감염목
328047.0,399393.0,라마83039892,null00,감염목
328216.0,399443.0,라마83209897,null00,감염목
332527.0,393794.0,라마87489331,null00,감염목
333038.0,394508.0,라마87999402,null00,감염목
