반경,변수,결측률,0비율,평균,중앙값,분산
100,recurrence_rate,0.5775,0.3431952662721893,0.2414712390126589,0.13762261973456433,0.07488412579829394
100,new_site_share,0.587,0.013317191283292978,0.7773573925207876,0.8770101871594409,0.06711670625486106
300,recurrence_rate,0.5775,0.2733727810650888,0.39835641142280787,0.375,0.12027392876239569
300,new_site_share,0.587,0.026634382566585957,0.6267524475160056,0.6664583333333334,0.11088744834393716
500,recurrence_rate,0.5775,0.24023668639053256,0.4886257922248152,0.545346062052506,0.14137450716602667
500,new_site_share,0.587,0.04600484261501211,0.5366567775037223,0.5077221228384019,0.1319018872649741
