연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2017,전라북도,전주시,1235,850,20550.0,0.0601,,2,0.0319,centroid근접(대체),464.6,5614.7,8.27,외삽(2019/2025 실측 anchor),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,전라북도,전주시,2004,1235,20550.0,0.0975,,3,0.0496,centroid근접(대체),458.8,5614.7,8.17,외삽(2019/2025 실측 anchor),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,전라북도,전주시,2884,2004,20550.0,0.1403,50.49,4,0.067,centroid근접(대체),453.1,5614.8,8.07,실측(임상도overlay),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,전라북도,전주시,2550,2884,20550.0,0.1241,31.55,5,0.0592,centroid근접(대체),447.4,5614.8,7.97,보간(2019/2025 실측 anchor),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,전라북도,전주시,2176,2550,20550.0,0.1059,5.89,6,0.0505,centroid근접(대체),441.8,5614.8,7.87,보간(2019/2025 실측 anchor),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,전라북도,전주시,1912,2176,20550.0,0.0931,-12.78,7,0.0446,centroid근접(대체),436.3,5614.8,7.77,보간(2019/2025 실측 anchor),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,전라북도,전주시,1700,1912,20550.0,0.0827,-12.63,8,0.0406,centroid근접(대체),430.9,5614.9,7.67,보간(2019/2025 실측 anchor),187.16,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,전라북도,전주시,1503,1700,20550.0,0.0731,-11.6,9,0.0364,centroid근접(대체),425.5,5614.9,7.58,보간(2019/2025 실측 anchor),187.16,0,추정(최근추세 외삽)
2025,전라북도,전주시,1328,1503,20550.0,0.0646,-11.44,10,0.0326,centroid근접(대체),420.2,5614.9,7.48,실측(임상도overlay),187.16,0,추정(최근추세 외삽)
2016,충청남도,공주시,2391,1629,86429.0,0.0277,,3,0.044,SGIS실제인접,6917.0,53995.6,12.81,외삽(2019/2025 실측 anchor),195.36,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청남도,공주시,3363,2391,86429.0,0.0389,,4,0.0619,SGIS실제인접,6938.4,53815.1,12.89,외삽(2019/2025 실측 anchor),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청남도,공주시,5146,3363,86429.0,0.0595,,5,0.0947,SGIS실제인접,6959.9,53635.1,12.98,외삽(2019/2025 실측 anchor),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청남도,공주시,6704,5146,86429.0,0.0776,41.31,6,0.1233,SGIS실제인접,6981.5,53455.8,13.06,실측(임상도overlay),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청남도,공주시,5914,6704,86429.0,0.0684,23.84,7,0.1088,SGIS실제인접,7003.1,53277.1,13.14,보간(2019/2025 실측 anchor),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청남도,공주시,5039,5914,86429.0,0.0583,1.24,8,0.0927,SGIS실제인접,7024.8,53098.9,13.23,보간(2019/2025 실측 anchor),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청남도,공주시,4462,5039,86429.0,0.0516,-12.68,9,0.0821,SGIS실제인접,7046.5,52921.4,13.32,보간(2019/2025 실측 anchor),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청남도,공주시,4110,4462,86429.0,0.0476,-11.38,10,0.0756,SGIS실제인접,7068.4,52744.4,13.4,보간(2019/2025 실측 anchor),200.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청남도,공주시,3713,4110,86429.0,0.043,-9.67,11,0.0683,SGIS실제인접,7090.3,52568.1,13.49,보간(2019/2025 실측 anchor),200.06,0,추정(최근추세 외삽)
2025,충청남도,공주시,3354,3713,86429.0,0.0388,-9.08,12,0.0617,SGIS실제인접,7112.2,52392.3,13.57,실측(임상도overlay),200.06,0,추정(최근추세 외삽)
2016,충청남도,보령시,1943,1324,56901.0,0.0342,,2,0.0323,centroid근접(대체),11058.2,28844.6,38.34,외삽(2019/2025 실측 anchor),223.37,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청남도,보령시,2733,1943,56901.0,0.048,,3,0.0455,centroid근접(대체),10976.3,28752.9,38.17,외삽(2019/2025 실측 anchor),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청남도,보령시,4182,2733,56901.0,0.0735,,4,0.0696,centroid근접(대체),10894.9,28661.6,38.01,외삽(2019/2025 실측 anchor),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청남도,보령시,5448,4182,56901.0,0.0957,41.31,5,0.0906,centroid근접(대체),10814.2,28570.5,37.85,실측(임상도overlay),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청남도,보령시,4806,5448,56901.0,0.0845,23.84,6,0.08,centroid근접(대체),10734.1,28479.7,37.69,보간(2019/2025 실측 anchor),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청남도,보령시,4095,4806,56901.0,0.072,1.24,7,0.0681,centroid근접(대체),10654.6,28389.2,37.53,보간(2019/2025 실측 anchor),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청남도,보령시,3626,4095,56901.0,0.0637,-12.68,8,0.0603,centroid근접(대체),10575.7,28299.0,37.37,보간(2019/2025 실측 anchor),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청남도,보령시,3340,3626,56901.0,0.0587,-11.38,9,0.0556,centroid근접(대체),10497.3,28209.1,37.21,보간(2019/2025 실측 anchor),240.51,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청남도,보령시,3017,3340,56901.0,0.053,-9.67,10,0.0502,centroid근접(대체),10419.6,28119.4,37.05,보간(2019/2025 실측 anchor),240.51,0,추정(최근추세 외삽)
2025,충청남도,보령시,2725,3017,56901.0,0.0479,-9.08,11,0.0453,centroid근접(대체),10342.4,28030.1,36.9,실측(임상도overlay),240.51,0,추정(최근추세 외삽)
2016,충청남도,서산시,1647,1121,74215.0,0.0222,,1,0.0355,SGIS실제인접,11849.7,24932.2,47.53,외삽(2019/2025 실측 anchor),264.89,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청남도,서산시,2315,1647,74215.0,0.0312,,2,0.0499,SGIS실제인접,11687.4,24364.0,47.97,외삽(2019/2025 실측 anchor),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청남도,서산시,3543,2315,74215.0,0.0477,,3,0.0764,SGIS실제인접,11527.3,23808.9,48.42,외삽(2019/2025 실측 anchor),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청남도,서산시,4616,3543,74215.0,0.0622,41.31,4,0.0995,SGIS실제인접,11369.4,23266.4,48.87,실측(임상도overlay),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청남도,서산시,4072,4616,74215.0,0.0549,23.84,5,0.0878,SGIS실제인접,11213.7,22736.2,49.32,보간(2019/2025 실측 anchor),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청남도,서산시,3470,4072,74215.0,0.0467,1.24,6,0.0748,SGIS실제인접,11060.1,22218.1,49.78,보간(2019/2025 실측 anchor),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청남도,서산시,3073,3470,74215.0,0.0414,-12.68,7,0.0662,SGIS실제인접,10908.6,21711.8,50.24,보간(2019/2025 실측 anchor),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청남도,서산시,2830,3073,74215.0,0.0381,-11.38,8,0.061,SGIS실제인접,10759.1,21217.1,50.71,보간(2019/2025 실측 anchor),268.96,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청남도,서산시,2556,2830,74215.0,0.0344,-9.67,9,0.0551,SGIS실제인접,10611.8,20733.6,51.18,보간(2019/2025 실측 anchor),268.96,0,추정(최근추세 외삽)
2025,충청남도,서산시,2309,2556,74215.0,0.0311,-9.08,10,0.0498,SGIS실제인접,10466.4,20261.2,51.66,실측(임상도overlay),268.96,0,추정(최근추세 외삽)
2016,충청남도,천안시,2799,1906,63620.00000000001,0.044,,2,0.0157,SGIS실제인접,1693.4,28673.5,5.91,외삽(2019/2025 실측 anchor),225.83,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청남도,천안시,3935,2799,63620.00000000001,0.0619,,3,0.0225,SGIS실제인접,1731.6,28518.3,6.07,외삽(2019/2025 실측 anchor),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청남도,천안시,6022,3935,63620.00000000001,0.0947,,4,0.0354,SGIS실제인접,1770.6,28363.9,6.24,외삽(2019/2025 실측 anchor),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청남도,천안시,7846,6022,63620.00000000001,0.1233,41.31,5,0.0493,SGIS실제인접,1810.5,28210.3,6.42,실측(임상도overlay),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청남도,천안시,6921,7846,63620.00000000001,0.1088,23.84,6,0.0435,SGIS실제인접,1851.3,28057.6,6.6,보간(2019/2025 실측 anchor),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청남도,천안시,5897,6921,63620.00000000001,0.0927,1.24,7,0.0372,SGIS실제인접,1893.1,27905.7,6.78,보간(2019/2025 실측 anchor),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청남도,천안시,5222,5897,63620.00000000001,0.0821,-12.68,8,0.0327,SGIS실제인접,1935.7,27754.7,6.97,보간(2019/2025 실측 anchor),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청남도,천안시,4810,5222,63620.00000000001,0.0756,-11.38,9,0.0297,SGIS실제인접,1979.4,27604.4,7.17,보간(2019/2025 실측 anchor),217.0,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청남도,천안시,4345,4810,63620.00000000001,0.0683,-9.67,10,0.0265,SGIS실제인접,2024.0,27455.0,7.37,보간(2019/2025 실측 anchor),217.0,0,추정(최근추세 외삽)
2025,충청남도,천안시,3925,4345,63620.00000000001,0.0617,-9.08,11,0.0237,SGIS실제인접,2069.6,27306.4,7.58,실측(임상도overlay),217.0,0,추정(최근추세 외삽)
2016,충청남도,태안군,1792,1221,50494.0,0.0355,,3,0.0222,SGIS실제인접,13816.5,17642.0,78.32,외삽(2019/2025 실측 anchor),272.86,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청남도,태안군,2520,1792,50494.0,0.0499,,4,0.0312,SGIS실제인접,13740.8,17600.1,78.07,외삽(2019/2025 실측 anchor),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청남도,태안군,3856,2520,50494.0,0.0764,,5,0.0477,SGIS실제인접,13665.6,17558.4,77.83,외삽(2019/2025 실측 anchor),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청남도,태안군,5024,3856,50494.0,0.0995,41.31,6,0.0622,SGIS실제인접,13590.8,17516.7,77.59,실측(임상도overlay),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청남도,태안군,4432,5024,50494.0,0.0878,23.84,7,0.0549,SGIS실제인접,13516.3,17475.1,77.35,보간(2019/2025 실측 anchor),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청남도,태안군,3776,4432,50494.0,0.0748,1.24,8,0.0467,SGIS실제인접,13442.3,17433.7,77.11,보간(2019/2025 실측 anchor),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청남도,태안군,3344,3776,50494.0,0.0662,-12.68,9,0.0414,SGIS실제인접,13368.7,17392.3,76.87,보간(2019/2025 실측 anchor),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청남도,태안군,3080,3344,50494.0,0.061,-11.38,10,0.0381,SGIS실제인접,13295.5,17351.0,76.63,보간(2019/2025 실측 anchor),280.25,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청남도,태안군,2782,3080,50494.0,0.0551,-9.67,11,0.0344,SGIS실제인접,13222.7,17309.8,76.39,보간(2019/2025 실측 anchor),280.25,0,추정(최근추세 외삽)
2025,충청남도,태안군,2513,2782,50494.0,0.0498,-9.08,12,0.0311,SGIS실제인접,13150.3,17268.8,76.15,실측(임상도overlay),280.25,0,추정(최근추세 외삽)
2016,충청북도,보은군,679,438,58429.99999999999,0.0116,,1,0.0112,SGIS실제인접,7255.2,36950.5,19.63,외삽(2019/2025 실측 anchor),164.38,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청북도,보은군,1018,679,58429.99999999999,0.0174,,2,0.0166,SGIS실제인접,7222.9,37040.0,19.5,외삽(2019/2025 실측 anchor),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청북도,보은군,1632,1018,58429.99999999999,0.0279,,3,0.0258,SGIS실제인접,7190.8,37129.8,19.37,외삽(2019/2025 실측 anchor),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청북도,보은군,2376,1632,58429.99999999999,0.0407,51.95,4,0.0361,SGIS실제인접,7158.8,37219.8,19.23,실측(임상도overlay),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청북도,보은군,2102,2376,58429.99999999999,0.036,31.44,5,0.0324,SGIS실제인접,7127.0,37310.1,19.1,보간(2019/2025 실측 anchor),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청북도,보은군,1802,2102,58429.99999999999,0.0308,6.59,6,0.0278,SGIS실제인접,7095.3,37400.5,18.97,보간(2019/2025 실측 anchor),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청북도,보은군,1580,1802,58429.99999999999,0.027,-12.71,7,0.0243,SGIS실제인접,7063.7,37491.2,18.84,보간(2019/2025 실측 anchor),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청북도,보은군,1410,1580,58429.99999999999,0.0241,-12.45,8,0.0219,SGIS실제인접,7032.3,37582.0,18.71,보간(2019/2025 실측 anchor),151.53,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청북도,보은군,1247,1410,58429.99999999999,0.0213,-11.53,9,0.0194,SGIS실제인접,7001.0,37673.1,18.58,보간(2019/2025 실측 anchor),151.53,0,추정(최근추세 외삽)
2025,충청북도,보은군,1104,1247,58429.99999999999,0.0189,-11.27,10,0.0172,SGIS실제인접,6969.9,37764.5,18.46,실측(임상도overlay),151.53,0,추정(최근추세 외삽)
2016,충청북도,청주시,1050,677,94033.0,0.0112,,1,0.0278,SGIS실제인접,4180.3,38547.8,10.84,외삽(2019/2025 실측 anchor),190.36,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,충청북도,청주시,1574,1050,94033.0,0.0167,,2,0.0396,SGIS실제인접,4098.0,38813.3,10.56,외삽(2019/2025 실측 anchor),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,충청북도,청주시,2523,1574,94033.0,0.0268,,3,0.0613,SGIS실제인접,4017.3,39080.7,10.28,외삽(2019/2025 실측 anchor),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,충청북도,청주시,3674,2523,94033.0,0.0391,51.95,4,0.082,SGIS실제인접,3938.2,39349.8,10.01,실측(임상도overlay),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,충청북도,청주시,3250,3674,94033.0,0.0346,31.44,5,0.0724,SGIS실제인접,3860.7,39620.8,9.74,보간(2019/2025 실측 anchor),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,충청북도,청주시,2786,3250,94033.0,0.0296,6.59,6,0.0618,SGIS실제인접,3784.7,39893.7,9.49,보간(2019/2025 실측 anchor),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,충청북도,청주시,2442,2786,94033.0,0.026,-12.71,7,0.0546,SGIS실제인접,3710.2,40168.5,9.24,보간(2019/2025 실측 anchor),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,충청북도,청주시,2180,2442,94033.0,0.0232,-12.45,8,0.0499,SGIS실제인접,3637.2,40445.1,8.99,보간(2019/2025 실측 anchor),178.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,충청북도,청주시,1929,2180,94033.0,0.0205,-11.53,9,0.0448,SGIS실제인접,3565.6,40723.7,8.76,보간(2019/2025 실측 anchor),178.45,0,추정(최근추세 외삽)
2025,충청북도,청주시,1706,1929,94033.0,0.0181,-11.27,10,0.0403,SGIS실제인접,3495.4,41004.2,8.52,실측(임상도overlay),178.45,0,추정(최근추세 외삽)
