연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2018,경상북도,김천시,3535,2349,100950.0,0.035,,4,0.0247,SGIS실제인접,11012.5,66581.2,16.54,외삽(2019/2025 실측 anchor),104.7,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상북도,김천시,4744,3535,100950.0,0.047,43.67,5,0.0332,SGIS실제인접,11106.5,66647.9,16.66,실측(임상도overlay),104.7,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상북도,김천시,4320,4744,100950.0,0.0428,25.24,6,0.0302,SGIS실제인접,11201.4,66714.7,16.79,보간(2019/2025 실측 anchor),104.7,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상북도,김천시,3702,4320,100950.0,0.0367,3.65,7,0.0259,SGIS실제인접,11297.1,66781.6,16.92,보간(2019/2025 실측 anchor),104.7,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상북도,김천시,3224,3702,100950.0,0.0319,-12.05,8,0.0225,SGIS실제인접,11393.6,66848.5,17.04,보간(2019/2025 실측 anchor),104.7,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상북도,김천시,2940,3224,100950.0,0.0291,-12.01,9,0.0206,SGIS실제인접,11490.9,66915.5,17.17,보간(2019/2025 실측 anchor),104.7,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상북도,김천시,2621,2940,100950.0,0.026,-10.86,10,0.0183,SGIS실제인접,11589.0,66982.6,17.3,보간(2019/2025 실측 anchor),104.7,0,추정(최근추세 외삽)
2025,경상북도,김천시,2336,2621,100950.0,0.0231,-10.18,11,0.0163,SGIS실제인접,11688.0,67049.7,17.43,실측(임상도overlay),104.7,0,추정(최근추세 외삽)
2016,경상북도,상주시,1409,949,125478.0,0.0112,,1,0.0138,SGIS실제인접,16733.3,75451.8,22.18,외삽(2019/2025 실측 anchor),139.71,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상북도,상주시,2062,1409,125478.0,0.0164,,2,0.0204,SGIS실제인접,16746.8,75538.9,22.17,외삽(2019/2025 실측 anchor),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상북도,상주시,3102,2062,125478.0,0.0247,,3,0.0315,SGIS실제인접,16760.2,75626.2,22.16,외삽(2019/2025 실측 anchor),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상북도,상주시,4163,3102,125478.0,0.0332,43.67,4,0.0438,SGIS실제인접,16773.7,75713.5,22.15,실측(임상도overlay),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상북도,상주시,3791,4163,125478.0,0.0302,25.24,5,0.0394,SGIS실제인접,16787.2,75801.0,22.15,보간(2019/2025 실측 anchor),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상북도,상주시,3249,3791,125478.0,0.0259,3.65,6,0.0338,SGIS실제인접,16800.6,75888.5,22.14,보간(2019/2025 실측 anchor),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상북도,상주시,2829,3249,125478.0,0.0225,-12.05,7,0.0295,SGIS실제인접,16814.2,75976.1,22.13,보간(2019/2025 실측 anchor),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상북도,상주시,2580,2829,125478.0,0.0206,-12.01,8,0.0266,SGIS실제인접,16827.7,76063.9,22.12,보간(2019/2025 실측 anchor),113.82,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상북도,상주시,2300,2580,125478.0,0.0183,-10.86,9,0.0237,SGIS실제인접,16841.2,76151.7,22.12,보간(2019/2025 실측 anchor),113.82,0,추정(최근추세 외삽)
2025,경상북도,상주시,2050,2300,125478.0,0.0163,-10.18,10,0.021,SGIS실제인접,16854.7,76239.7,22.11,실측(임상도overlay),113.82,0,추정(최근추세 외삽)
