"연도","시군구코드","시도","시군구","대응자원투입예산_소나무림ha당_log","예찰진단예산_소나무림ha당_log","방제법인수_소나무림1만ha당_log","이동통제예산_소나무림ha당_log","예찰진단예산비중","이동통제예산비중","반출금지구역_지정여부","반출금지구역면적비율","예산자료_사용가능여부","법인자료_연도완전여부","법인자료_최신성주의플래그"
"2016","41285","경기도","고양시 일산동구","","","0.0","","","","","","0","1","0"
"2016","41287","경기도","고양시 일산서구","","","0.0","","","","","","0","1","0"
"2016","41290","경기도","과천시","13.505031449162722","0.0","3.8237175555317333","0.0","0.0","0.0","1.0","2.256612624942787","1","1","0"
"2016","41310","경기도","구리시","12.907564590254138","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","41360","경기도","남양주시","12.68103574639855","0.0","1.920364028873773","0.0","0.0","0.0","1.0","9.533556811633055","1","1","0"
"2016","41370","경기도","오산시","12.886785508085724","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","41390","경기도","시흥시","14.31634368395799","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","41410","경기도","군포시","14.495417240402322","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","41430","경기도","의왕시","13.975846548088606","0.0","0.0","0.0","0.0","0.0","1.0","15.65362748477599","1","1","0"
"2016","41450","경기도","하남시","14.193927470144553","0.0","0.0","0.0","0.0","0.0","1.0","41.256301398500156","1","1","0"
"2016","41461","경기도","용인시 처인구","","","3.0090012309611636","","","","1.0","5.4039532269501285","0","1","0"
"2016","41463","경기도","용인시 기흥구","","","3.442809018477251","","","","","","0","1","0"
"2016","41465","경기도","용인시 수지구","","","0.0","","","","","","0","1","0"
"2016","41480","경기도","파주시","12.864981970538249","0.0","0.0","0.0","0.0","0.0","1.0","5.975364805733172","1","1","0"
"2016","41500","경기도","이천시","12.654307761589658","0.0","3.84110346687409","0.0","0.0","0.0","1.0","12.901193615531799","1","1","0"
"2016","41550","경기도","안성시","11.664439545175949","0.0","2.2673242325901652","0.0","0.0","0.0","1.0","6.619920126663517","1","1","0"
"2016","41570","경기도","김포시","14.525107574184782","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","41590","경기도","화성시","10.383480291772631","0.0","2.7081403049890724","0.0","0.0","0.0","","","1","1","0"
"2016","41610","경기도","광주시","13.360049531975331","0.0","2.8167078386844038","0.0","0.0","0.0","1.0","22.433831185799672","1","1","0"
"2016","41630","경기도","양주시","11.771338845487161","0.0","0.0","0.0","0.0","0.0","1.0","2.839359732614477","1","1","0"
"2016","41650","경기도","포천시","11.336189092828421","0.0","0.8020973174200708","0.0","0.0","0.0","1.0","7.034360749903426","1","1","0"
"2016","41670","경기도","여주시","0.0","0.0","1.758439110009327","0.0","","","1.0","3.898896967995928","1","1","0"
"2016","41800","경기도","연천군","13.612457711944083","0.0","0.0","0.0","0.0","0.0","1.0","24.23761396646297","1","1","0"
"2016","41820","경기도","가평군","9.946282660054166","0.0","1.1231323643669833","0.0","0.0","0.0","1.0","2.761531025552801","1","1","0"
"2016","41830","경기도","양평군","10.698442986350555","0.0","1.371500143409458","0.0","0.0","0.0","1.0","3.95697339287642","1","1","0"
"2016","43111","충청북도","청주시 상당구","","","1.8475873797243378","","","","1.0","2.461674022814428","0","1","0"
"2016","43112","충청북도","청주시 서원구","","","4.815619103817206","","","","","","0","1","0"
"2016","43113","충청북도","청주시 흥덕구","","","5.568352028466287","","","","","","0","1","0"
"2016","43114","충청북도","청주시 청원구","","","4.06658635161927","","","","","","0","1","0"
"2016","43130","충청북도","충주시","10.585207488660595","7.370654179871048","2.57672339293489","0.0","0.03859928","0.0","","","1","1","0"
"2016","43150","충청북도","제천시","10.521638726255885","6.804540427586918","2.2991674262882356","0.0","0.023702642","0.0","1.0","0.8587935272198425","1","1","0"
"2016","43720","충청북도","보은군","9.508664057815288","7.40560159424259","1.7975094560166907","0.0","0.108747773","0.0","","","1","1","0"
"2016","43730","충청북도","옥천군","7.843927309545411","10.157350802920728","0.0","0.0","0.910011627","0.0","","","1","1","0"
"2016","43740","충청북도","영동군","8.671443740572178","9.19510168150784","1.9569110241925562","8.661217288031688","0.459012601","0.2691103777459881","1.0","0.8693319726026306","1","1","0"
"2016","43745","충청북도","증평군","11.80181047773381","10.279529095337756","0.0","0.0","0.179121874","0.0","","","1","1","0"
"2016","43750","충청북도","진천군","10.415891044693147","8.51228894898566","2.7870126005516918","0.0","0.129682024","0.0","","","1","1","0"
"2016","43760","충청북도","괴산군","9.050873519852207","6.792509425608527","1.483223893840756","0.0","0.094544323","0.0","","","1","1","0"
"2016","43770","충청북도","음성군","11.216266844754394","8.438978934024018","2.9282949162595266","0.0","0.058552723","0.0","","","1","1","0"
"2016","43800","충청북도","단양군","9.976528927928058","6.723849512213749","0.8208431204074615","0.0","0.037189306","0.0","1.0","0.5342984890304828","1","1","0"
"2016","44131","충청남도","천안시 동남구","","","2.61139734356423","","","","1.0","3.5461814599572232","0","1","0"
"2016","44133","충청남도","천안시 서북구","","","0.0","","","","","","0","1","0"
"2016","44150","충청남도","공주시","9.952836595048801","9.347346497436117","2.179179206934905","0.0","0.353079606","0.0","","","1","1","0"
"2016","44180","충청남도","보령시","10.612793000645013","0.0","1.5195504097465728","0.0","0.0","0.0","1.0","1.0848854176486256","1","1","0"
"2016","44200","충청남도","아산시","11.368799489316034","0.0","2.02187202205361","0.0","0.0","0.0","","","1","1","0"
"2016","44210","충청남도","서산시","9.219929683644342","0.0","0.6274922460749682","0.0","0.0","0.0","","","1","1","0"
"2016","44230","충청남도","논산시","12.06319705095459","0.0","3.028203052823415","0.0","0.0","0.0","1.0","0.9108053619372088","1","1","0"
"2016","44250","충청남도","계룡시","9.97293513815207","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","44270","충청남도","당진시","10.380980800901888","0.0","2.2401333481171775","0.0","0.0","0.0","","","1","1","0"
"2016","44710","충청남도","금산군","10.888749833900645","0.0","2.154316496001003","0.0","0.0","0.0","1.0","1.311914928277448","1","1","0"
"2016","44760","충청남도","부여군","10.25628802477453","0.0","2.298218307650813","0.0","0.0","0.0","1.0","0.10819364241225492","1","1","0"
"2016","44770","충청남도","서천군","10.817444166805744","0.0","0.0","0.0","0.0","0.0","1.0","0.29013724686533143","1","1","0"
"2016","44790","충청남도","청양군","10.082737818687496","0.0","1.5571192779403842","0.0","0.0","0.0","1.0","0.2415610224193841","1","1","0"
"2016","44800","충청남도","홍성군","9.780852587982626","0.0","2.0166566713287986","0.0","0.0","0.0","","","1","1","0"
"2016","44810","충청남도","예산군","10.066508688341965","0.0","1.840370301417983","0.0","0.0","0.0","","","1","1","0"
"2016","44825","충청남도","태안군","10.345180760513943","0.0","0.5504352063403257","0.0","0.0","0.0","","","1","1","0"
"2016","45111","전라북도","전주시 완산구","","","0.0","","","","","","0","1","0"
"2016","45113","전라북도","전주시 덕진구","","","0.0","","","","","","0","1","0"
"2016","45130","전라북도","군산시","13.184906125580943","0.0","1.6928165301878575","0.0","0.0","0.0","1.0","15.298613485453936","1","1","0"
"2016","45140","전라북도","익산시","11.331520303489578","0.0","0.0","0.0","0.0","0.0","1.0","2.905402775004961","1","1","0"
"2016","45180","전라북도","정읍시","9.3062320927236","0.0","2.1992462441979583","0.0","0.0","0.0","","","1","1","0"
"2016","45190","전라북도","남원시","8.1134060629379","0.0","1.699371888662432","0.0","0.0","0.0","","","1","1","0"
"2016","45210","전라북도","김제시","11.621522097741508","0.0","0.0","0.0","0.0","0.0","1.0","2.105656764689842","1","1","0"
"2016","45710","전라북도","완주군","10.095660608242667","0.0","1.10901252496341","0.0","0.0","0.0","","","1","1","0"
"2016","45720","전라북도","진안군","9.279211721945625","9.02263213052831","1.5192934275195018","0.0","0.43619799","0.0","","","1","1","0"
"2016","45730","전라북도","무주군","9.114864272963123","0.0","2.467591638486618","0.0","0.0","0.0","","","1","1","0"
"2016","45740","전라북도","장수군","8.801985820050712","0.0","2.6231782554292766","0.0","0.0","0.0","","","1","1","0"
"2016","45750","전라북도","임실군","10.65835882036689","0.0","1.424664447822283","0.0","0.0","0.0","1.0","1.324451832233092","1","1","0"
"2016","45770","전라북도","순창군","10.675200187270429","0.0","1.670400151889266","0.0","0.0","0.0","1.0","1.1333650066142986","1","1","0"
"2016","45790","전라북도","고창군","8.90001138256882","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","45800","전라북도","부안군","9.533095209172187","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","46110","전라남도","목포시","11.284981619023581","0.0","3.0766871210233","0.0","0.0","0.0","1.0","0.6516228194166204","1","1","0"
"2016","46130","전라남도","여수시","10.394954357457026","0.0","1.8627259671043552","0.0","0.0","0.0","1.0","3.7249131310527788","1","1","0"
"2016","46150","전라남도","순천시","10.42795863833654","0.0","2.4509374807946314","0.0","0.0","0.0","1.0","2.235811022173991","1","1","0"
"2016","46170","전라남도","나주시","8.719349971263844","0.0","3.1022999846193295","0.0","0.0","0.0","","","1","1","0"
"2016","46230","전라남도","광양시","10.632017164844617","0.0","2.027402744421481","0.0","0.0","0.0","1.0","3.6501299947010497","1","1","0"
"2016","46710","전라남도","담양군","8.311831608972142","0.0","2.7479406671938675","0.0","0.0","0.0","","","1","1","0"
"2016","46720","전라남도","곡성군","8.232017233797821","0.0","2.0229813885835446","0.0","0.0","0.0","","","1","1","0"
"2016","46730","전라남도","구례군","8.21878865014843","0.0","1.5020128749528396","0.0","0.0","0.0","","","1","1","0"
"2016","46770","전라남도","고흥군","8.729455863636899","0.0","2.49393398184685","0.0","0.0","0.0","1.0","0.20481883953948898","1","1","0"
"2016","46780","전라남도","보성군","9.98997336726398","0.0","3.1525340188567186","0.0","0.0","0.0","1.0","0.34399140242425186","1","1","0"
"2016","46790","전라남도","화순군","8.523445439674017","0.0","2.311010673063944","0.0","0.0","0.0","","","1","1","0"
"2016","46800","전라남도","장흥군","9.438352117942923","0.0","2.535695223181636","0.0","0.0","0.0","","","1","1","0"
"2016","46810","전라남도","강진군","8.809135078024106","0.0","1.9431655609687355","0.0","0.0","0.0","","","1","1","0"
"2016","46820","전라남도","해남군","9.586939083553624","0.0","2.569044492138292","0.0","0.0","0.0","","","1","1","0"
"2016","46830","전라남도","영암군","5.521817929623329","0.0","1.25015748824723","0.0","0.0","0.0","","","1","1","0"
"2016","46840","전라남도","무안군","11.839093661095193","0.0","0.0","0.0","0.0","0.0","1.0","0.1465307391548116","1","1","0"
"2016","46860","전라남도","함평군","9.762523212410102","0.0","1.6441761966750719","0.0","0.0","0.0","","","1","1","0"
"2016","46870","전라남도","영광군","8.907268556252102","0.0","0.8416473673196126","0.0","0.0","0.0","","","1","1","0"
"2016","46880","전라남도","장성군","8.302949952160857","0.0","2.255488194054421","0.0","0.0","0.0","","","1","1","0"
"2016","46890","전라남도","완도군","7.6920808384110115","0.0","1.4782205288678318","0.0","0.0","0.0","","","1","1","0"
"2016","46900","전라남도","진도군","9.853285933883202","0.0","2.514445715392703","0.0","0.0","0.0","","","1","1","0"
"2016","46910","전라남도","신안군","9.992788080754922","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","47111","경상북도","포항시 남구","","","2.4146967785757627","","","","1.0","13.45213064656263","0","1","0"
"2016","47113","경상북도","포항시 북구","","","1.747912526594001","","","","","","0","1","0"
"2016","47130","경상북도","경주시","12.34831037681777","0.0","1.4299072893682019","0.0","0.0","0.0","1.0","3.429716263422106","1","1","0"
"2016","47150","경상북도","김천시","9.523418581880446","7.95381574511485","1.4718806809085143","0.0","0.172233343","0.0","1.0","0.40347823222356827","1","1","0"
"2016","47170","경상북도","안동시","12.123598154397518","0.0","1.4346322028807452","0.0","0.0","0.0","1.0","2.0118052061627725","1","1","0"
"2016","47190","경상북도","구미시","13.07010375912768","0.0","1.6801623033531565","0.0","0.0","0.0","1.0","5.08714931190675","1","1","0"
"2016","47210","경상북도","영주시","10.826006312745523","0.0","1.8585901492460968","0.0","0.0","0.0","1.0","0.7111514069045755","1","1","0"
"2016","47230","경상북도","영천시","9.180325815178854","7.331137034251379","1.1789350432279222","0.0","0.135903336","0.0","1.0","0.883707375863207","1","1","0"
"2016","47250","경상북도","상주시","8.822002618548085","7.534523119190211","1.8745447882010968","0.0","0.216214148","0.0","1.0","0.8329748536904122","1","1","0"
"2016","47280","경상북도","문경시","10.391601815080673","7.6936675881663","1.5855832518626445","0.0","0.063070237","0.0","","","1","1","0"
"2016","47290","경상북도","경산시","10.038582271442708","0.0","1.8830879532423734","0.0","0.0","0.0","1.0","0.45077889592758086","1","1","0"
"2016","47730","경상북도","의성군","10.356836008475769","0.0","1.0045365973636717","0.0","0.0","0.0","1.0","0.5342490597825028","1","1","0"
"2016","47750","경상북도","청송군","9.710709458277071","0.0","1.3835900677563626","0.0","0.0","0.0","","","1","1","0"
"2016","47760","경상북도","영양군","9.577337220188546","0.0","1.0870525070422863","0.0","0.0","0.0","","","1","1","0"
"2016","47770","경상북도","영덕군","9.723973979776558","0.0","1.0426853227356148","0.0","0.0","0.0","1.0","1.247892702396217","1","1","0"
"2016","47820","경상북도","청도군","9.799315367807571","0.0","1.0036015674289929","0.0","0.0","0.0","1.0","1.2966431959121738","1","1","0"
"2016","47830","경상북도","고령군","9.716093863307089","0.0","1.066694752795173","0.0","0.0","0.0","1.0","0.7209487648539746","1","1","0"
