"연도","시군구코드","시도","시군구","시군구_전체명","메인지수A_예산기반_pooled","메인지수A_예산기반_연도별표준화","확장지수B_예산법인_pooled","확장지수B_예산법인_연도별표준화","핵심_소나무림면적당_총대응예산_log","핵심_소나무림면적당_예찰예산_log","확장_소나무림1만ha당_방제법인수_log","보조_소나무림면적당_이동단속예산_log","보조_예찰예산비중","보조_이동단속예산비중","보조_반출금지구역_지정여부","보조_반출금지구역_면적비율","원자료_총대응예산_원","원자료_예찰예산_원","원자료_이동단속예산_원","원자료_포함대응예산_원","원자료_직접대응예산_원","원자료_광의대응예산_원","소나무림면적_ha","활동방제법인수","소나무림1만ha당_방제법인수","반출금지구역_면적_ha","예산관측여부","예산결측사유","소나무림면적_관측여부","소나무림면적_양수여부","예산기반지수_사용가능여부","확장지수_사용가능여부","분석단위_매칭여부","법인자료_관측여부","법인자료_연도완전여부","법인자료_최신성주의플래그","법인자료_기준일","법인자료_지역매칭여부","반출금지구역_이력완전여부","반출금지구역_날짜품질플래그","반출금지구역_지역매칭여부"
"2016","11500","서울특별시","강서구","서울특별시 강서구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","26.64259896071815","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11530","서울특별시","구로구","서울특별시 구로구","0.1617114628","0.6185865629","-0.1926188091","0.0907847123","15.794902545993445","0.0","0.0","0.0","0.0","0.0","","","116386000.0","0.0","0.0","116386000.0","0.0","116386000.0","16.079101788615233","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11545","서울특별시","금천구","서울특별시 금천구","0.0077395335","0.47047652","1.2742484609","1.6167718089","14.670745644841997","0.0","5.969796480460376","0.0","0.0","0.0","","","60240000.0","0.0","0.0","60240000.0","0.0","60240000.0","25.61304832421682","1.0","390.4259998035893","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11560","서울특별시","영등포구","서울특별시 영등포구","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","1","observed","1","0","0","0","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11590","서울특별시","동작구","서울특별시 동작구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","19.78023516826956","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11620","서울특별시","관악구","서울특별시 관악구","-2.0016623643","-1.4624251639","-0.7083967833","-0.342332436","0.0","0.0","3.50614143500919","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","309.4111662481816","1.0","32.31945414658664","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11650","서울특별시","서초구","서울특별시 서초구","0.0380985039","0.4996796899","-0.2747487344","0.0115134637","14.89239803492421","0.0","0.0","0.0","0.0","0.0","","","236908000.0","0.0","0.0","236908000.0","0.0","236908000.0","80.70372588686055","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11680","서울특별시","강남구","서울특별시 강남구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","13.375270459764742","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11710","서울특별시","송파구","서울특별시 송파구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","28.51808124942784","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11740","서울특별시","강동구","서울특별시 강동구","0.1395922549","0.5973094585","-0.2073150748","0.076599976","15.63340908263499","0.0","0.0","0.0","0.0","0.0","","","111901000.0","0.0","0.0","111901000.0","0.0","111901000.0","18.168988088480827","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26110","부산광역시","중구","부산광역시 중구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","1.9206728470322727","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26140","부산광역시","서구","부산광역시 서구","-0.2800300341","0.1936626669","-0.4861171322","-0.192497885","12.569725368834265","0.0","0.0","0.0","0.0","0.0","","","50112000.0","0.0","0.0","50112000.0","0.0","50112000.0","174.17301864018526","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26170","부산광역시","동구","부산광역시 동구","-0.2014638514","0.2692377457","-0.4339168227","-0.1421144992","13.143341071581599","0.0","0.0","0.0","0.0","0.0","","","62326000.0","0.0","0.0","62326000.0","0.0","62326000.0","122.06456414754766","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26200","부산광역시","영도구","부산광역시 영도구","-0.1647589627","0.3045452376","-0.4095296565","-0.1185761712","13.411325334489518","0.0","0.0","0.0","0.0","0.0","","","193850000.0","0.0","0.0","193850000.0","0.0","193850000.0","290.4035146521948","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26230","부산광역시","부산진구","부산광역시 부산진구","-0.4028468387","0.0755216376","-0.5677180831","-0.2712585712","11.673033620168843","0.0","0.0","0.0","0.0","0.0","1.0","2.7782241123074805","46088000.0","0.0","0.0","46088000.0","46088000.0","46088000.0","392.6969012927685","0.0","0.0","1091.0","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","full_date","1"
"2016","26260","부산광역시","동래구","부산광역시 동래구","-0.3374041549","0.1384728441","0.4324570539","0.7612765253","12.150833989349259","0.0","3.639680185615748","0.0","0.0","0.0","","","51039000.0","0.0","0.0","51039000.0","0.0","51039000.0","269.6896622776364","1.0","37.07965635592416","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26290","부산광역시","남구","부산광역시 남구","-0.20724904","0.2636728058","-0.437760571","-0.1458244591","13.101103115200354","0.0","0.0","0.0","0.0","0.0","","","205664000.0","0.0","0.0","205664000.0","0.0","205664000.0","420.1674216945598","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26320","부산광역시","북구","부산광역시 북구","-0.4004917656","0.0777870503","-0.5661533444","-0.269748296","11.690228128505947","0.0","0.0","0.0","0.0","0.0","","","102053000.0","0.0","0.0","102053000.0","0.0","102053000.0","854.7278301363647","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26350","부산광역시","해운대구","부산광역시 해운대구","-0.4671625686","0.0136544806","-0.6104502217","-0.3125033426","11.203461198463696","0.0","0.0","0.0","0.0","0.0","","","136054000.0","0.0","0.0","136054000.0","0.0","136054000.0","1854.0261530217567","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
