연도,시도,시군구,국비지원액_원,총사업비_원,국비비율(%),매칭사업수,매칭사업명,예찰진단_국비지원액_원,예찰진단_총사업비_원,예찰진단_국비비율(%),예찰진단_매칭사업수,예찰진단_사업명목록,국비지원액_최종_원,총사업비_최종_원,국비비율_최종(%),매칭사업수_최종,산림면적_ha,산림면적당_국비지원액(원per ha),산림면적당_국비지원액_최종(원per ha),시도비_원(참고),시군구비_원(참고),기타재원_원(참고),출처,비고
2016,경상남도,남해군,0.0,0.0,,0,,0.0,0.0,,0,,0.0,0.0,,0,22580.0,0.0,0.0,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음) / 예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,남해군,341057000.0,484765000.0,70.36,1,소나무재선충병 방제,108581000.0,217162000.0,50.0,1,산림재해일자리 장기(산림병해충예찰방제단)(경상),449638000.0,701927000.0,64.06,2,22539.3,15131.66,19949.1,42787000.0,100921000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경상남도,남해군,158962000.0,220809000.0,71.99,1,소나무재선충병 방제,80639000.0,161278000.0,50.0,1,산림재해일자리 장기(산림병해충예찰방제단)(경상),239601000.0,382087000.0,62.71,2,22498.7,7065.39,10649.5,18554000.0,43293000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,남해군,422425000.0,631514000.0,66.89,2,소나무재선충병 방제; 소나무재선충병 재해대책비,86026000.0,172052000.0,50.0,1,산림재해일자리 장기(산림병해충예찰방제단)(경상),508451000.0,803566000.0,63.27,3,22458.2,18809.39,22639.9,62726000.0,146363000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,남해군,491538000.0,689043000.0,71.34,2,소나무재선충병 방제; 소나무재선충병 방제 이동식 파쇄기,111284000.0,205369000.0,54.19,3,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자산); 희망일자리 사업(산림병해충 예찰방제단),602822000.0,894412000.0,67.4,5,22417.7,21926.33,26890.4,59251000.0,138254000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,남해군,184286000.0,239326000.0,77.0,1,소나무재선충병 방제,110310000.0,220620000.0,50.0,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),294596000.0,459946000.0,64.05,3,22377.3,8235.4,13164.9,16513000.0,38527000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경상남도,남해군,255212000.0,347948000.0,73.35,2,소나무재선충병 긴급방제비; 소나무재선충병 방제,199453000.0,398906000.0,50.0,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),454665000.0,746854000.0,60.88,4,22337.0,11425.53,20354.8,27820000.0,64916000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,남해군,458636000.0,648917000.0,70.68,1,소나무재선충병 방제,186557000.0,373114000.0,50.0,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),645193000.0,1022031000.0,63.13,3,22296.7,20569.68,28936.7,56927000.0,133354000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경상남도,밀양시,1788000000.0,3576000000.0,50.0,1,재해대책비(소나무재선충병 방제),0.0,0.0,,0,,1788000000.0,3576000000.0,50.0,1,49008.3,36483.62,36483.6,536400000.0,1251600000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,밀양시,3080896000.0,5869916530.0,52.49,1,소나무재선충병 방제,645926000.0,1291852000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),3726822000.0,7161768530.0,52.04,3,48943.6,62947.88,76145.2,830187470.0,1958833060.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경상남도,밀양시,2917431880.0,4879754960.0,59.79,2,소나무재선충병 방제; 재해대책비(소나무재선충병방제),323653890.0,862063320.0,37.54,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),3241085770.0,5741818280.0,56.45,4,48878.9,59686.94,66308.5,455584630.0,1506738450.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,밀양시,2327178380.0,5047793150.0,46.1,3,소나무재선충병 방제; 재선충병 이동단속; 재해대책비(소나무재선충병방제),182531060.0,388040180.0,47.04,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),2509709440.0,5435833330.0,46.17,5,48814.3,47674.11,51413.4,393007930.0,2327606840.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,밀양시,1285031090.0,4334785600.0,29.64,3,소나무재선충병 방제; 재선충병 이동단속; 재해대책비(소나무재선충병방제),215259000.0,361719000.0,59.51,3,산림병해충 예찰방제단(희망일자리사업); 산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),1500290090.0,4696504600.0,31.94,6,48749.8,26359.72,30775.3,180033300.0,2869721210.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,밀양시,1165825000.0,3513757000.0,33.18,3,소나무재선충병 방제; 재선충병 이동단속; 재해대책비(소나무재선충병방제),168404000.0,336808000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),1334229000.0,3850565000.0,34.65,5,48685.4,23946.09,27405.1,180293000.0,2167639000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경상남도,밀양시,3389627000.0,10707708000.0,31.66,3,소나무재선충병 방제; 재선충병 이동단속; 재해대책비(소나무재선충병방제),211188000.0,422376000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),3600815000.0,11130084000.0,32.35,5,48621.0,69715.29,74058.8,785911500.0,6532169500.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,밀양시,8160516222.0,18673207000.0,43.7,3,소나무재선충병 방제; 재선충병 이동단속; 재해대책비(소나무재선충병방제),274629000.0,549258000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리 장기(산림병해충예찰방제단)(자본),8435145222.0,19222465000.0,43.88,5,48556.8,168061.24,173717.1,1149139509.0,9363551269.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경상남도,사천시,0.0,0.0,,0,,0.0,0.0,,0,,0.0,0.0,,0,22092.4,0.0,0.0,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음) / 예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,사천시,1301824000.0,1856666000.0,70.12,1,소나무재선충병 방제,0.0,0.0,,0,,1301824000.0,1856666000.0,70.12,1,21943.7,59325.64,59325.6,164987000.0,389855000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2018,경상남도,사천시,1330713000.0,2184766000.0,60.91,3,소나무재선충병 방제; 소나무재선충병 방제(자본); 재해대책비(소나무재선충병방제),0.0,0.0,,0,,1330713000.0,2184766000.0,60.91,3,21796.1,61052.8,61052.8,255316000.0,598737000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2019,경상남도,사천시,1264658000.0,2085347000.0,60.64,3,소나무재선충병 긴급방제; 소나무재선충병 방제(경상); 소나무재선충병 재해대책비,0.0,0.0,,0,,1264658000.0,2085347000.0,60.64,3,21649.5,58415.11,58415.1,351206000.0,469483000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2020,경상남도,사천시,897750000.0,1258211000.0,71.35,1,소나무재선충병 방제,0.0,0.0,,0,,897750000.0,1258211000.0,71.35,1,21503.8,41748.44,41748.4,108135000.0,252326000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2021,경상남도,사천시,838990000.0,1241222000.0,67.59,2,소나무재선충병 방제; 재해대책비(소나무재선충병방제),0.0,0.0,,0,,838990000.0,1241222000.0,67.59,2,21359.2,39280.03,39280.0,120670000.0,281562000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2022,경상남도,사천시,878588000.0,1791919000.0,49.03,3,소나무재선충병 긴급방제; 소나무재선충병 방제; 소나무재선충병 방제(자체),0.0,0.0,,0,,878588000.0,1791919000.0,49.03,3,21215.5,41412.55,41412.6,123999000.0,789332000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2023,경상남도,사천시,2225982000.0,3991317000.0,55.77,4,소나무재선충병 방제; 소나무재선충병 방제 이동식파쇄기; 소나무재선충병 방제(산림재해대책비); 소나무재선충병 방제(자체),0.0,0.0,,0,,2225982000.0,3991317000.0,55.77,4,21072.7,105633.45,105633.4,348783000.0,1416552000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2016,경상남도,양산시,0.0,0.0,,0,,0.0,0.0,,0,,0.0,0.0,,0,34844.8,0.0,0.0,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음) / 예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,양산시,831448000.0,1183359000.0,70.26,1,소나무재선충병 방제,187450000.0,374899000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,1018898000.0,1558258000.0,65.39,3,34785.1,23902.42,29291.2,104433000.0,247478000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경상남도,양산시,724784000.0,1140396000.0,63.56,2,소나무재선충병 방제; 재해대책비(소나무재선충병 방제),125579000.0,251158000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,850363000.0,1391554000.0,61.11,4,34725.6,20871.75,24488.1,124683000.0,290929000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,양산시,836509360.0,1385515720.0,60.38,2,소나무재선충병 방제; 재해대책비(소나무재선충병 방제),133659000.0,267319000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,970168360.0,1652834720.0,58.7,4,34666.2,24130.4,27986.0,163801810.0,385204550.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,양산시,575458550.0,866661100.0,66.4,2,소나무재선충병 방제; 재해대책비(소나무재선충병 방제),137926000.0,275852000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,713384550.0,1142513100.0,62.44,4,34606.8,16628.48,20614.0,87361260.0,203841290.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,양산시,855030180.0,1172163410.0,72.94,2,문화재 주변 소나무 재선충 방제사업; 소나무재선충병 방제,168404000.0,336808000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,1023434180.0,1508971410.0,67.82,4,34547.6,24749.34,29623.9,95140170.0,221993060.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경상남도,양산시,718798260.0,1055356530.0,68.11,2,소나무재선충병 방제; 재해대책비(소나무재선충병 방제),187723000.0,375446000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,906521260.0,1430802530.0,63.36,4,34488.5,20841.68,26284.7,100966580.0,235591690.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,양산시,1938070000.0,3136027000.0,61.8,3,소나무재선충병 방제; 소나무재선충병 방제 예방나무주사 사업; 소나무재선충병 방제(산림재해대책비),199731000.0,399462000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)경상; 산림재해일자리 장기(산림병해충예찰방제단)자본,2137801000.0,3535489000.0,60.47,5,34429.5,56290.97,62092.1,346091000.0,811866000.0,40000000.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경상남도,진주시,50000000.0,100000000.0,50.0,1,재해대책비(소나무재선충병 방제),0.0,0.0,,0,,50000000.0,100000000.0,50.0,1,40157.0,1245.11,1245.1,15000000.0,35000000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,진주시,528442000.0,757476000.0,69.76,1,소나무 재선충병 방제,286448000.0,1336419000.0,21.43,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),814890000.0,2093895000.0,38.92,3,40023.8,13203.19,20360.1,67335000.0,161699000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경상남도,진주시,798012000.0,2137903000.0,37.33,1,소나무 재선충병 방제,125579000.0,1085730000.0,11.57,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),923591000.0,3223633000.0,28.65,3,39891.0,20004.81,23152.9,150147000.0,1189744000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,진주시,1044133000.0,3870558000.0,26.98,4,소나무 재선충병 긴급방제(경상); 소나무 재선충병 방제(경상); 소나무 재선충병 방제(자본); 재해대책비(소나무재선충병 방제),133659000.0,1145741000.0,11.67,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),1177792000.0,5016299000.0,23.48,6,39758.6,26261.82,29623.6,276104000.0,2550321000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,진주시,882833000.0,3333350000.0,26.48,1,소나무 재선충병 방제(경상),220259000.0,1237093000.0,17.8,3,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본); 코로나19 극복 희망일자리사업(산림병해충 예찰방제단),1103092000.0,4570443000.0,24.14,4,39626.7,22278.74,27837.1,109435000.0,2341082000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,진주시,1253543360.0,3436462340.0,36.48,2,소나무 재선충병 긴급방제(경상); 소나무 재선충병 방제(경상),221304000.0,1387354000.0,15.95,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),1474847360.0,4823816340.0,30.57,4,39495.2,31739.13,37342.4,149033000.0,2033885980.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경상남도,진주시,714292000.0,2478638460.0,28.82,2,소나무 재선충병 긴급방제(경상); 소나무 재선충병 방제(경상),211188000.0,1395260000.0,15.14,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),925480000.0,3873898460.0,23.89,4,39364.1,18145.77,23510.8,98744000.0,1665602460.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,진주시,1698008000.0,3819241000.0,44.46,1,소나무 재선충병 방제(경상),224697000.0,1442914000.0,15.57,2,산림병해충 예찰방제단(경상); 산림병해충 예찰방제단(자본),1922705000.0,5262155000.0,36.54,3,39233.5,43279.54,49006.7,212264000.0,1908969000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경상남도,통영시,0.0,0.0,,0,,0.0,0.0,,0,,0.0,0.0,,0,15156.6,0.0,0.0,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음) / 예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,통영시,306389000.0,596016000.0,51.41,1,소나무재선충병 방제,303093000.0,565649000.0,53.58,2,산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),609482000.0,1161665000.0,52.47,3,15153.8,20218.63,40219.7,38597000.0,251030000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경상남도,통영시,716715000.0,1116624000.0,64.19,3,소나무재선충병 방제; 소나무재선충병 방제(자체); 재해대책비(소나무재선충병 방제),125579000.0,251158000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),842294000.0,1367782000.0,61.58,5,15151.0,47304.8,55593.3,110023000.0,289886000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,통영시,1313824910.0,2032021770.0,64.66,4,소나무재선충병 방제; 소나무재선충병 방제(자본); 소나무재선충병 방제(자체); 재해대책비(소나무재선충병 방제),133899520.0,267800040.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),1447724430.0,2299821810.0,62.95,6,15148.2,86731.42,95570.7,192220570.0,525976290.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,통영시,619645920.0,1124619180.0,55.1,4,소나무재선충병 방제; 소나무재선충병 방제(자본); 소나무재선충병 방제(자체); 재해대책비(소나무재선충병 방제),195926000.0,340252000.0,57.58,3,산림병해충예찰방제단(확대); 산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),815571920.0,1464871180.0,55.68,7,15145.4,40913.14,53849.5,72236170.0,432737090.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,통영시,618553020.0,1067361870.0,57.95,3,소나무재선충병 방제; 소나무재선충병 방제(자체); 재해대책비(소나무재선충병 방제),162526000.0,325052000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),781079020.0,1392413870.0,56.1,5,15142.6,40848.53,51581.6,90619360.0,358189490.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경상남도,통영시,630856220.0,1074822340.0,58.69,4,소나무재선충병 긴급방제; 소나무재선충병 방제; 소나무재선충병 방제(자체); 재해대책비(소나무재선충병 방제),187723000.0,375446000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),818579220.0,1450268340.0,56.44,6,15139.7,41669.0,54068.4,105247370.0,338718750.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,통영시,812456130.0,1558366750.0,52.14,4,소나무재선충병 긴급방제; 소나무재선충병 방제; 소나무재선충병 방제(자체); 재해대책비(소나무재선충병 방제),124832000.0,249664000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(경상),937288130.0,1808030750.0,51.84,6,15136.9,53673.88,61920.7,146318330.0,599592290.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
