연도,시도,시군구,국비지원액_원,총사업비_원,국비비율(%),매칭사업수,매칭사업명,예찰진단_국비지원액_원,예찰진단_총사업비_원,예찰진단_국비비율(%),예찰진단_매칭사업수,예찰진단_사업명목록,국비지원액_최종_원,총사업비_최종_원,국비비율_최종(%),매칭사업수_최종,산림면적_ha,산림면적당_국비지원액(원per ha),산림면적당_국비지원액_최종(원per ha),시도비_원(참고),시군구비_원(참고),기타재원_원(참고),출처,비고
2018,경기도,안성시,223513000.0,848108000.0,26.35,1,소나무재선충병 방제,9265000.0,18530000.0,50.0,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),232778000.0,866638000.0,26.86,3,21428.2,10430.79,10863.2,112797000.0,511798000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경기도,안성시,106590503.0,470816000.0,22.64,2,소나무재선충병 방제(국비); 소나무재선충병 예방(도비),9335000.0,18671000.0,50.0,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),115925503.0,489487000.0,23.68,4,21421.4,4975.89,5411.7,119839686.0,244385811.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경기도,안성시,115797000.0,574946910.0,20.14,2,소나무재선충병 방제(국비); 소나무재선충병 예방(도비),9330000.0,18659000.0,50.0,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),125127000.0,593605910.0,21.08,4,21414.6,5407.39,5843.1,137744681.0,321405229.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경기도,안성시,190222000.0,434296000.0,43.8,2,소나무재선충병 방제(국비); 소나무재선충병 예방(도비),9028000.0,18500000.0,48.8,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),199250000.0,452796000.0,44.0,4,21407.8,8885.64,9307.4,73222000.0,170852000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경기도,안성시,129253000.0,269089000.0,48.03,2,소나무재선충병 방제(국비); 소나무재선충병 예방(도비),9340000.0,18680000.0,50.0,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),138593000.0,287769000.0,48.16,4,21401.0,6039.58,6476.0,41951000.0,97885000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경기도,안성시,85774000.0,314288000.0,27.29,2,소나무재선충병 방제(국비); 소나무재선충병 예방(도비),8971000.0,17940000.0,50.01,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),94745000.0,332228000.0,28.52,4,21394.3,4009.2,4428.5,70614000.0,157900000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경기도,파주시,0.0,0.0,,0,,0.0,0.0,,0,,0.0,0.0,,0,6791.2,0.0,0.0,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음) / 예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경기도,파주시,21088000.0,30126000.0,70.0,1,소나무재선충병 방제,112309000.0,224618000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단),133397000.0,254744000.0,52.37,3,6789.0,3106.2,19649.0,2712000.0,6326000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경기도,파주시,91574000.0,185454000.0,49.38,2,소나무재선충병 방제; 소나무재선충병 예방,42464000.0,84928000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단),134038000.0,270382000.0,49.57,4,6786.9,13492.76,19749.5,28165000.0,65715000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경기도,파주시,101577000.0,259259000.0,39.18,4,산림재해 대책(소나무재선충병 긴급방제); 소나무재선충병 방제; 소나무재선충병 방제(자체); 소나무재선충병 예방,45108000.0,90215000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단),146685000.0,349474000.0,41.97,6,6784.7,14971.48,21620.0,41304000.0,116378000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
