year,sigungu_cd,sigungu_nm,sido,sigungu_full_nm,log_resource_budget_per_pine_ha,log_surveillance_budget_per_pine_ha,log_movement_budget_per_pine_ha,resource_local_budget,surveillance_local_budget,movement_local_budget,included_local_budget,surveillance_share,movement_share_included_budget,prev_infected_sites,current_infected_sites,recurrent_sites_300m,recurrence_rate_300m,pine_area_ha_2024,pine_area_positive,pine_area_observed,budget_observed,budget_missing_reason
2016,26410,금정구,부산광역시,부산광역시 금정구,11.394317668492125,0.0,0.0,161096000.0,0.0,0.0,161096000.0,0.0,0.0,,28,,,1813.845778,1,1,1,observed
2016,26440,강서구,부산광역시,부산광역시 강서구,11.75949638625625,0.0,0.0,192736000.0,0.0,0.0,192736000.0,0.0,0.0,,30,,,1506.197231,1,1,1,observed
2016,26470,연제구,부산광역시,부산광역시 연제구,13.172969258067194,0.0,0.0,46266000.0,0.0,0.0,46266000.0,0.0,0.0,,0,,,87.9660154,1,1,1,observed
2016,26500,수영구,부산광역시,부산광역시 수영구,13.25805373708137,0.0,0.0,50994000.0,0.0,0.0,50994000.0,0.0,0.0,,0,,,89.04719818,1,1,1,observed
2016,26530,사상구,부산광역시,부산광역시 사상구,11.475683458804438,0.0,0.0,51068000.0,0.0,0.0,51068000.0,0.0,0.0,,0,,,530.0628353,1,1,1,observed
2016,26710,기장군,부산광역시,부산광역시 기장군,11.901913814424535,0.0,0.0,741957000.0,0.0,0.0,741957000.0,0.0,0.0,,15,,,5028.589523,1,1,1,observed
2016,27110,중구,대구광역시,대구광역시 중구,,,,0.0,0.0,0.0,0.0,,,,0,,,0.0,0,1,1,observed
2016,27140,동구,대구광역시,대구광역시 동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,,4979.121459,1,1,1,observed
2016,27170,서구,대구광역시,대구광역시 서구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,,32.72982907,1,1,1,observed
2016,27200,남구,대구광역시,대구광역시 남구,10.659791988615982,0.0,0.0,12405000.0,0.0,0.0,12405000.0,0.0,0.0,,0,,,291.1508904,1,1,1,observed
2016,27230,북구,대구광역시,대구광역시 북구,11.220589579509856,0.0,0.0,170300000.0,0.0,0.0,170300000.0,0.0,0.0,,1596,,,2281.289111,1,1,1,observed
2016,27260,수성구,대구광역시,대구광역시 수성구,9.817846728818228,0.0,0.0,19962000.0,0.0,0.0,19962000.0,0.0,0.0,,8,,,1087.404309,1,1,1,observed
