label,sido,sigungu_nm,sigungu_cd,pine_ha_2019판,pine_ha_2024판,sgg_area_ha_2019판,pine_ratio_2019판,pine_ratio_2024판,delta_pct
강원 양구군,강원특별자치도,양구군,51800,1381.1043984930916,8795.137061745016,66076.19242446363,0.0209,0.1331,536.8191333936303
강원 철원군,강원특별자치도,철원군,51780,174.06738674227793,870.090303707032,88970.14670480834,0.002,0.0098,399.8583134905548
인천 옹진군,인천광역시,옹진군,28720,1153.4834967443164,5389.2244303518055,18523.92974916042,0.0623,0.2909,367.21296364991616
경기 연천군,경기도,연천군,41800,378.21379665028775,757.8366768140754,69638.17820540944,0.0054,0.0109,100.37256269495711
경기 파주시,경기도,파주시,41480,383.2401994607623,666.3839299289901,68877.17951211132,0.0056,0.0097,73.88153196523352
강원 고성군,강원특별자치도,고성군,51820,3149.3079987109445,5011.982153953566,66115.49056029732,0.0476,0.0758,59.14550612404502
