key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
강원특별자치도강릉시,2017,16817000.0,213165094.9894246,0.29784279125084,0.0,0.0,강원특별자치도,강릉시,196348094.9894246
강원특별자치도고성군,2017,0.0,155669848.53761438,-0.2062463553418626,0.0,0.0,강원특별자치도,고성군,155669848.53761438
강원특별자치도동해시,2017,0.0,240733710.88966873,0.5395504265688986,0.0,0.0,강원특별자치도,동해시,240733710.88966873
강원특별자치도삼척시,2017,0.0,208401548.02715677,0.2560784286095481,0.0,0.0,강원특별자치도,삼척시,208401548.02715677
강원특별자치도속초시,2017,0.0,191711822.35351112,0.1097513826206972,0.0,0.0,강원특별자치도,속초시,191711822.35351112
강원특별자치도양구군,2017,0.0,178616237.52687728,-0.0050640601641797,0.0,0.0,강원특별자치도,양구군,178616237.52687728
강원특별자치도양양군,2017,0.0,258678637.696958,0.6968824391820941,0.0,0.0,강원특별자치도,양양군,258678637.696958
강원특별자치도영월군,2017,0.0,202449424.27517736,0.2038932277849154,0.0,0.0,강원특별자치도,영월군,202449424.27517736
강원특별자치도원주시,2017,92676000.0,131819414.1661103,-0.4153548616994038,0.000499875041651,1.0,강원특별자치도,원주시,39143414.16611031
강원특별자치도인제군,2017,451000000.0,200997534.16912323,0.1911637920545958,0.0,0.0,강원특별자치도,인제군,-250002465.83087677
강원특별자치도정선군,2017,139179000.0,183768381.27145627,0.0401073218822399,0.0003999200213269,1.0,강원특별자치도,정선군,44589381.27145627
강원특별자치도철원군,2017,0.0,96074094.859977,-0.7287516834490922,0.0,0.0,강원특별자치도,철원군,96074094.859977
강원특별자치도춘천시,2017,266956000.0,170077210.78579998,-0.0799299137482612,0.0129162252665463,1.0,강원특별자치도,춘천시,-96878789.21420002
강원특별자치도태백시,2017,0.0,78101448.13013944,-0.8863267302775193,0.0,0.0,강원특별자치도,태백시,78101448.13013944
강원특별자치도평창군,2017,0.0,82192664.45323476,-0.8504570215257913,0.0,0.0,강원특별자치도,평창군,82192664.45323476
강원특별자치도홍천군,2017,119804000.0,188376345.7777278,0.0805076164951652,0.0006997551142733,1.0,강원특별자치도,홍천군,68572345.77772781
강원특별자치도화천군,2017,0.0,136382503.54639435,-0.3753480094205543,0.0,0.0,강원특별자치도,화천군,136382503.54639435
강원특별자치도횡성군,2017,32604000.0,173165066.51919717,-0.0528571615207496,9.999500033330834e-05,1.0,강원특별자치도,횡성군,140561066.51919717
경기도가평군,2017,99757000.0,186211798.17652544,0.0615299614647808,0.006379606964039,1.0,경기도,가평군,86454798.17652544
경기도고양시,2017,0.0,55002551.38291674,-1.1134169464516983,0.0,0.0,경기도,고양시,55002551.38291674
경기도과천시,2017,0.0,143940126.39329204,-0.3090866071956714,0.0,0.0,경기도,과천시,143940126.39329204
경기도광명시,2017,0.0,119336078.76833075,-0.5248024121603173,0.0,0.0,경기도,광명시,119336078.76833075
경기도광주시,2017,1002837370.0,122657170.208111,-0.4956847676079397,0.5824949104563504,1.0,경기도,광주시,-880180199.791889
경기도구리시,2017,0.0,164028929.4109491,-0.1329581758178315,0.0,0.0,경기도,구리시,164028929.4109491
경기도군포시,2017,0.0,132639502.05584279,-0.408164747212065,0.0,0.0,경기도,군포시,132639502.05584279
경기도김포시,2017,0.0,55002551.38291674,-1.5710805971658777,0.0,0.0,경기도,김포시,55002551.38291674
경기도남양주시,2017,670403000.0,337510596.6604717,0.0186755546827052,0.1369754550270777,1.0,경기도,남양주시,-332892403.3395283
경기도동두천시,2017,337921000.0,114053010.42142937,-0.5711216746860038,0.0081665626663934,1.0,경기도,동두천시,-223867989.57857063
경기도부천시,2017,0.0,94369180.72508478,-0.7436995054745531,0.0,0.0,경기도,부천시,94369180.72508478
경기도성남시,2017,98434000.0,145808814.66493562,-0.292702896641615,0.1036390347594859,1.0,경기도,성남시,47374814.66493562
경기도수원시,2017,0.0,159506374.81628975,-0.1726096396645257,0.0,0.0,경기도,수원시,159506374.81628975
경기도시흥시,2017,0.0,122084481.6526703,-0.5007058102678313,0.0,0.0,경기도,시흥시,122084481.6526703
경기도안산시,2017,0.0,144746723.9341874,-0.3020147692416501,0.0,0.0,경기도,안산시,144746723.9341874
경기도안성시,2017,125836000.0,86264386.57331766,-0.8147582280543078,0.0028958031120255,1.0,경기도,안성시,-39571613.42668234
