시도,시군구,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,노출도_점수_기여,기후위험도_점수_기여,지자체대응역량_점수_기여,인위적확산_점수_기여,배분갭,축A_위험요인유형,축B_배분적정성
강원특별자치도,강릉시,1.4471011494635382,0.1556122583867223,0.5803333247328762,-0.6919752507105207,0.372767870468154,0.36177528736588455,0.038903064596680574,0.14508333118321906,-0.17299381267763017,-5.130000066325843,노출도-우세형,부족
강원특별자치도,고성군,-0.5685085964234212,0.027446833778199956,0.6820382281501978,0.08439663379351865,0.05634327482462382,-0.1421271491058553,0.006861708444549989,0.17050955703754944,0.021099158448379663,-5.415993520224563,인위적확산-우세형,부족
강원특별자치도,동해시,1.2338011225507162,-0.513401868570824,0.6820382281501978,0.21099979914977127,0.4033593203199653,0.30845028063767904,-0.128350467142706,0.17050955703754944,0.05274994978744282,-6.210140042229092,노출도-우세형,부족
강원특별자치도,삼척시,2.2366935832352643,-1.012393793059427,0.6820382281501978,0.5739303370967809,0.620067088855704,0.5591733958088161,-0.2530984482648567,0.17050955703754944,0.14348258427419522,-6.706075959049198,노출도-우세형,부족
강원특별자치도,속초시,0.5278529305904431,0.027446833778199956,0.6820382281501978,-0.16285649716898856,0.26862037383746307,0.13196323264761078,0.006861708444549989,0.17050955703754944,-0.04071412429224714,-5.901789845987029,노출도-우세형,부족
강원특별자치도,양구군,0.03548517375672521,-0.5595627663065013,0.5312542760571312,0.1377768960425169,0.03623839488746801,0.008871293439181303,-0.13989069157662531,0.1328135690142828,0.03444422401062922,-3.8417797232861055,복합형,적정
강원특별자치도,양양군,1.1205873029117515,0.027446833778199956,0.32242268491561704,0.9675571072271602,0.6095034822081822,0.28014682572793786,0.006861708444549989,0.08060567122890426,0.24188927680679004,-3.13016160032509,복합형,적정
강원특별자치도,영월군,1.052014325183827,-0.05396414674187664,0.08845274058193846,0.19405848660249891,0.3201403514065969,0.26300358129595675,-0.01349103668546916,0.022113185145484614,0.04851462165062473,-0.11734124314309735,노출도-우세형,적정
강원특별자치도,원주시,-0.08969998934634232,0.15344458264538677,0.22086531651464722,-0.9410170656923005,-0.1641017889696522,-0.02242499733658558,0.03836114566134669,0.055216329128661805,-0.23525426642307512,-0.31621146380462495,노출도-우세형,적정
강원특별자치도,인제군,0.45835661388873244,-0.5595627663065013,0.24401768823666667,0.4666160906144737,0.15235690660834286,0.11458915347218311,-0.13989069157662531,0.06100442205916667,0.11665402265361842,-1.2252149955659357,복합형,적정
강원특별자치도,정선군,0.8418434339230929,-0.5288296359048443,-0.12178606644789002,-0.03989906255801132,0.03783216725308683,0.21046085848077323,-0.13220740897621108,-0.030446516611972504,-0.00997476563950283,2.6501566652118402,노출도-우세형,적정
