연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2018,강원도,철원군,,,,,,,,,1,,,0
2019,강원도,철원군,,,,,,,,,1,,,0
2020,강원도,철원군,,,,,,,,,1,,,0
2021,강원도,철원군,,,,,,,,,1,,,0
2022,강원도,철원군,,,,,,,,,1,,,0
2023,강원도,철원군,,,,,,,,,1,,,0
2016,강원도,춘천시,,,,,,,,,1,,,0
2017,강원도,춘천시,,,,,,,,,1,,,0
2018,강원도,춘천시,,,,,,,,,1,,,0
2019,강원도,춘천시,,,,,,,,,1,,,0
2020,강원도,춘천시,,,,,,,,,1,,,0
2021,강원도,춘천시,,,,,,,,,1,,,0
2022,강원도,춘천시,,,,,,,,,1,,,0
2023,강원도,춘천시,,,,,,,,,1,,,0
2016,강원도,태백시,,,,,,,,,1,,,0
2017,강원도,태백시,,,,,,,,,1,,,0
2018,강원도,태백시,,,,,,,,,1,,,0
2019,강원도,태백시,,,,,,,,,1,,,0
2020,강원도,태백시,,,,,,,,,1,,,0
2021,강원도,태백시,,,,,,,,,1,,,0
2022,강원도,태백시,,,,,,,,,1,,,0
2023,강원도,태백시,,,,,,,,,1,,,0
2016,강원도,평창군,,,,,,,,,1,,,0
2017,강원도,평창군,,,,,,,,,1,,,0
2018,강원도,평창군,,,,,,,,,1,,,0
2019,강원도,평창군,,,,,,,,,1,,,0
2020,강원도,평창군,,,,,,,,,1,,,0
2021,강원도,평창군,,,,,,,,,1,,,0
2022,강원도,평창군,,,,,,,,,1,,,0
2023,강원도,평창군,,,,,,,,,1,,,0
2016,강원도,홍천군,,,,,,,,,1,,,0
2017,강원도,홍천군,,,,,,,,,1,,,0
2018,강원도,홍천군,,,,,,,,,1,,,0
2019,강원도,홍천군,,,,,,,,,1,,,0
2020,강원도,홍천군,,,,,,,,,1,,,0
2021,강원도,홍천군,,,,,,,,,1,,,0
2022,강원도,홍천군,,,,,,,,,1,,,0
2023,강원도,홍천군,,,,,,,,,1,,,0
2016,강원도,화천군,,,,,,,,,1,,,0
2017,강원도,화천군,,,,,,,,,1,,,0
2018,강원도,화천군,,,,,,,,,1,,,0
2019,강원도,화천군,,,,,,,,,1,,,0
2020,강원도,화천군,,,,,,,,,1,,,0
2021,강원도,화천군,,,,,,,,,1,,,0
2022,강원도,화천군,,,,,,,,,1,,,0
2023,강원도,화천군,,,,,,,,,1,,,0
2016,강원도,횡성군,,,,,,,,,1,,,0
2017,강원도,횡성군,,,,,,,,,1,,,0
2018,강원도,횡성군,,,,,,,,,1,,,0
2019,강원도,횡성군,,,,,,,,,1,,,0
2020,강원도,횡성군,,,,,,,,,1,,,0
2021,강원도,횡성군,,,,,,,,,1,,,0
2022,강원도,횡성군,,,,,,,,,1,,,0
2023,강원도,횡성군,,,,,,,,,1,,,0
2016,경기도,가평군,,,,,,,,,1,,,0
2017,경기도,가평군,,,,,,,,,1,,,0
2018,경기도,가평군,,,,,,,,,1,,,0
2019,경기도,가평군,,,,,,,,,1,,,0
2020,경기도,가평군,,,,,,,,,1,,,0
2021,경기도,가평군,,,,,,,,,1,,,0
2022,경기도,가평군,,,,,,,,,1,,,0
2023,경기도,가평군,,,,,,,,,1,,,0
2016,경기도,고양시,,,,,,,,,1,,,0
2017,경기도,고양시,,,,,,,,,1,,,0
2018,경기도,고양시,,,,,,,,,1,,,0
2019,경기도,고양시,,,,,,,,,1,,,0
2020,경기도,고양시,,,,,,,,,1,,,0
2021,경기도,고양시,,,,,,,,,1,,,0
2022,경기도,고양시,,,,,,,,,1,,,0
2023,경기도,고양시,,,,,,,,,1,,,0
2016,경기도,과천시,,,,,,,,,1,,,0
2017,경기도,과천시,,,,,,,,,1,,,0
2018,경기도,과천시,,,,,,,,,1,,,0
2019,경기도,과천시,,,,,,,,,1,,,0
2020,경기도,과천시,,,,,,,,,1,,,0
2021,경기도,과천시,,,,,,,,,1,,,0
2022,경기도,과천시,,,,,,,,,1,,,0
2023,경기도,과천시,,,,,,,,,1,,,0
2016,경기도,광명시,,,,,,,,,1,,,0
2017,경기도,광명시,,,,,,,,,1,,,0
2018,경기도,광명시,,,,,,,,,1,,,0
2019,경기도,광명시,,,,,,,,,1,,,0
2020,경기도,광명시,,,,,,,,,1,,,0
2021,경기도,광명시,,,,,,,,,1,,,0
2022,경기도,광명시,,,,,,,,,1,,,0
2023,경기도,광명시,,,,,,,,,1,,,0
2016,경기도,광주시,,,,,,,,,1,,,0
2017,경기도,광주시,,,,,,,,,1,,,0
2018,경기도,광주시,,,,,,,,,1,,,0
2019,경기도,광주시,,,,,,,,,1,,,0
2020,경기도,광주시,,,,,,,,,1,,,0
2021,경기도,광주시,,,,,,,,,1,,,0
2022,경기도,광주시,,,,,,,,,1,,,0
2023,경기도,광주시,,,,,,,,,1,,,0
2016,경기도,구리시,,,,,,,,,1,,,0
2017,경기도,구리시,,,,,,,,,1,,,0
2018,경기도,구리시,,,,,,,,,1,,,0
2019,경기도,구리시,,,,,,,,,1,,,0
2020,경기도,구리시,,,,,,,,,1,,,0
2021,경기도,구리시,,,,,,,,,1,,,0
2022,경기도,구리시,,,,,,,,,1,,,0
2023,경기도,구리시,,,,,,,,,1,,,0
2016,경기도,군포시,,,,,,,,,1,,,0
2017,경기도,군포시,,,,,,,,,1,,,0
2018,경기도,군포시,,,,,,,,,1,,,0
2019,경기도,군포시,,,,,,,,,1,,,0
2020,경기도,군포시,,,,,,,,,1,,,0
2021,경기도,군포시,,,,,,,,,1,,,0
2022,경기도,군포시,,,,,,,,,1,,,0
2023,경기도,군포시,,,,,,,,,1,,,0
2016,경기도,김포시,,,,,,,,,1,,,0
2017,경기도,김포시,,,,,,,,,1,,,0
2018,경기도,김포시,,,,,,,,,1,,,0
2019,경기도,김포시,,,,,,,,,1,,,0
2020,경기도,김포시,,,,,,,,,1,,,0
2021,경기도,김포시,,,,,,,,,1,,,0
2022,경기도,김포시,,,,,,,,,1,,,0
2023,경기도,김포시,,,,,,,,,1,,,0
2016,경기도,남양주시,,,,,,,,,1,,,0
2017,경기도,남양주시,,,,,,,,,1,,,0
2018,경기도,남양주시,,,,,,,,,1,,,0
2019,경기도,남양주시,,,,,,,,,1,,,0
2020,경기도,남양주시,,,,,,,,,1,,,0
2021,경기도,남양주시,,,,,,,,,1,,,0
2022,경기도,남양주시,,,,,,,,,1,,,0
2023,경기도,남양주시,,,,,,,,,1,,,0
2016,경기도,동두천시,,,,,,,,,1,,,0
2017,경기도,동두천시,,,,,,,,,1,,,0
2018,경기도,동두천시,,,,,,,,,1,,,0
2019,경기도,동두천시,,,,,,,,,1,,,0
2020,경기도,동두천시,,,,,,,,,1,,,0
2021,경기도,동두천시,,,,,,,,,1,,,0
2022,경기도,동두천시,,,,,,,,,1,,,0
2023,경기도,동두천시,,,,,,,,,1,,,0
2016,경기도,부천시,,,,,,,,,1,,,0
2017,경기도,부천시,,,,,,,,,1,,,0
2018,경기도,부천시,,,,,,,,,1,,,0
2019,경기도,부천시,,,,,,,,,1,,,0
2020,경기도,부천시,,,,,,,,,1,,,0
2021,경기도,부천시,,,,,,,,,1,,,0
2022,경기도,부천시,,,,,,,,,1,,,0
2023,경기도,부천시,,,,,,,,,1,,,0
2016,경기도,성남시,,,,,,,,,1,,,0
2017,경기도,성남시,,,,,,,,,1,,,0
2018,경기도,성남시,,,,,,,,,1,,,0
2019,경기도,성남시,,,,,,,,,1,,,0
2020,경기도,성남시,,,,,,,,,1,,,0
2021,경기도,성남시,,,,,,,,,1,,,0
2022,경기도,성남시,,,,,,,,,1,,,0
2023,경기도,성남시,,,,,,,,,1,,,0
2016,경기도,수원시,,,,,,,,,1,,,0
2017,경기도,수원시,,,,,,,,,1,,,0
2018,경기도,수원시,,,,,,,,,1,,,0
2019,경기도,수원시,,,,,,,,,1,,,0
2020,경기도,수원시,,,,,,,,,1,,,0
2021,경기도,수원시,,,,,,,,,1,,,0
2022,경기도,수원시,,,,,,,,,1,,,0
2023,경기도,수원시,,,,,,,,,1,,,0
2016,경기도,시흥시,,,,,,,,,1,,,0
2017,경기도,시흥시,,,,,,,,,1,,,0
2018,경기도,시흥시,,,,,,,,,1,,,0
2019,경기도,시흥시,,,,,,,,,1,,,0
2020,경기도,시흥시,,,,,,,,,1,,,0
2021,경기도,시흥시,,,,,,,,,1,,,0
2022,경기도,시흥시,,,,,,,,,1,,,0
2023,경기도,시흥시,,,,,,,,,1,,,0
2016,경기도,안산시,,,,,,,,,1,,,0
2017,경기도,안산시,,,,,,,,,1,,,0
2018,경기도,안산시,,,,,,,,,1,,,0
2019,경기도,안산시,,,,,,,,,1,,,0
2020,경기도,안산시,,,,,,,,,1,,,0
2021,경기도,안산시,,,,,,,,,1,,,0
2022,경기도,안산시,,,,,,,,,1,,,0
