연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2022,경상남도,김해시,981022420.0,20.704105872518205,47919.3,10.777294493203792,20.549184342597343,18.76280839424644,0.1435176170591493,48.48,0,6.0,0.0,1
2023,경상남도,김해시,2185110000.0,21.504932007933856,107022.5,11.580803715497971,21.43391496153377,18.82479828449907,0.0685539858405297,56.59,0,5.0,0.0,1
2016,경상남도,남해군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상남도,남해군,449638000.0,19.92395337476914,19949.1,9.900989434836776,19.64756017963616,18.50300700540811,0.2414853726775762,64.06,0,2.0,0.0,1
2018,경상남도,남해군,239601000.0,19.29448560199317,10649.5,9.273362118392338,18.884175744201077,18.205492973817737,0.3365553566137036,62.71,0,2.0,0.0,1
2019,경상남도,남해군,508451000.0,20.04687940892797,22639.9,10.02751328417718,19.861522476578273,18.2701601457324,0.1691923115501789,63.27,0,3.0,0.0,1
2020,경상남도,남해군,602822000.0,20.217132522059867,26890.4,10.199561811871927,20.013049810941173,18.52759605928251,0.1846050741346533,67.4,0,5.0,0.0,1
2021,경상남도,남해군,294596000.0,19.501115487562583,13164.9,9.485385432677695,19.031999462077422,18.518805151010927,0.3744450026476938,64.05,0,3.0,0.0,1
2022,경상남도,남해군,454665000.0,19.935071444203125,20354.8,9.921121162547468,19.357605134191296,19.11108918258003,0.4386812268373418,60.88,0,4.0,0.0,1
2023,경상남도,남해군,645193000.0,20.28506005635736,28936.7,10.27290052225179,19.943767427269457,19.044247385739904,0.2891491383198515,63.13,0,3.0,0.0,1
2016,경상남도,밀양시,1788000000.0,21.304363514257016,36483.6,10.50464553273,21.304363514257016,0.0,0.0,50.0,0,1.0,0.0,1
2017,경상남도,밀양시,3726822000.0,22.038821696979166,76145.2,11.240410455568009,21.84848630104154,20.286195505649975,0.1733181783299551,52.04,0,3.0,0.0,1
2018,경상남도,밀양시,3241085770.0,21.899174225118497,66308.5,11.10208845399366,21.793969573437668,19.595185265129786,0.0998597115188346,56.45,0,4.0,0.0,1
2019,경상남도,밀양시,2509709440.0,21.643432822831564,51413.4,10.847673567849016,21.56792237539775,19.022430913765184,0.0727299571379864,46.17,0,5.0,0.0,1
2020,경상남도,밀양시,1500290090.0,21.128924320356365,30775.3,10.334500192240093,20.97404875033163,19.18735251689028,0.1434782522625341,31.94,0,6.0,0.0,1
2021,경상남도,밀양시,1334229000.0,21.01161943462465,27405.1,10.21852089533551,20.876694828705183,18.941876418397623,0.126218212915474,34.65,0,5.0,0.0,1
2022,경상남도,밀양시,3600815000.0,22.004426045952982,74058.8,11.21262815395086,21.943985723081575,19.168259294735467,0.0586500556124099,32.35,0,5.0,0.0,1
2023,경상남도,밀양시,8435145222.0,22.8556727695122,173717.1,12.065189149448722,22.82257326654398,19.430931657520592,0.0325577085838107,43.88,0,5.0,0.0,1
2016,경상남도,사천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상남도,사천시,1301824000.0,20.987032195712448,59325.6,10.990813051020346,20.987032195712448,0.0,0.0,70.12,0,1.0,0.0,1
2018,경상남도,사천시,1330713000.0,21.008980726512085,61052.8,11.019510721664014,21.008980726512085,0.0,0.0,60.91,0,3.0,0.0,1
2019,경상남도,사천시,1264658000.0,20.9580675676327,58415.1,10.975346815753715,20.9580675676327,0.0,0.0,60.64,0,3.0,0.0,1
2020,경상남도,사천시,897750000.0,20.61540219218436,41748.4,10.639440358918248,20.61540219218436,0.0,0.0,71.35,0,1.0,0.0,1
2021,경상남도,사천시,838990000.0,20.547709346601227,39280.0,10.578496220392818,20.547709346601227,0.0,0.0,67.59,0,2.0,0.0,1
2022,경상남도,사천시,878588000.0,20.593826632458452,41412.6,10.63136460828376,20.593826632458452,0.0,0.0,49.03,0,3.0,0.0,1
2023,경상남도,사천시,2225982000.0,21.523464003962943,105633.4,11.567739354782576,21.523464003962943,0.0,0.0,55.77,0,4.0,0.0,1
2016,경상남도,산청군,,,,,,,,,1,,,0
2017,경상남도,산청군,,,,,,,,,1,,,0
2018,경상남도,산청군,,,,,,,,,1,,,0
2019,경상남도,산청군,,,,,,,,,1,,,0
2020,경상남도,산청군,,,,,,,,,1,,,0
2021,경상남도,산청군,,,,,,,,,1,,,0
2022,경상남도,산청군,,,,,,,,,1,,,0
2023,경상남도,산청군,,,,,,,,,1,,,0
2016,경상남도,양산시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상남도,양산시,1018898000.0,20.741987489022872,29291.2,10.285076547960465,20.53867931826174,19.04902270648095,0.1839732730852352,65.39,0,3.0,0.0,1
2018,경상남도,양산시,850363000.0,20.561173876284467,24488.1,10.105983399577177,20.40138423877392,18.648445608530206,0.1476769332626184,61.11,0,4.0,0.0,1
2019,경상남도,양산시,970168360.0,20.69298018244175,27986.0,10.23949539562907,20.54474826900397,18.710802345831027,0.1377688713740365,58.7,0,4.0,0.0,1
2020,경상남도,양산시,713384550.0,20.38553117520182,20614.0,9.933774245141,20.17067776094341,18.74222787466395,0.1933403239529087,62.44,0,4.0,0.0,1
2021,경상남도,양산시,1023434180.0,20.74642965323032,29623.9,10.29637050290431,20.56664732569323,18.941876418397623,0.1645479536358654,67.82,0,4.0,0.0,1
2022,경상남도,양산시,906521260.0,20.62512504182788,26284.7,10.1767803440574,20.39309129356079,19.050478035338458,0.2070806370277515,63.36,0,4.0,0.0,1
2023,경상남도,양산시,2137801000.0,21.483043568042387,62092.1,11.036390150637162,21.384958469989705,19.11248202419468,0.0934282470632205,60.47,0,5.0,0.0,1
2016,경상남도,의령군,,,,,,,,,1,,,0
2017,경상남도,의령군,,,,,,,,,1,,,0
2018,경상남도,의령군,,,,,,,,,1,,,0
2019,경상남도,의령군,,,,,,,,,1,,,0
2020,경상남도,의령군,,,,,,,,,1,,,0
2021,경상남도,의령군,,,,,,,,,1,,,0
2022,경상남도,의령군,,,,,,,,,1,,,0
2023,경상남도,의령군,,,,,,,,,1,,,0
2016,경상남도,진주시,50000000.0,17.72753358339242,1245.1,7.1277739529488215,17.72753358339242,0.0,0.0,50.0,0,1.0,0.0,1
2017,경상남도,진주시,814890000.0,20.518563693997965,20360.1,9.921381496709936,20.08544361458447,19.473067580264225,0.3515173827142314,38.92,0,3.0,0.0,1
2018,경상남도,진주시,923591000.0,20.64377989200174,23152.9,10.049918511848167,20.49763419414812,18.648445608530206,0.1359681937134511,28.65,0,3.0,0.0,1
2019,경상남도,진주시,1177792000.0,20.88690733697605,29623.6,10.296360376236573,20.766452713886597,18.710802345831027,0.1134826862468075,23.48,0,6.0,0.0,1
2020,경상남도,진주시,1103092000.0,20.82138298353085,27837.1,10.234160864992978,20.59864661384118,19.21031468914189,0.1996741885536292,24.14,0,4.0,0.0,1
2021,경상남도,진주시,1474847360.0,21.111820337315553,37342.4,10.527911468119164,20.949240066906896,19.215047884387896,0.1500521382768722,30.57,0,4.0,0.0,1
2022,경상남도,진주시,925480000.0,20.645823080884277,23510.8,10.065257701767916,20.386802401686467,19.168259294735467,0.2281929377188054,23.89,0,4.0,0.0,1
2023,경상남도,진주시,1922705000.0,21.376998886168984,49006.7,10.79973270760426,21.2527216368386,19.23026339038202,0.1168650416990646,36.54,0,3.0,0.0,1
2016,경상남도,창녕군,,,,,,,,,1,,,0
2017,경상남도,창녕군,,,,,,,,,1,,,0
2018,경상남도,창녕군,,,,,,,,,1,,,0
2019,경상남도,창녕군,,,,,,,,,1,,,0
2020,경상남도,창녕군,,,,,,,,,1,,,0
2021,경상남도,창녕군,,,,,,,,,1,,,0
2022,경상남도,창녕군,,,,,,,,,1,,,0
2023,경상남도,창녕군,,,,,,,,,1,,,0
2016,경상남도,창원시,,,,,,,,,1,,,0
2017,경상남도,창원시,,,,,,,,,1,,,0
2018,경상남도,창원시,,,,,,,,,1,,,0
2019,경상남도,창원시,,,,,,,,,1,,,0
2020,경상남도,창원시,,,,,,,,,1,,,0
2021,경상남도,창원시,,,,,,,,,1,,,0
2022,경상남도,창원시,,,,,,,,,1,,,0
2023,경상남도,창원시,,,,,,,,,1,,,0
2016,경상남도,통영시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상남도,통영시,609482000.0,20.22811997568664,40219.7,10.60213706745167,19.5403660976668,19.52955025037244,0.4972960645269261,52.47,0,3.0,0.0,1
2018,경상남도,통영시,842294000.0,20.55163968109473,55593.3,10.925835956997734,20.39018883139949,18.648445608530206,0.1490916473345411,61.58,0,5.0,0.0,1
2019,경상남도,통영시,1447724430.0,21.0932588027158,95570.7,11.46763203011081,20.996208499271965,18.71260023335851,0.0924896459749594,62.95,0,6.0,0.0,1
2020,경상남도,통영시,815571920.0,20.51940016865654,53849.5,10.893966967592496,20.244658777705165,19.093247599988025,0.2402314194436708,55.68,0,7.0,0.0,1
2021,경상남도,통영시,781079020.0,20.476186881943047,51581.6,10.850939685299489,20.242893471264097,18.906348553088293,0.2080788189650773,56.1,0,5.0,0.0,1
2022,경상남도,통영시,818579220.0,20.523080738118683,54068.4,10.898023685588017,20.26258853558765,19.050478035338458,0.2293278346352354,56.44,0,6.0,0.0,1
2023,경상남도,통영시,937288130.0,20.658501296668437,61920.7,11.033625962667095,20.515572478095127,18.642479399299287,0.133184232259508,51.84,0,6.0,0.0,1
2016,경상남도,하동군,,,,,,,,,1,,,0
2017,경상남도,하동군,,,,,,,,,1,,,0
2018,경상남도,하동군,,,,,,,,,1,,,0
2019,경상남도,하동군,,,,,,,,,1,,,0
2020,경상남도,하동군,,,,,,,,,1,,,0
2021,경상남도,하동군,,,,,,,,,1,,,0
2022,경상남도,하동군,,,,,,,,,1,,,0
2023,경상남도,하동군,,,,,,,,,1,,,0
2016,경상남도,함안군,,,,,,,,,1,,,0
2017,경상남도,함안군,,,,,,,,,1,,,0
2018,경상남도,함안군,,,,,,,,,1,,,0
2019,경상남도,함안군,,,,,,,,,1,,,0
2020,경상남도,함안군,,,,,,,,,1,,,0
2021,경상남도,함안군,,,,,,,,,1,,,0
2022,경상남도,함안군,,,,,,,,,1,,,0
2023,경상남도,함안군,,,,,,,,,1,,,0
2016,경상남도,함양군,,,,,,,,,1,,,0
2017,경상남도,함양군,,,,,,,,,1,,,0
2018,경상남도,함양군,,,,,,,,,1,,,0
2019,경상남도,함양군,,,,,,,,,1,,,0
2020,경상남도,함양군,,,,,,,,,1,,,0
2021,경상남도,함양군,,,,,,,,,1,,,0
2022,경상남도,함양군,,,,,,,,,1,,,0
2023,경상남도,함양군,,,,,,,,,1,,,0
2016,경상남도,합천군,,,,,,,,,1,,,0
2017,경상남도,합천군,,,,,,,,,1,,,0
2018,경상남도,합천군,,,,,,,,,1,,,0
2019,경상남도,합천군,,,,,,,,,1,,,0
2020,경상남도,합천군,,,,,,,,,1,,,0
2021,경상남도,합천군,,,,,,,,,1,,,0
2022,경상남도,합천군,,,,,,,,,1,,,0
2023,경상남도,합천군,,,,,,,,,1,,,0
2016,경상북도,경산시,,,,,,,,,1,,,0
2017,경상북도,경산시,,,,,,,,,1,,,0
2018,경상북도,경산시,,,,,,,,,1,,,0
2019,경상북도,경산시,,,,,,,,,1,,,0
2020,경상북도,경산시,,,,,,,,,1,,,0
2021,경상북도,경산시,,,,,,,,,1,,,0
2022,경상북도,경산시,,,,,,,,,1,,,0
2023,경상북도,경산시,,,,,,,,,1,,,0
2016,경상북도,경주시,1636893026.0,21.216065786224025,19760.1,9.891470637768649,21.216065786224025,0.0,0.0,84.05,0,4.0,0.0,1
2017,경상북도,경주시,4455304800.0,22.217361313261684,53622.2,10.889737089233387,22.217361313261684,0.0,0.0,74.1,0,2.0,0.0,1
2018,경상북도,경주시,4260666136.0,22.172691355190945,51125.9,10.842066056468726,22.172691355190945,0.0,0.0,70.32,0,4.0,0.0,1
2019,경상북도,경주시,5007429187.0,22.334188484216043,59906.8,11.00056199265442,22.334188484216043,0.0,0.0,70.39,0,5.0,0.0,1
2020,경상북도,경주시,326585000.0,19.60420081276756,3895.4,8.2678083288968,19.60420081276756,0.0,0.0,70.0,0,3.0,0.0,1
2021,경상북도,경주시,868000000.0,20.5817022737767,10322.3,9.242158755362702,20.5817022737767,0.0,0.0,70.0,0,4.0,0.0,1
2022,경상북도,경주시,205000000.0,19.138520541980732,2430.6,7.796304755874568,19.138520541980732,0.0,0.0,70.0,0,1.0,0.0,1
2023,경상북도,경주시,175000000.0,18.980296537602072,2068.7,7.635158948220172,18.980296537602072,0.0,0.0,70.0,0,1.0,0.0,1
2016,경상북도,고령군,,,,,,,,,1,,,0
2017,경상북도,고령군,,,,,,,,,1,,,0
2018,경상북도,고령군,,,,,,,,,1,,,0
2019,경상북도,고령군,,,,,,,,,1,,,0
2020,경상북도,고령군,,,,,,,,,1,,,0
2021,경상북도,고령군,,,,,,,,,1,,,0
2022,경상북도,고령군,,,,,,,,,1,,,0
2023,경상북도,고령군,,,,,,,,,1,,,0
2016,경상북도,구미시,,,,,,,,,1,,,0
2017,경상북도,구미시,,,,,,,,,1,,,0
2018,경상북도,구미시,,,,,,,,,1,,,0
2019,경상북도,구미시,,,,,,,,,1,,,0
2020,경상북도,구미시,,,,,,,,,1,,,0
2021,경상북도,구미시,,,,,,,,,1,,,0
2022,경상북도,구미시,,,,,,,,,1,,,0
2023,경상북도,구미시,,,,,,,,,1,,,0
2016,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,1.0,0.0,1
2017,경상북도,김천시,143623000.0,18.782702375846604,2159.3,7.678002379922931,18.782702375846604,0.0,0.0,70.0,0,1.0,0.0,1
2018,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2019,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2020,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2021,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2022,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2023,경상북도,김천시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2016,경상북도,문경시,,,,,,,,,1,,,0
2017,경상북도,문경시,,,,,,,,,1,,,0
2018,경상북도,문경시,,,,,,,,,1,,,0
2019,경상북도,문경시,,,,,,,,,1,,,0
2020,경상북도,문경시,,,,,,,,,1,,,0
2021,경상북도,문경시,,,,,,,,,1,,,0
2022,경상북도,문경시,,,,,,,,,1,,,0
2023,경상북도,문경시,,,,,,,,,1,,,0
2016,경상북도,봉화군,,,,,,,,,1,,,0
2017,경상북도,봉화군,,,,,,,,,1,,,0
2018,경상북도,봉화군,,,,,,,,,1,,,0
2019,경상북도,봉화군,,,,,,,,,1,,,0
2020,경상북도,봉화군,,,,,,,,,1,,,0
2021,경상북도,봉화군,,,,,,,,,1,,,0
2022,경상북도,봉화군,,,,,,,,,1,,,0
2023,경상북도,봉화군,,,,,,,,,1,,,0
2016,경상북도,상주시,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,1.0,0.0,1
2017,경상북도,상주시,337551000.0,19.637227170934352,4468.6,8.405054198144938,19.092088327601104,18.770294825570115,0.4202387194823893,47.32,0,2.0,0.0,1
2018,경상북도,상주시,40924000.0,17.527227270416507,541.1,6.295450486266293,0.0,17.527227270416507,1.0,50.0,0,1.0,0.0,1
2019,경상북도,상주시,43568000.0,17.589833516848305,575.4,6.356801864125367,0.0,17.589833516848305,1.0,50.0,0,1.0,0.0,1
2020,경상북도,상주시,88629000.0,18.299969687072583,1169.2,7.064929953354135,0.0,18.299969687072583,1.0,50.0,0,1.0,0.0,1
2021,경상북도,상주시,56528000.0,17.85024666627141,744.9,6.614591542961118,0.0,17.85024666627141,1.0,50.0,0,1.0,0.0,1
2022,경상북도,상주시,45721000.0,17.638068290789445,601.8,6.401585466752341,0.0,17.638068290789445,1.0,50.0,0,1.0,0.0,1
2023,경상북도,상주시,97618000.0,18.396572470852416,1283.4,7.158046962215359,0.0,18.396572470852416,1.0,50.0,0,1.0,0.0,1
2016,경상북도,성주군,,,,,,,,,1,,,0
2017,경상북도,성주군,,,,,,,,,1,,,0
2018,경상북도,성주군,,,,,,,,,1,,,0
2019,경상북도,성주군,,,,,,,,,1,,,0
2020,경상북도,성주군,,,,,,,,,1,,,0
2021,경상북도,성주군,,,,,,,,,1,,,0
2022,경상북도,성주군,,,,,,,,,1,,,0
2023,경상북도,성주군,,,,,,,,,1,,,0
2016,경상북도,안동시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상북도,안동시,3499700207.0,21.975943146916048,35259.7,10.47052430827891,21.89439263135089,19.428912353173516,0.0783138508412243,66.06,0,3.0,0.0,1
2018,경상북도,안동시,3176460000.0,21.879033206430396,31800.0,10.367253014814716,21.851932598195106,18.257314408448696,0.0267366817148649,69.44,0,3.0,0.0,1
2019,경상북도,안동시,3113059900.0,21.85887197043084,30967.6,10.340729066908338,21.829463914295044,18.31771736397877,0.0289798471272589,66.37,0,3.0,0.0,1
2020,경상북도,안동시,1050683207.0,20.772706463804827,10385.5,9.24826216497474,20.632376997396417,18.739599828595335,0.1309281418828272,61.5,0,4.0,0.0,1
2021,경상북도,안동시,321510517.0,19.58854081650339,3157.8,8.057947487623426,18.73010853995958,19.03719523486293,0.5761739980655127,56.86,0,3.0,0.0,1
2022,경상북도,안동시,187991000.0,19.05190465262729,1834.7,7.5151811591366044,0.0,19.05190465262729,1.0,50.0,0,2.0,0.0,1
2023,경상북도,안동시,220255000.0,19.210296528538677,2135.9,7.667111459652418,18.064005814299342,18.827844415351464,0.6821865564913396,54.99,0,3.0,0.0,1
2016,경상북도,영덕군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상북도,영덕군,185211000.0,19.03700627906015,3198.5,8.070749826579515,19.03700627906015,0.0,0.0,70.0,0,1.0,0.0,1
2018,경상북도,영덕군,601604000.0,20.215109981176195,10330.2,9.242923721872202,20.215109981176195,0.0,0.0,70.46,0,1.0,0.0,1
2019,경상북도,영덕군,684674000.0,20.344453371996035,11689.6,9.366540379068574,20.344453371996035,0.0,0.0,70.37,0,1.0,0.0,1
2020,경상북도,영덕군,391513690.0,19.78553104340947,6646.3,8.801966036165883,19.78553104340947,0.0,0.0,72.34,0,1.0,0.0,1
2021,경상북도,영덕군,300923000.0,19.5223649793568,5079.3,8.533125593946952,19.5223649793568,0.0,0.0,72.82,0,1.0,0.0,1
2022,경상북도,영덕군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2023,경상북도,영덕군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2016,경상북도,영양군,,,,,,,,,1,,,0
2017,경상북도,영양군,,,,,,,,,1,,,0
2018,경상북도,영양군,,,,,,,,,1,,,0
2019,경상북도,영양군,,,,,,,,,1,,,0
2020,경상북도,영양군,,,,,,,,,1,,,0
2021,경상북도,영양군,,,,,,,,,1,,,0
2022,경상북도,영양군,,,,,,,,,1,,,0
2023,경상북도,영양군,,,,,,,,,1,,,0
2016,경상북도,영주시,,,,,,,,,1,,,0
2017,경상북도,영주시,,,,,,,,,1,,,0
2018,경상북도,영주시,,,,,,,,,1,,,0
2019,경상북도,영주시,,,,,,,,,1,,,0
2020,경상북도,영주시,,,,,,,,,1,,,0
2021,경상북도,영주시,,,,,,,,,1,,,0
2022,경상북도,영주시,,,,,,,,,1,,,0
2023,경상북도,영주시,,,,,,,,,1,,,0
2016,경상북도,영천시,,,,,,,,,1,,,0
2017,경상북도,영천시,,,,,,,,,1,,,0
2018,경상북도,영천시,,,,,,,,,1,,,0
2019,경상북도,영천시,,,,,,,,,1,,,0
2020,경상북도,영천시,,,,,,,,,1,,,0
2021,경상북도,영천시,,,,,,,,,1,,,0
2022,경상북도,영천시,,,,,,,,,1,,,0
2023,경상북도,영천시,,,,,,,,,1,,,0
2016,경상북도,예천군,,,,,,,,,1,,,0
2017,경상북도,예천군,,,,,,,,,1,,,0
2018,경상북도,예천군,,,,,,,,,1,,,0
2019,경상북도,예천군,,,,,,,,,1,,,0
2020,경상북도,예천군,,,,,,,,,1,,,0
2021,경상북도,예천군,,,,,,,,,1,,,0
2022,경상북도,예천군,,,,,,,,,1,,,0
2023,경상북도,예천군,,,,,,,,,1,,,0
2016,경상북도,울릉군,,,,,,,,,1,,,0
2017,경상북도,울릉군,,,,,,,,,1,,,0
2018,경상북도,울릉군,,,,,,,,,1,,,0
2019,경상북도,울릉군,,,,,,,,,1,,,0
2020,경상북도,울릉군,,,,,,,,,1,,,0
2021,경상북도,울릉군,,,,,,,,,1,,,0
2022,경상북도,울릉군,,,,,,,,,1,,,0
2023,경상북도,울릉군,,,,,,,,,1,,,0
2016,경상북도,울진군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경상북도,울진군,87580000.0,18.288063230755657,1187.5,7.080447286800249,0.0,18.288063230755657,1.0,50.0,0,2.0,0.0,1
2018,경상북도,울진군,42464000.0,17.56416723966343,565.7,6.339830063175573,0.0,17.56416723966343,1.0,50.0,0,2.0,0.0,1
2019,경상북도,울진군,45108000.0,17.62457019450333,590.5,6.3826616834184415,0.0,17.62457019450333,1.0,50.0,0,2.0,0.0,1
2020,경상북도,울진군,215352000.0,19.1877844612717,2769.7,7.926855274837429,19.1877844612717,0.0,0.0,28.85,0,2.0,0.0,1
2021,경상북도,울진군,305287000.0,19.53676287900631,3857.8,8.258111533296399,19.53676287900631,0.0,0.0,49.9,0,2.0,0.0,1
2022,경상북도,울진군,222479242.0,19.22034436533116,2762.3,7.9241808966623,19.22034436533116,0.0,0.0,50.26,0,2.0,0.0,1
2023,경상북도,울진군,142166000.0,18.772505953919165,1734.3,7.458935588096458,18.772505953919165,0.0,0.0,42.67,0,3.0,0.0,1
2016,경상북도,의성군,,,,,,,,,1,,,0
2017,경상북도,의성군,,,,,,,,,1,,,0
2018,경상북도,의성군,,,,,,,,,1,,,0
2019,경상북도,의성군,,,,,,,,,1,,,0
2020,경상북도,의성군,,,,,,,,,1,,,0
2021,경상북도,의성군,,,,,,,,,1,,,0
2022,경상북도,의성군,,,,,,,,,1,,,0
2023,경상북도,의성군,,,,,,,,,1,,,0
2016,경상북도,청도군,,,,,,,,,1,,,0
2017,경상북도,청도군,,,,,,,,,1,,,0
2018,경상북도,청도군,,,,,,,,,1,,,0
2019,경상북도,청도군,,,,,,,,,1,,,0
2020,경상북도,청도군,,,,,,,,,1,,,0
2021,경상북도,청도군,,,,,,,,,1,,,0
2022,경상북도,청도군,,,,,,,,,1,,,0
2023,경상북도,청도군,,,,,,,,,1,,,0
2016,경상북도,청송군,,,,,,,,,1,,,0
2017,경상북도,청송군,,,,,,,,,1,,,0
2018,경상북도,청송군,,,,,,,,,1,,,0
2019,경상북도,청송군,,,,,,,,,1,,,0
2020,경상북도,청송군,,,,,,,,,1,,,0
2021,경상북도,청송군,,,,,,,,,1,,,0
2022,경상북도,청송군,,,,,,,,,1,,,0
2023,경상북도,청송군,,,,,,,,,1,,,0
2016,경상북도,칠곡군,,,,,,,,,1,,,0
2017,경상북도,칠곡군,,,,,,,,,1,,,0
2018,경상북도,칠곡군,,,,,,,,,1,,,0
2019,경상북도,칠곡군,,,,,,,,,1,,,0
2020,경상북도,칠곡군,,,,,,,,,1,,,0
2021,경상북도,칠곡군,,,,,,,,,1,,,0
2022,경상북도,칠곡군,,,,,,,,,1,,,0
2023,경상북도,칠곡군,,,,,,,,,1,,,0
2016,경상북도,포항시,,,,,,,,,1,,,0
2017,경상북도,포항시,,,,,,,,,1,,,0
2018,경상북도,포항시,,,,,,,,,1,,,0
2019,경상북도,포항시,,,,,,,,,1,,,0
2020,경상북도,포항시,,,,,,,,,1,,,0
2021,경상북도,포항시,,,,,,,,,1,,,0
2022,경상북도,포항시,,,,,,,,,1,,,0
2023,경상북도,포항시,,,,,,,,,1,,,0
2016,광주광역시,광산구,,,,,,,,,1,,,0
2017,광주광역시,광산구,,,,,,,,,1,,,0
2018,광주광역시,광산구,,,,,,,,,1,,,0
2019,광주광역시,광산구,,,,,,,,,1,,,0
2020,광주광역시,광산구,,,,,,,,,1,,,0
2021,광주광역시,광산구,,,,,,,,,1,,,0
2022,광주광역시,광산구,,,,,,,,,1,,,0
2023,광주광역시,광산구,,,,,,,,,1,,,0
2016,광주광역시,남구,,,,,,,,,1,,,0
2017,광주광역시,남구,,,,,,,,,1,,,0
2018,광주광역시,남구,,,,,,,,,1,,,0
2019,광주광역시,남구,,,,,,,,,1,,,0
2020,광주광역시,남구,,,,,,,,,1,,,0
2021,광주광역시,남구,,,,,,,,,1,,,0
2022,광주광역시,남구,,,,,,,,,1,,,0
2023,광주광역시,남구,,,,,,,,,1,,,0
2016,광주광역시,동구,,,,,,,,,1,,,0
2017,광주광역시,동구,,,,,,,,,1,,,0
2018,광주광역시,동구,,,,,,,,,1,,,0
2019,광주광역시,동구,,,,,,,,,1,,,0
2020,광주광역시,동구,,,,,,,,,1,,,0
2021,광주광역시,동구,,,,,,,,,1,,,0
2022,광주광역시,동구,,,,,,,,,1,,,0
2023,광주광역시,동구,,,,,,,,,1,,,0
2016,광주광역시,북구,,,,,,,,,1,,,0
2017,광주광역시,북구,,,,,,,,,1,,,0
2018,광주광역시,북구,,,,,,,,,1,,,0
2019,광주광역시,북구,,,,,,,,,1,,,0
2020,광주광역시,북구,,,,,,,,,1,,,0
2021,광주광역시,북구,,,,,,,,,1,,,0
2022,광주광역시,북구,,,,,,,,,1,,,0
2023,광주광역시,북구,,,,,,,,,1,,,0
2016,광주광역시,서구,,,,,,,,,1,,,0
2017,광주광역시,서구,,,,,,,,,1,,,0
2018,광주광역시,서구,,,,,,,,,1,,,0
2019,광주광역시,서구,,,,,,,,,1,,,0
2020,광주광역시,서구,,,,,,,,,1,,,0
2021,광주광역시,서구,,,,,,,,,1,,,0
2022,광주광역시,서구,,,,,,,,,1,,,0
2023,광주광역시,서구,,,,,,,,,1,,,0
2016,대구광역시,군위군,230000000.0,19.253589871235295,75256.85491787187,11.228675561454118,19.253589871235295,0.0,0.0,43.39622641509434,0,3.0,0.0,1
2017,대구광역시,군위군,663780000.0,20.31346132874567,217191.28329297822,12.288538338293735,20.31346132874567,0.0,0.0,58.99401421124901,0,2.0,0.0,1
2018,대구광역시,군위군,760391300.0,20.449343728481548,248802.8597604869,12.424420153233608,20.449343728481548,0.0,0.0,62.88169705385294,0,2.0,0.0,1
2019,대구광역시,군위군,427791866.0,19.874147343211668,139975.08867220732,11.849226891805761,19.874147343211668,0.0,0.0,54.074685411565724,0,2.0,0.0,1
2020,대구광역시,군위군,31948000.0,17.27962017032028,10453.504351809437,9.254788202973234,17.27962017032028,0.0,0.0,9.924883037483925,0,1.0,0.0,1
2021,대구광역시,군위군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2022,대구광역시,군위군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2023,대구광역시,군위군,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2016,대구광역시,남구,,,,,,,,,1,,,0
2017,대구광역시,남구,,,,,,,,,1,,,0
2018,대구광역시,남구,,,,,,,,,1,,,0
2019,대구광역시,남구,,,,,,,,,1,,,0
2020,대구광역시,남구,,,,,,,,,1,,,0
2021,대구광역시,남구,,,,,,,,,1,,,0
