연도,시도,시군구,sigungu_cd,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성
2018,경기도,평택시,41220,119,26.92,-6.8,26.21,1293.1,1.83,2001.4,2812.2,-1.12,12.0,365,True
2019,경기도,평택시,41220,119,26.92,-5.28,24.95,915.8,1.78,1967.1,2746.2,-1.79,12.0,365,True
2020,경기도,평택시,41220,119,26.92,-2.55,24.55,1635.5,1.94,1790.7,2564.8,-2.09,12.0,366,True
2021,경기도,평택시,41220,119,26.92,-5.34,25.35,1084.4,1.91,1984.2,2802.3,-1.26,12.0,365,True
2022,경기도,평택시,41220,119,26.92,-5.77,25.25,1864.0,1.92,1971.2,2798.8,-1.62,12.0,365,True
2023,경기도,평택시,41220,119,26.92,-6.32,25.04,1409.4,1.87,2016.7,2842.5,-1.61,12.0,365,True
2016,경기도,포천시,41650,98,18.27,-6.59,24.77,1087.2,1.63,2028.0,2851.0,-1.3,11.0,366,True
2017,경기도,포천시,41650,98,18.27,-6.27,24.29,989.7,1.66,1879.6,2663.6,-2.22,12.0,365,True
2018,경기도,포천시,41650,98,18.27,-9.08,25.24,1500.0,1.59,1861.4,2647.6,-1.22,12.0,365,True
2019,경기도,포천시,41650,98,18.27,-7.23,23.72,1028.1,1.37,1768.4,2519.0,-1.66,12.0,365,True
2020,경기도,포천시,41650,98,18.27,-4.34,23.68,1641.9,1.44,1638.6,2398.8,-1.33,12.0,366,True
2021,경기도,포천시,41650,98,18.27,-7.44,24.02,1035.6,1.29,1763.4,2560.4,-2.04,12.0,365,True
2022,경기도,포천시,41650,98,18.27,-8.09,23.84,1922.6,1.22,1746.5,2540.8,-1.34,12.0,365,True
2023,경기도,포천시,41650,98,18.27,-7.97,24.4,1412.7,1.12,1891.0,2702.4,-0.75,12.0,365,True
2016,경기도,하남시,41450,108,21.84,-4.34,25.97,991.7,2.28,2199.9,3030.6,-1.7,11.0,366,True
2017,경기도,하남시,41450,108,21.84,-4.39,25.39,1233.2,2.21,2100.6,2899.3,-1.85,12.0,365,True
2018,경기도,하남시,41450,108,21.84,-6.33,26.6,1284.1,1.73,2069.6,2878.0,-1.33,12.0,365,True
2019,경기도,하남시,41450,108,21.84,-4.36,25.22,891.3,1.95,2062.6,2861.8,-2.16,12.0,365,True
2020,경기도,하남시,41450,108,21.84,-1.88,24.86,1651.1,2.36,1872.2,2684.3,-1.16,12.0,366,True
2021,경기도,하남시,41450,108,21.84,-4.48,25.63,1186.5,2.31,2045.2,2899.6,-1.12,12.0,365,True
2022,경기도,하남시,41450,108,21.84,-5.02,25.48,1775.3,2.37,2058.6,2907.0,-1.54,12.0,365,True
2023,경기도,하남시,41450,108,21.84,-4.8,25.78,1598.8,2.27,2196.9,3040.7,-0.76,12.0,365,True
2016,경기도,화성시,41590,119,14.23,-4.13,25.68,1023.4,1.78,2153.4,2980.2,-1.52,11.0,366,True
2017,경기도,화성시,41590,119,14.23,-4.78,24.81,1328.6,1.82,1957.6,2741.6,-2.17,12.0,365,True
2018,경기도,화성시,41590,119,14.23,-6.8,26.21,1293.1,1.83,2001.4,2812.2,-1.12,12.0,365,True
2019,경기도,화성시,41590,119,14.23,-5.28,24.95,915.8,1.78,1967.1,2746.2,-1.79,12.0,365,True
2020,경기도,화성시,41590,119,14.23,-2.55,24.55,1635.5,1.94,1790.7,2564.8,-2.09,12.0,366,True
2021,경기도,화성시,41590,119,14.23,-5.34,25.35,1084.4,1.91,1984.2,2802.3,-1.26,12.0,365,True
2022,경기도,화성시,41590,119,14.23,-5.77,25.25,1864.0,1.92,1971.2,2798.8,-1.62,12.0,365,True
2023,경기도,화성시,41590,119,14.23,-6.32,25.04,1409.4,1.87,2016.7,2842.5,-1.61,12.0,365,True
2016,경상남도,거제시,48310,294,2.66,1.01,25.42,2262.6,1.81,2238.6,3166.8,-1.29,11.0,366,True
2017,경상남도,거제시,48310,294,2.66,0.68,25.52,1411.1,1.84,2207.4,3075.7,-1.83,12.0,365,True
2018,경상남도,거제시,48310,294,2.66,-1.49,25.92,2507.6,1.78,2165.4,3075.5,-1.79,12.0,365,True
2019,경상남도,거제시,48310,294,2.66,0.79,24.66,2268.7,1.68,2168.4,3084.8,-0.67,12.0,365,True
2020,경상남도,거제시,48310,294,2.66,2.13,23.97,2481.8,1.59,1878.2,2779.8,-1.25,12.0,366,True
2021,경상남도,거제시,48310,294,2.66,0.19,24.56,2227.9,1.52,2030.1,2973.8,-1.24,12.0,365,True
2022,경상남도,거제시,48310,294,2.66,-0.36,24.62,1294.0,1.5,2047.8,2966.0,-2.41,12.0,365,True
2023,경상남도,거제시,48310,294,2.66,-0.29,24.87,2585.5,1.39,2099.8,3031.0,-0.72,12.0,365,True
2016,경상남도,거창군,48880,284,7.29,-4.45,23.96,1229.8,1.26,1810.3,2628.2,-0.75,11.0,366,True
2017,경상남도,거창군,48880,284,7.29,-5.72,24.05,782.8,1.39,1743.9,2520.8,-1.59,12.0,365,True
2018,경상남도,거창군,48880,284,7.29,-7.53,24.75,1215.6,1.31,1743.8,2523.8,-1.01,12.0,365,True
2019,경상남도,거창군,48880,284,7.29,-5.6,23.29,1232.4,1.29,1709.8,2493.4,-0.65,12.0,365,True
2020,경상남도,거창군,48880,284,7.29,-3.51,23.57,1726.7,1.38,1618.7,2379.0,-2.21,12.0,366,True
2021,경상남도,거창군,48880,284,7.29,-5.86,23.64,1080.2,1.39,1731.4,2514.2,-1.12,12.0,365,True
2022,경상남도,거창군,48880,284,7.29,-6.56,24.4,638.8,1.38,1783.8,2587.8,-2.31,12.0,365,True
2023,경상남도,거창군,48880,284,7.29,-6.69,24.27,1625.4,1.26,1815.6,2639.0,-1.24,12.0,365,True
2016,경상남도,고성군,48820,162,23.11,1.27,24.8,1993.7,2.39,2163.4,3088.9,-1.3,11.0,366,True
2017,경상남도,고성군,48820,162,23.11,0.78,24.64,1249.4,2.42,2099.3,2973.7,-1.99,12.0,365,True
2018,경상남도,고성군,48820,162,23.11,-1.26,25.2,2118.7,2.41,2075.9,2992.6,-1.78,12.0,365,True
2019,경상남도,고성군,48820,162,23.11,0.89,24.01,1684.6,2.31,2063.6,2982.8,-0.91,12.0,365,True
2020,경상남도,고성군,48820,162,23.11,2.46,23.86,2137.7,2.46,1949.0,2868.4,-1.05,12.0,366,True
2021,경상남도,고성군,48820,162,23.11,0.41,25.05,1800.1,2.43,2184.0,3165.8,-1.25,12.0,365,True
2022,경상남도,고성군,48820,162,23.11,-0.1,24.75,987.8,2.42,2161.6,3095.6,-2.43,12.0,365,True
2023,경상남도,고성군,48820,162,23.11,0.05,24.77,2134.3,2.51,2179.6,3127.2,-0.94,12.0,363,True
2016,경상남도,김해시,48250,253,6.27,0.7,25.71,1634.0,2.08,2312.1,3233.9,-0.89,11.0,366,True
2017,경상남도,김해시,48250,253,6.27,-0.41,25.11,755.8,2.18,2168.2,3025.5,-1.98,12.0,365,True
2018,경상남도,김해시,48250,253,6.27,-2.98,26.08,1469.7,2.13,2242.2,3156.0,-1.61,12.0,365,True
2019,경상남도,김해시,48250,253,6.27,-0.3,24.87,1494.0,2.08,2252.4,3179.5,-0.76,12.0,365,True
2020,경상남도,김해시,48250,253,6.27,1.46,24.59,1702.5,1.93,2028.3,2925.2,-1.61,12.0,366,True
2021,경상남도,김해시,48250,253,6.27,-1.36,25.01,1552.6,1.73,2177.6,3122.9,-1.11,12.0,365,True
2022,경상남도,김해시,48250,253,6.27,-1.83,25.31,874.0,1.72,2234.6,3160.6,-2.26,12.0,365,True
2023,경상남도,김해시,48250,253,6.27,-1.61,25.57,1879.6,1.6,2307.2,3254.0,-0.62,12.0,365,True
2016,경상남도,남해군,48840,295,1.37,0.29,25.39,2400.8,1.27,2202.9,3110.2,-1.62,11.0,366,True
2017,경상남도,남해군,48840,295,1.37,-0.59,25.6,1157.8,1.33,2217.7,3066.4,-1.86,12.0,365,True
2018,경상남도,남해군,48840,295,1.37,-2.48,25.84,2203.6,1.29,2119.6,3004.2,-1.46,12.0,365,True
2019,경상남도,남해군,48840,295,1.37,-0.41,24.65,2171.7,1.28,2128.0,3022.4,-0.73,12.0,365,True
2020,경상남도,남해군,48840,295,1.37,1.18,24.18,2258.0,1.39,1901.5,2791.6,-1.27,12.0,366,True
2021,경상남도,남해군,48840,295,1.37,-0.79,24.79,1981.4,1.5,2075.8,3011.6,-1.3,12.0,365,True
2022,경상남도,남해군,48840,295,1.37,-1.32,25.0,1338.2,1.5,2088.4,2997.2,-2.42,12.0,365,True
2023,경상남도,남해군,48840,295,1.37,-1.15,25.03,2699.2,1.44,2163.5,3092.1,-0.86,12.0,365,True
2016,경상남도,밀양시,48270,288,4.2,-2.57,25.95,1568.2,1.04,2212.6,3081.2,-0.9,11.0,366,True
2017,경상남도,밀양시,48270,288,4.2,-3.55,26.16,558.1,1.1,2191.0,3003.4,-2.17,12.0,365,True
2018,경상남도,밀양시,48270,288,4.2,-6.09,26.21,1337.0,1.09,2078.6,2915.4,-1.59,12.0,365,True
2019,경상남도,밀양시,48270,288,4.2,-3.65,24.87,1181.1,1.04,2030.0,2872.2,-0.74,12.0,365,True
2020,경상남도,밀양시,48270,288,4.2,-1.63,24.95,1398.8,1.06,1918.9,2762.5,-1.22,12.0,366,True
2021,경상남도,밀양시,48270,288,4.2,-4.04,25.4,1202.5,1.04,2123.4,2996.8,-0.94,12.0,365,True
2022,경상남도,밀양시,48270,288,4.2,-4.19,25.97,843.2,1.13,2195.0,3080.8,-2.23,12.0,365,True
2023,경상남도,밀양시,48270,288,4.2,-3.95,26.02,1874.0,0.98,2236.6,3138.4,-0.95,12.0,365,True
2016,경상남도,사천시,48240,192,12.66,-3.51,24.77,1734.6,1.11,1973.9,2821.7,-1.29,11.0,366,True
2017,경상남도,사천시,48240,192,12.66,-4.03,25.03,766.7,1.19,1970.4,2768.0,-1.99,12.0,365,True
2018,경상남도,사천시,48240,192,12.66,-6.07,25.19,1605.4,1.13,1883.3,2708.8,-1.24,12.0,365,True
2019,경상남도,사천시,48240,192,12.66,-3.65,24.3,1481.6,0.97,1914.2,2750.7,-0.93,12.0,365,True
2020,경상남도,사천시,48240,192,12.66,-2.21,24.37,1812.7,0.94,1821.2,2633.5,-1.8,12.0,366,True
2021,경상남도,사천시,48240,192,12.66,-4.09,24.8,1395.0,0.99,1964.1,2822.3,-1.27,12.0,365,True
2022,경상남도,사천시,48240,192,12.66,-5.07,25.19,966.2,0.96,1996.4,2849.3,-2.3,12.0,365,True
2023,경상남도,사천시,48240,192,12.66,-4.73,25.2,2304.8,0.9,2069.0,2941.1,-0.71,12.0,365,True
2016,경상남도,산청군,48860,289,4.96,-2.07,24.7,1530.0,1.72,1987.4,2829.6,-1.18,11.0,366,True
2017,경상남도,산청군,48860,289,4.96,-3.11,24.71,770.8,1.7,1938.4,2735.2,-1.71,12.0,365,True
2018,경상남도,산청군,48860,289,4.96,-5.32,25.26,1601.5,1.66,1884.0,2704.0,-1.43,12.0,365,True
2019,경상남도,산청군,48860,289,4.96,-2.96,24.03,1769.9,1.62,1916.1,2743.4,-0.68,12.0,365,True
2020,경상남도,산청군,48860,289,4.96,-1.87,24.13,2136.8,1.82,1753.9,2553.6,-1.71,12.0,366,True
2021,경상남도,산청군,48860,289,4.96,-3.98,24.36,1142.8,1.69,1890.3,2723.8,-0.99,12.0,365,True
2022,경상남도,산청군,48860,289,4.96,-4.32,24.79,971.4,1.73,1920.0,2758.8,-2.19,12.0,365,True
2023,경상남도,산청군,48860,289,4.96,-4.6,24.97,1938.2,1.57,2002.9,2858.8,-0.87,12.0,365,True
2016,경상남도,양산시,48330,257,10.67,-0.53,25.69,1978.8,2.25,2263.4,3166.8,-0.41,11.0,366,True
2017,경상남도,양산시,48330,257,10.67,-0.78,26.07,720.2,2.33,2297.6,3153.1,-2.01,12.0,365,True
2018,경상남도,양산시,48330,257,10.67,-3.27,26.32,1589.2,2.31,2221.2,3105.6,-1.98,12.0,365,True
2019,경상남도,양산시,48330,257,10.67,-0.62,25.0,1536.1,2.12,2211.2,3116.1,-0.48,12.0,365,True
2020,경상남도,양산시,48330,257,10.67,0.88,24.98,1892.5,2.22,2070.6,2977.5,-1.4,12.0,366,True
2021,경상남도,양산시,48330,257,10.67,-1.31,25.52,1708.2,2.19,2238.8,3174.4,-1.13,12.0,365,True
2022,경상남도,양산시,48330,257,10.67,-1.81,25.97,932.5,2.15,2323.7,3248.1,-2.25,12.0,365,True
2023,경상남도,양산시,48330,257,10.67,-1.31,26.29,2172.0,1.97,2412.5,3363.4,-0.63,12.0,365,True
2016,경상남도,의령군,48720,263,7.84,-3.81,24.2,1474.0,1.12,1849.7,2696.5,-1.56,11.0,366,True
2017,경상남도,의령군,48720,263,7.84,-4.42,25.35,876.8,1.25,2055.9,2860.3,-1.32,12.0,365,True
2018,경상남도,의령군,48720,263,7.84,-6.63,25.81,1561.6,1.15,1980.4,2814.3,-1.24,12.0,365,True
2019,경상남도,의령군,48720,263,7.84,-4.09,24.63,1272.8,1.2,1978.8,2818.3,-0.93,12.0,365,True
2020,경상남도,의령군,48720,263,7.84,-1.91,25.0,1747.5,1.44,1918.0,2750.0,-1.66,12.0,366,True
2021,경상남도,의령군,48720,263,7.84,-4.57,25.46,1205.5,1.74,2084.0,2952.4,-1.31,12.0,365,True
2022,경상남도,의령군,48720,263,7.84,-5.99,25.74,784.2,1.78,2085.4,2945.8,-2.3,12.0,365,True
2023,경상남도,의령군,48720,263,7.84,-5.55,25.97,1939.9,1.6,2149.2,3009.6,-1.15,12.0,365,True
2016,경상남도,진주시,48170,192,9.34,-3.51,24.77,1734.6,1.11,1973.9,2821.7,-1.29,11.0,366,True
2017,경상남도,진주시,48170,192,9.34,-4.03,25.03,766.7,1.19,1970.4,2768.0,-1.99,12.0,365,True
2018,경상남도,진주시,48170,192,9.34,-6.07,25.19,1605.4,1.13,1883.3,2708.8,-1.24,12.0,365,True
2019,경상남도,진주시,48170,192,9.34,-3.65,24.3,1481.6,0.97,1914.2,2750.7,-0.93,12.0,365,True
2020,경상남도,진주시,48170,192,9.34,-2.21,24.37,1812.7,0.94,1821.2,2633.5,-1.8,12.0,366,True
2021,경상남도,진주시,48170,192,9.34,-4.09,24.8,1395.0,0.99,1964.1,2822.3,-1.27,12.0,365,True
2022,경상남도,진주시,48170,192,9.34,-5.07,25.19,966.2,0.96,1996.4,2849.3,-2.3,12.0,365,True
2023,경상남도,진주시,48170,192,9.34,-4.73,25.2,2304.8,0.9,2069.0,2941.1,-0.71,12.0,365,True
2016,경상남도,창녕군,48740,288,22.8,-2.57,25.95,1568.2,1.04,2212.6,3081.2,-0.9,11.0,366,True
2017,경상남도,창녕군,48740,288,22.8,-3.55,26.16,558.1,1.1,2191.0,3003.4,-2.17,12.0,365,True
2018,경상남도,창녕군,48740,288,22.8,-6.09,26.21,1337.0,1.09,2078.6,2915.4,-1.59,12.0,365,True
2019,경상남도,창녕군,48740,288,22.8,-3.65,24.87,1181.1,1.04,2030.0,2872.2,-0.74,12.0,365,True
2020,경상남도,창녕군,48740,288,22.8,-1.63,24.95,1398.8,1.06,1918.9,2762.5,-1.22,12.0,366,True
2021,경상남도,창녕군,48740,288,22.8,-4.04,25.4,1202.5,1.04,2123.4,2996.8,-0.94,12.0,365,True
2022,경상남도,창녕군,48740,288,22.8,-4.19,25.97,843.2,1.13,2195.0,3080.8,-2.23,12.0,365,True
2023,경상남도,창녕군,48740,288,22.8,-3.95,26.02,1874.0,0.98,2236.6,3138.4,-0.95,12.0,365,True
2016,경상남도,창원시 마산합포구,48125,155,4.37,-0.59,25.4,1893.0,1.6,2195.2,3085.0,-1.36,11.0,366,True
2017,경상남도,창원시 마산합포구,48125,155,4.37,-0.41,25.55,879.3,1.65,2227.8,3087.7,-2.13,12.0,365,True
2018,경상남도,창원시 마산합포구,48125,155,4.37,-2.82,25.46,1507.3,1.65,2061.8,2939.2,-1.51,12.0,365,True
2019,경상남도,창원시 마산합포구,48125,155,4.37,-0.85,24.08,1587.0,1.58,2020.3,2899.3,-0.98,12.0,365,True
2020,경상남도,창원시 마산합포구,48125,155,4.37,0.95,24.24,1672.8,1.6,1926.4,2799.3,-1.51,12.0,366,True
2021,경상남도,창원시 마산합포구,48125,155,4.37,-1.35,24.89,1710.6,1.43,2105.5,3026.6,-1.23,12.0,365,True
2022,경상남도,창원시 마산합포구,48125,155,4.37,-1.66,25.1,1049.9,1.5,2151.7,3066.1,-2.29,12.0,365,True
2023,경상남도,창원시 마산합포구,48125,155,4.37,-1.58,25.37,2161.1,1.4,2203.4,3125.8,-0.61,12.0,365,True
2016,경상남도,창원시 마산회원구,48127,155,4.37,-0.59,25.4,1893.0,1.6,2195.2,3085.0,-1.36,11.0,366,True
2017,경상남도,창원시 마산회원구,48127,155,4.37,-0.41,25.55,879.3,1.65,2227.8,3087.7,-2.13,12.0,365,True
2018,경상남도,창원시 마산회원구,48127,155,4.37,-2.82,25.46,1507.3,1.65,2061.8,2939.2,-1.51,12.0,365,True
2019,경상남도,창원시 마산회원구,48127,155,4.37,-0.85,24.08,1587.0,1.58,2020.3,2899.3,-0.98,12.0,365,True
2020,경상남도,창원시 마산회원구,48127,155,4.37,0.95,24.24,1672.8,1.6,1926.4,2799.3,-1.51,12.0,366,True
2021,경상남도,창원시 마산회원구,48127,155,4.37,-1.35,24.89,1710.6,1.43,2105.5,3026.6,-1.23,12.0,365,True
2022,경상남도,창원시 마산회원구,48127,155,4.37,-1.66,25.1,1049.9,1.5,2151.7,3066.1,-2.29,12.0,365,True
2023,경상남도,창원시 마산회원구,48127,155,4.37,-1.58,25.37,2161.1,1.4,2203.4,3125.8,-0.61,12.0,365,True
2016,경상남도,창원시 성산구,48123,155,4.37,-0.59,25.4,1893.0,1.6,2195.2,3085.0,-1.36,11.0,366,True
2017,경상남도,창원시 성산구,48123,155,4.37,-0.41,25.55,879.3,1.65,2227.8,3087.7,-2.13,12.0,365,True
2018,경상남도,창원시 성산구,48123,155,4.37,-2.82,25.46,1507.3,1.65,2061.8,2939.2,-1.51,12.0,365,True
2019,경상남도,창원시 성산구,48123,155,4.37,-0.85,24.08,1587.0,1.58,2020.3,2899.3,-0.98,12.0,365,True
2020,경상남도,창원시 성산구,48123,155,4.37,0.95,24.24,1672.8,1.6,1926.4,2799.3,-1.51,12.0,366,True
2021,경상남도,창원시 성산구,48123,155,4.37,-1.35,24.89,1710.6,1.43,2105.5,3026.6,-1.23,12.0,365,True
2022,경상남도,창원시 성산구,48123,155,4.37,-1.66,25.1,1049.9,1.5,2151.7,3066.1,-2.29,12.0,365,True
2023,경상남도,창원시 성산구,48123,155,4.37,-1.58,25.37,2161.1,1.4,2203.4,3125.8,-0.61,12.0,365,True
2016,경상남도,창원시 의창구,48121,155,4.37,-0.59,25.4,1893.0,1.6,2195.2,3085.0,-1.36,11.0,366,True
2017,경상남도,창원시 의창구,48121,155,4.37,-0.41,25.55,879.3,1.65,2227.8,3087.7,-2.13,12.0,365,True
2018,경상남도,창원시 의창구,48121,155,4.37,-2.82,25.46,1507.3,1.65,2061.8,2939.2,-1.51,12.0,365,True
2019,경상남도,창원시 의창구,48121,155,4.37,-0.85,24.08,1587.0,1.58,2020.3,2899.3,-0.98,12.0,365,True
2020,경상남도,창원시 의창구,48121,155,4.37,0.95,24.24,1672.8,1.6,1926.4,2799.3,-1.51,12.0,366,True
2021,경상남도,창원시 의창구,48121,155,4.37,-1.35,24.89,1710.6,1.43,2105.5,3026.6,-1.23,12.0,365,True
2022,경상남도,창원시 의창구,48121,155,4.37,-1.66,25.1,1049.9,1.5,2151.7,3066.1,-2.29,12.0,365,True
2023,경상남도,창원시 의창구,48121,155,4.37,-1.58,25.37,2161.1,1.4,2203.4,3125.8,-0.61,12.0,365,True
2016,경상남도,창원시 진해구,48129,155,4.37,-0.59,25.4,1893.0,1.6,2195.2,3085.0,-1.36,11.0,366,True
2017,경상남도,창원시 진해구,48129,155,4.37,-0.41,25.55,879.3,1.65,2227.8,3087.7,-2.13,12.0,365,True
2018,경상남도,창원시 진해구,48129,155,4.37,-2.82,25.46,1507.3,1.65,2061.8,2939.2,-1.51,12.0,365,True
2019,경상남도,창원시 진해구,48129,155,4.37,-0.85,24.08,1587.0,1.58,2020.3,2899.3,-0.98,12.0,365,True
2020,경상남도,창원시 진해구,48129,155,4.37,0.95,24.24,1672.8,1.6,1926.4,2799.3,-1.51,12.0,366,True
2021,경상남도,창원시 진해구,48129,155,4.37,-1.35,24.89,1710.6,1.43,2105.5,3026.6,-1.23,12.0,365,True
2022,경상남도,창원시 진해구,48129,155,4.37,-1.66,25.1,1049.9,1.5,2151.7,3066.1,-2.29,12.0,365,True
2023,경상남도,창원시 진해구,48129,155,4.37,-1.58,25.37,2161.1,1.4,2203.4,3125.8,-0.61,12.0,365,True
2016,경상남도,통영시,48220,162,5.87,1.27,24.8,1993.7,2.39,2163.4,3088.9,-1.3,11.0,366,True
2017,경상남도,통영시,48220,162,5.87,0.78,24.64,1249.4,2.42,2099.3,2973.7,-1.99,12.0,365,True
2018,경상남도,통영시,48220,162,5.87,-1.26,25.2,2118.7,2.41,2075.9,2992.6,-1.78,12.0,365,True
2019,경상남도,통영시,48220,162,5.87,0.89,24.01,1684.6,2.31,2063.6,2982.8,-0.91,12.0,365,True
2020,경상남도,통영시,48220,162,5.87,2.46,23.86,2137.7,2.46,1949.0,2868.4,-1.05,12.0,366,True
2021,경상남도,통영시,48220,162,5.87,0.41,25.05,1800.1,2.43,2184.0,3165.8,-1.25,12.0,365,True
2022,경상남도,통영시,48220,162,5.87,-0.1,24.75,987.8,2.42,2161.6,3095.6,-2.43,12.0,365,True
2023,경상남도,통영시,48220,162,5.87,0.05,24.77,2134.3,2.51,2179.6,3127.2,-0.94,12.0,363,True
2016,경상남도,하동군,48850,266,23.02,0.48,25.59,1607.4,1.91,2254.5,3174.0,-1.44,11.0,366,True
2017,경상남도,하동군,48850,266,23.02,0.08,25.43,824.4,1.91,2207.3,3076.6,-1.99,12.0,365,True
2018,경상남도,하동군,48850,266,23.02,-2.35,26.11,1695.0,1.85,2158.7,3060.4,-1.32,12.0,365,True
2019,경상남도,하동군,48850,266,23.02,0.19,24.57,1566.1,1.75,2156.3,3065.5,-0.81,12.0,365,True
2020,경상남도,하동군,48850,266,23.02,1.86,24.54,1821.0,1.74,2027.0,2937.5,-1.91,12.0,366,True
2021,경상남도,하동군,48850,266,23.02,-0.24,25.3,1423.0,1.67,2205.0,3175.6,-1.22,12.0,365,True
2022,경상남도,하동군,48850,266,23.02,-0.69,25.49,1054.7,1.98,2270.6,3201.4,-2.38,12.0,365,True
2023,경상남도,하동군,48850,266,23.02,-1.13,25.55,2274.6,1.76,2277.6,3220.2,-0.95,12.0,365,True
2016,경상남도,함안군,48730,263,13.41,-3.81,24.2,1474.0,1.12,1849.7,2696.5,-1.56,11.0,366,True
2017,경상남도,함안군,48730,263,13.41,-4.42,25.35,876.8,1.25,2055.9,2860.3,-1.32,12.0,365,True
2018,경상남도,함안군,48730,263,13.41,-6.63,25.81,1561.6,1.15,1980.4,2814.3,-1.24,12.0,365,True
2019,경상남도,함안군,48730,263,13.41,-4.09,24.63,1272.8,1.2,1978.8,2818.3,-0.93,12.0,365,True
2020,경상남도,함안군,48730,263,13.41,-1.91,25.0,1747.5,1.44,1918.0,2750.0,-1.66,12.0,366,True
2021,경상남도,함안군,48730,263,13.41,-4.57,25.46,1205.5,1.74,2084.0,2952.4,-1.31,12.0,365,True
2022,경상남도,함안군,48730,263,13.41,-5.99,25.74,784.2,1.78,2085.4,2945.8,-2.3,12.0,365,True
2023,경상남도,함안군,48730,263,13.41,-5.55,25.97,1939.9,1.6,2149.2,3009.6,-1.15,12.0,365,True
2016,경상남도,함양군,48870,264,4.95,-2.99,24.54,1128.0,1.25,1949.8,2791.8,-1.16,11.0,366,True
2017,경상남도,함양군,48870,264,4.95,-4.12,24.48,614.6,1.38,1818.9,2604.8,-2.34,12.0,365,True
2018,경상남도,함양군,48870,264,4.95,-6.72,25.14,1666.7,1.2,1818.4,2616.0,-0.84,12.0,365,True
2019,경상남도,함양군,48870,264,4.95,-4.35,23.69,1464.6,1.22,1798.4,2597.9,-0.49,12.0,365,True
2020,경상남도,함양군,48870,264,4.95,-2.59,24.04,1910.6,1.28,1726.0,2501.5,-1.77,12.0,366,True
2021,경상남도,함양군,48870,264,4.95,-4.6,24.3,1014.9,1.64,1850.2,2660.8,-0.8,12.0,365,True
2022,경상남도,함양군,48870,264,4.95,-5.3,24.88,801.5,1.67,1882.6,2707.3,-2.27,12.0,365,True
2023,경상남도,함양군,48870,264,4.95,-5.57,25.16,1701.0,1.48,2001.0,2841.0,-1.21,12.0,365,True
2016,경상남도,합천군,48890,285,2.88,-3.97,25.34,1505.6,1.12,2086.2,2936.8,-1.0,11.0,366,True
2017,경상남도,합천군,48890,285,2.88,-4.62,25.36,780.0,1.23,2027.7,2825.6,-1.63,12.0,365,True
2018,경상남도,합천군,48890,285,2.88,-6.83,25.95,1479.4,1.25,1994.8,2818.4,-1.4,12.0,365,True
2019,경상남도,합천군,48890,285,2.88,-4.49,24.59,1417.6,1.15,1962.0,2784.5,-0.6,12.0,365,True
2020,경상남도,합천군,48890,285,2.88,-2.12,24.43,1733.5,1.05,1807.4,2630.0,-1.81,12.0,366,True
2021,경상남도,합천군,48890,285,2.88,-4.5,24.49,1146.4,0.93,1947.4,2804.4,-1.07,12.0,365,True
2022,경상남도,합천군,48890,285,2.88,-4.95,25.21,794.3,0.92,2021.0,2877.6,-2.39,12.0,365,True
2023,경상남도,합천군,48890,285,2.88,-5.1,25.35,1771.4,0.8,2118.4,2999.8,-1.22,12.0,365,True
2016,경상북도,경산시,47290,143,14.9,-1.8,25.82,1227.3,2.12,2183.5,3048.2,-0.6,11.0,366,True
2017,경상북도,경산시,47290,143,14.9,-2.14,25.88,663.7,2.23,2203.1,3025.3,-1.43,12.0,365,True
2018,경상북도,경산시,47290,143,14.9,-4.46,26.51,1297.6,2.19,2143.2,2994.3,-1.19,12.0,365,True
2019,경상북도,경산시,47290,143,14.9,-2.27,25.36,995.7,2.02,2145.3,3003.2,-0.71,12.0,365,True
2020,경상북도,경산시,47290,143,14.9,-0.25,25.41,1244.9,2.28,2013.5,2876.4,-1.93,12.0,366,True
2021,경상북도,경산시,47290,143,14.9,-2.74,25.3,910.0,2.25,2115.0,2997.3,-0.88,12.0,365,True
2022,경상북도,경산시,47290,143,14.9,-3.23,26.26,581.0,2.27,2248.8,3139.4,-2.48,12.0,365,True
2023,경상북도,경산시,47290,143,14.9,-3.08,26.09,1321.8,2.14,2258.6,3162.3,-1.29,12.0,365,True
2016,경상북도,경주시,47130,283,3.29,-2.55,24.94,1251.4,2.33,2027.5,2866.6,-1.67,11.0,366,True
2017,경상북도,경주시,47130,283,3.29,-2.89,25.07,590.7,2.46,1981.6,2771.0,-2.26,12.0,365,True
2018,경상북도,경주시,47130,283,3.29,-5.57,25.28,1303.7,2.39,1957.2,2797.7,-0.91,12.0,365,True
2019,경상북도,경주시,47130,283,3.29,-2.69,24.14,1239.8,2.26,1947.7,2788.0,-0.77,12.0,365,True
2020,경상북도,경주시,47130,283,3.29,-0.94,24.5,1371.6,2.6,1859.3,2695.6,-1.85,12.0,366,True
2021,경상북도,경주시,47130,283,3.29,-3.81,24.47,1112.1,2.54,1908.0,2751.9,-1.01,12.0,365,True
2022,경상북도,경주시,47130,283,3.29,-4.23,25.29,829.5,2.54,2018.4,2879.7,-1.85,12.0,365,True
