연도,시도,시군구,sigungu_cd,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성
2022,강원특별자치도,양구군,51800,211,19.66,-8.51,23.31,1497.5,1.45,1626.9,2369.5,-1.33,12.0,365,True
2023,강원특별자치도,양구군,51800,211,19.66,-9.13,24.08,1225.6,1.32,1789.0,2577.2,-0.75,12.0,365,True
2016,강원특별자치도,양양군,51830,90,27.52,-3.13,23.04,1333.8,1.88,1679.8,2483.9,-1.99,11.0,366,True
2017,강원특별자치도,양양군,51830,90,27.52,-1.58,23.06,1208.2,1.81,1732.6,2537.7,-1.63,12.0,365,True
2018,강원특별자치도,양양군,51830,90,27.52,-4.7,24.01,1777.0,1.85,1729.6,2519.2,-0.82,12.0,365,True
2019,강원특별자치도,양양군,51830,90,27.52,-2.38,23.51,1355.5,1.86,1813.3,2632.8,-1.26,12.0,365,True
2020,강원특별자치도,양양군,51830,90,27.52,-0.01,23.17,2085.8,2.05,1636.2,2430.8,-2.59,12.0,366,True
2021,강원특별자치도,양양군,51830,90,27.52,-3.24,23.44,1199.7,1.96,1718.6,2547.7,-1.79,12.0,365,True
2022,강원특별자치도,양양군,51830,90,27.52,-3.45,23.3,1637.3,1.94,1737.2,2563.5,-0.59,12.0,365,True
2023,강원특별자치도,양양군,51830,90,27.52,-3.48,24.17,1768.8,1.89,1867.8,2706.0,-1.17,12.0,365,True
2016,강원특별자치도,영월군,51750,121,4.58,-5.64,23.75,940.4,1.14,1822.2,2633.3,-1.59,11.0,366,True
2017,강원특별자치도,영월군,51750,121,4.58,-5.44,23.24,996.1,1.06,1701.1,2467.8,-2.22,12.0,365,True
2018,강원특별자치도,영월군,51750,121,4.58,-8.28,24.53,1360.8,1.12,1741.6,2508.0,-0.67,12.0,365,True
2019,강원특별자치도,영월군,51750,121,4.58,-6.6,23.2,830.4,1.06,1745.0,2500.0,-1.72,12.0,365,True
2020,강원특별자치도,영월군,51750,121,4.58,-3.82,23.49,1344.1,1.11,1639.5,2390.1,-1.88,12.0,366,True
2021,강원특별자치도,영월군,51750,121,4.58,-6.98,23.25,1106.4,1.08,1696.4,2488.9,-0.99,12.0,365,True
2022,강원특별자치도,영월군,51750,121,4.58,-7.18,23.66,1288.7,1.03,1744.8,2526.7,-1.89,12.0,365,True
2023,강원특별자치도,영월군,51750,121,4.58,-7.57,24.04,1507.5,0.99,1847.8,2657.4,-1.75,12.0,365,True
2016,강원특별자치도,원주시,51130,114,3.56,-4.26,25.47,874.6,1.07,2064.8,2890.4,-2.01,11.0,366,True
2017,강원특별자치도,원주시,51130,114,3.56,-5.08,24.03,1063.6,1.0,1784.4,2561.2,-2.28,12.0,365,True
2018,강원특별자치도,원주시,51130,114,3.56,-6.95,25.88,1229.2,1.06,1895.6,2677.0,-0.88,12.0,365,True
