sgg_cd,pine_ha,forest_ha,pine_ratio,시도명,sido_cd,sido_nm,pine_ha_raw
26710,5111.9,13177.0,38.8,부산,26,부산,5313.0
46840,5104.0,16757.9,30.5,,46,전남,4614.2
42190,4966.4,30947.4,16.0,강원,42,강원,4705.3
28237,4877.8,31151.3,15.7,인천,28,인천,37.9
46830,4531.7,14878.8,30.5,,46,전남,4096.8
43750,3992.5,33633.4,11.9,충북,43,충북,2671.9
41360,3982.7,34645.4,11.5,경기,41,경기,3478.0
44230,3772.0,23061.7,16.4,충남,44,충남,3185.0
44200,3711.1,21050.9,17.6,충남,44,충남,3133.6
31200,3362.8,10212.8,32.9,울산,31,울산,3311.2
48127,2858.1,7069.3,40.4,경남,48,경남,2885.5
44131,2825.2,28813.5,9.8,충남,44,충남,2385.5
48121,2771.0,7255.5,38.2,경남,48,경남,2797.6
29200,2700.7,6817.4,39.6,광주,29,광주,2614.8
41630,2692.7,21416.9,12.6,경기,41,경기,2351.5
28177,2651.2,7886.7,33.6,인천,28,인천,20.6
41550,2640.9,28143.2,9.4,경기,41,경기,2306.2
45210,2484.3,8704.6,28.5,전북,45,전북,2307.3
27230,2417.8,8796.2,27.5,대구,27,대구,2375.8
45140,2361.4,8247.9,28.6,전북,45,전북,2193.1
41670,2354.3,31035.4,7.6,경기,41,경기,2055.9
41461,2191.3,30138.6,7.3,경기,41,경기,1913.6
42210,2171.2,9132.8,23.8,강원,42,강원,2057.0
48129,2135.3,8019.4,26.6,경남,48,경남,2155.8
41590,2134.7,19193.9,11.1,경기,41,경기,1864.2
41610,2117.1,34283.2,6.2,경기,41,경기,1848.8
45130,2066.2,7094.4,29.1,전북,45,전북,1919.0
26410,1942.7,4274.4,45.4,부산,26,부산,2019.1
26350,1686.4,3115.5,54.1,부산,26,부산,1752.7
30200,1577.5,12511.0,12.6,대전,30,대전,1001.1
36110,1497.0,24750.0,6.0,세종,36,세종,1190.3
48123,1458.4,5036.3,29.0,경남,48,경남,1472.4
26440,1450.6,3552.8,40.8,부산,26,부산,1507.7
29170,1417.1,5568.1,25.5,광주,29,광주,1372.0
47720,1300.5,3056.2,42.6,경북,47,경북,1263.4
27260,1196.5,7837.2,15.3,대구,27,대구,1175.7
30110,1071.6,12005.2,8.9,대전,30,대전,680.1
26320,997.7,2525.1,39.5,부산,26,부산,1036.9
27290,972.0,4449.6,21.8,대구,27,대구,955.1
31170,927.9,2004.1,46.3,울산,31,울산,913.7
42780,919.4,8272.8,11.1,강원,42,강원,871.1
44250,915.3,5372.3,17.0,충남,44,충남,772.9
29110,895.8,3926.7,22.8,광주,29,광주,867.3
41800,889.8,12514.9,7.1,경기,41,경기,777.0
31110,847.2,1429.5,59.3,울산,31,울산,834.2
41250,823.1,8901.0,9.2,경기,41,경기,718.8
41480,816.2,9519.0,8.6,경기,41,경기,712.8
26230,668.1,1709.5,39.1,부산,26,부산,694.4
41500,660.6,16744.7,3.9,경기,41,경기,576.9
30140,613.9,5216.8,11.8,대전,30,대전,389.6
26530,604.0,1471.5,41.0,부산,26,부산,627.8
11290,579.6,3547.5,16.3,서울,11,서울,191.0
41220,553.3,5290.0,10.5,경기,41,경기,483.2
44133,543.7,5415.1,10.0,충남,44,충남,459.1
45111,543.1,4623.0,11.7,전북,45,전북,504.4
46110,535.4,1757.8,30.5,,46,전남,484.0
31140,521.3,1375.3,37.9,울산,31,울산,513.3
26380,520.7,1314.6,39.6,부산,26,부산,541.2
29155,510.2,1895.7,26.9,광주,29,광주,494.0
11305,400.9,5366.7,7.5,서울,11,서울,132.1
26290,397.3,747.6,53.1,부산,26,부산,412.9
11215,392.7,1104.6,35.6,서울,11,서울,129.4
27200,379.0,1809.0,21.0,대구,27,대구,372.4
26260,368.0,588.7,62.5,부산,26,부산,382.5
41150,348.3,6156.2,5.7,경기,41,경기,304.2
43113,348.2,8197.5,4.2,충북,43,충북,233.0
41463,307.8,3711.7,8.3,경기,41,경기,268.8
11170,303.1,1903.8,15.9,서울,11,서울,99.9
26200,284.6,460.8,61.8,부산,26,부산,295.8
11260,262.2,1785.0,14.7,서울,11,서울,86.4
41450,221.4,5424.8,4.1,경기,41,경기,193.3
26140,209.9,893.9,23.5,부산,26,부산,218.2
29140,172.2,711.1,24.2,광주,29,광주,166.7
26470,141.9,407.0,34.9,부산,26,부산,147.5
26170,134.2,332.5,40.4,부산,26,부산,139.5
45113,124.7,2283.5,5.5,전북,45,전북,115.8
41113,123.3,614.8,20.1,경기,41,경기,107.7
41135,108.1,4475.4,2.4,경기,41,경기,94.4
26500,95.9,272.2,35.2,부산,26,부산,99.7
41465,84.9,2877.4,3.0,경기,41,경기,74.1
41131,84.9,3169.5,2.7,경기,41,경기,74.1
11740,74.3,1013.0,7.3,서울,11,서울,24.5
41133,42.3,1852.2,2.3,경기,41,경기,36.9
11140,38.2,598.3,6.4,서울,11,서울,12.6
27170,34.6,389.6,8.9,대구,27,대구,34.0
