연도,시도,시군구,시군구코드,log_피해밀도_본per_ha,log_인접시군_피해밀도_본per_ha,연속발생연수,집단발생여부,소나무류_면적비율(%),최근감염목과의_거리_km,데이터유형,인접시군_산정방식,임상도_기준판,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성,대응자원투입예산_소나무림ha당_log,예찰진단예산_소나무림ha당_log,예산자료_사용가능여부,대응자원투입예산_원,예찰진단예산_원,소나무림면적_원자료_ha,소나무림면적_보정_flag,log_소나무림면적,면적하한미달_flag,소나무림면적_자료유효_flag,예산결측사유,집계구분_지자체대응역량,대응자원투입예산_원_산림병해충포괄,예찰진단예산_원_산림병해충포괄,대응자원투입예산_소나무림ha당_log_산림병해충포괄,예찰진단예산_소나무림ha당_log_산림병해충포괄,대응자원투입예산_원_재선충명시,예찰진단예산_원_재선충명시,대응자원투입예산_총액_재선충명시,예찰진단예산_총액_재선충명시,대응자원투입예산_소나무림ha당_log_재선충명시,예찰진단예산_소나무림ha당_log_재선충명시,대응자원투입사업_재선충명시_존재_flag,예찰사업_재선충명시_존재_flag,예찰사업명_2016비표준_flag,재선충명시_집계범위,이동통제예산_원_산림병해충포괄,이동통제예산_소나무림ha당_log_산림병해충포괄,예찰진단예산비중_산림병해충포괄,이동통제예산비중_산림병해충포괄,이동통제예산비중_광의예산대비_산림병해충포괄,활동방제법인수_확장,방제법인수_소나무림1만ha당_log,반출금지구역_지정여부,반출금지구역면적_ha,반출금지구역면적비율,법인자료_연도완전여부,법인자료_관측여부,법인자료_최신성주의플래그,반출금지구역_이력완전_flag,확장자료_250to229_source_units,예찰자료_신뢰_flag,도로소나무비율_500m,주거지소나무비율_300m,log1p_원목생산업체수,면적_0_의심_flag,도로인접소나무면적_500m_ha_복원,주거지인접소나무면적_300m_ha_복원,원목생산업체수_누적stock,당해연도_신규원목생산업체수,임상도판_후기_flag,도로소나무비율_500m_최종사용_flag,주거지소나무비율_300m_최종사용_flag,원목생산업체수_조건부핵심_flag,log면적_동시투입필수_flag,집계구분_인위적확산,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible,국가대응수준_관측포함,도로소나무비율_500m_보정전,기후자료_결측사유,관측소_원거리_도서지역_flag,관측소_대도시권_재사용_flag,"도로소나무비율_500m_TierB참고(2023고정,104포함)",도로소나무비율_500m_TierA_통합시집계_flag
2018,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,572.68,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),90,20.12,-4.7,24.01,1777.0,1.85,1729.6,2519.2,-0.82,12.0,365,True,10.842449763461715,0.0,1,161073000.0,0.0,5011.982153953566,1,8.519586755345927,0,1,observed,단독단위_원값유지,161073000.0,0.0,10.842449763462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.0,0.0,0.0,6.0,2.998319144925,0,0.0,0.0,1,1,0,0,1,1,0.08571709854332828,0.0,0.6931471805599452,0,269.94954550699794,0.0,1,0,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.085717099,,0,0,0.084283694,0
2019,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,321.87,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),90,20.12,-2.38,23.51,1355.5,1.86,1813.3,2632.8,-1.26,12.0,365,True,9.44985563856312,0.0,1,40013000.0,0.0,5011.982153953566,1,8.519586755345927,0,1,observed,단독단위_원값유지,40013000.0,0.0,9.449855638563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.0,0.0,0.0,6.0,2.998319144925,0,0.0,0.0,1,1,0,1,1,1,0.08571709854332828,0.0,0.6931471805599452,0,269.94954550699794,0.0,1,0,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.085717099,,0,0,0.084283694,0
2020,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,321.87,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024),90,20.12,-0.01,23.17,2085.8,2.05,1636.2,2430.8,-2.59,12.0,366,True,9.165519608835805,8.833893502241171,1,47918000.0,34392000.0,5011.982153953566,0,8.519586755345927,0,1,observed,단독단위_원값유지,47918000.0,34392000.0,9.165519608836,8.833893502241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.417835013972,0.0,0.0,7.0,2.705816386465,0,0.0,0.0,1,1,0,1,1,1,0.08425160437882966,0.0,0.6931471805599452,0,422.26753568996287,0.0,1,0,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.0842516039999999,,0,0,0.084283694,0
2021,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,202.2,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024),90,20.12,-3.24,23.44,1199.7,1.96,1718.6,2547.7,-1.79,12.0,365,True,8.936584493813601,9.000135415725381,1,38112000.0,40613000.0,5011.982153953566,0,8.519586755345927,0,1,observed,단독단위_원값유지,38112000.0,40613000.0,8.936584493814,9.000135415725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.515884407748,0.0,0.0,6.0,2.562740117373,0,0.0,0.0,1,1,0,1,1,1,0.0842516043788299,0.0,0.6931471805599452,0,422.26753568996287,0.0,1,0,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.0842516039999999,,0,0,0.084283694,0
2022,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,321.26,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024),90,20.12,-3.45,23.3,1637.3,1.94,1737.2,2563.5,-0.59,12.0,365,True,8.645372066096646,9.147134923318228,1,28482000.0,47045000.0,5011.982153953566,0,8.519586755345927,0,1,observed,단독단위_원값유지,28482000.0,47045000.0,8.645372066097,9.147134923318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.622889827479,0.0,0.0,6.0,2.562740117373,0,0.0,0.0,0,1,1,1,1,1,0.08428306437957074,0.0,0.6931471805599452,0,422.4252126485262,0.0,1,0,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.084283064,,0,0,0.084283694,0
2023,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,321.87,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024),90,20.12,-3.48,24.17,1768.8,1.89,1867.8,2706.0,-1.17,12.0,365,True,10.130553647111498,9.379696209060484,1,125787000.0,59364000.0,5011.982153953566,0,8.519586755345927,0,1,observed,단독단위_원값유지,125787000.0,59364000.0,10.130553647112,9.37969620906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.320624787336,0.0,0.0,,,0,0.0,0.0,0,0,1,1,1,1,0.08428369379356007,0.0,0.6931471805599452,0,422.4283701972833,0.0,1,0,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.084283694,,0,0,0.084283694,0
2016,강원특별자치도,동해시,51170,0.0009995003330835,0.0002999550089979,1,0,25.8767,217.89,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019),106,6.02,0.06,23.43,924.5,1.98,1832.6,2703.6,-2.28,11.0,366,True,9.110636167875429,,1,42445000.0,0.0,4690.028793632587,0,8.453194000788768,0,1,observed,단독단위_원값유지,42445000.0,0.0,9.110636167875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,시군구직접_지방비,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0,1,0,0.20026645263032997,0.0527594279999999,0.0,0,939.2554309686672,247.4432364555853,0,0,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.200266453,,0,0,0.19816506,0
2017,강원특별자치도,동해시,51170,0.0,9.999500033330834e-05,0,0,25.8767,505.61,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),106,6.02,0.74,23.37,985.7,2.13,1829.8,2657.6,-1.52,12.0,365,True,7.792915727884926,9.180725124849197,1,11361000.0,45527000.0,4690.028793632587,0,8.453194000788768,0,1,observed,단독단위_원값유지,11361000.0,45527000.0,7.792915727885,9.180725124849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.800291801434,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0,1,1,0.20026645263032986,0.0527594279999999,0.0,0,939.2554309686672,247.4432364555853,0,0,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.200266453,,0,0,0.19816506,0
2018,강원특별자치도,동해시,51170,0.0,9.999500033330834e-05,0,0,25.8767,505.61,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),106,6.02,-2.42,23.45,1436.5,2.07,1681.5,2506.0,-0.97,12.0,365,True,7.799492858510389,8.823438394929974,1,11436000.0,31848000.0,4690.028793632587,0,8.453194000788768,0,1,observed,단독단위_원값유지,11436000.0,31848000.0,7.79949285851,8.82343839493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.735791516496,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0,1,1,0.19823196975530008,0.0527594279999999,0.6931471805599452,0,929.7136471185114,247.4432364555853,1,1,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.19823197,,0,0,0.19816506,0
2019,강원특별자치도,동해시,51170,0.0,0.0001999800026662,0,0,25.8767,217.89,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),106,6.02,-0.83,22.08,1532.8,2.03,1571.9,2383.6,-1.06,12.0,365,True,7.535896004177266,8.883832720586827,1,8785000.0,33831000.0,4690.028793632587,0,8.453194000788768,0,1,observed,단독단위_원값유지,8785000.0,33831000.0,7.535896004177,8.883832720587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.793856767411,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,1,1,1,0.1982319697553002,0.0527594279999999,1.0986122886681098,0,929.7136471185114,247.4432364555853,2,1,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.19823197,,0,0,0.19816506,0
