year,sigungu_cd,buffer_m,road_inter_ha
2023,11110,100,2.8768051120937765
2023,11140,100,0.0
2023,11170,100,0.0
2023,11200,100,0.0
2023,11215,100,0.0
2023,11230,100,0.0
2023,11260,100,0.6848673898810087
2023,11290,100,2.7996113065265353
2023,11305,100,0.0
2023,11320,100,0.0
2023,11350,100,12.663975636154609
2023,11380,100,0.0
2023,11410,100,2.8128979484820587
2023,11440,100,2.5138927439852368
2023,11470,100,0.0
2023,11500,100,1.177202253727145
2023,11530,100,0.0
2023,11545,100,1.3076795785895667
2023,11590,100,0.0
2023,11620,100,34.448420235898425
2023,11650,100,6.335605750191277
2023,11680,100,1.4495822173019077
2023,11710,100,0.3836997166914151
2023,11740,100,2.2249673669583987
2023,26110,100,0.0
2023,26140,100,0.15450536485523883
2023,26170,100,12.443904221317434
2023,26200,100,0.0
2023,26230,100,1.5040840037146979
2023,26260,100,8.699765737103505
2023,26290,100,10.24646340297893
2023,26320,100,14.161745400854057
2023,26350,100,75.80140149905804
2023,26380,100,0.019965259629185186
2023,26410,100,43.59820928579368
2023,26440,100,60.10125978898585
2023,26470,100,0.23542970002058705
2023,26500,100,8.322033935652488
2023,26530,100,0.0
2023,26710,100,289.3958494288821
2023,27140,100,102.32259369518589
2023,27170,100,0.7216109922877073
2023,27200,100,0.0
2023,27230,100,54.1137284270684
2023,27260,100,16.025685188311986
2023,27290,100,1.7953680418355895
2023,27710,100,126.34055633494724
2023,27720,100,206.64388854417504
2023,28110,100,3.947809946960742
2023,28177,100,0.0
2023,28185,100,0.0
2023,28200,100,3.761158715109761
2023,28237,100,1.011790479562176
2023,28245,100,0.22103071332448704
2023,28260,100,0.29149534953925643
2023,28710,100,2.1064771457068803
2023,28720,100,0.0
2023,29110,100,20.75767006722241
2023,29140,100,0.047064419028566916
2023,29155,100,18.41043234849533
2023,29170,100,7.489250687556078
2023,29200,100,57.98949049213035
2023,30110,100,18.060496544084227
2023,30140,100,6.4243099032621895
2023,30170,100,9.842082883039065
2023,30200,100,34.76026538337699
2023,30230,100,4.188884808967811
2023,31110,100,41.238551459580975
2023,31140,100,22.25406422529721
2023,31170,100,0.0
2023,31200,100,51.480992230200386
2023,31710,100,427.752649127801
2023,36110,100,28.796416331854264
2023,41111,100,3.281132544576074
2023,41113,100,3.0373118967785433
2023,41115,100,0.0
2023,41117,100,1.501011955767512
2023,41131,100,4.4255695413889855
2023,41133,100,2.0106660596249437
2023,41135,100,8.426323660716884
2023,41150,100,20.245140175644632
2023,41171,100,11.296758270928697
2023,41173,100,12.551008064147885
2023,41190,100,0.43057550954163637
2023,41210,100,2.6572943716499386
2023,41220,100,12.99873462772735
2023,41250,100,1.5607816587560213
2023,41271,100,5.648363881126483
2023,41273,100,1.0274786922671966
2023,41281,100,4.042151104002189
2023,41285,100,1.1696652904166105
2023,41287,100,0.0
2023,41290,100,0.3733619594934174
2023,41310,100,7.385565085267011
2023,41360,100,117.02267631449247
2023,41370,100,1.3833418578003664
2023,41390,100,10.524782357873756
2023,41410,100,5.617256110537937
2023,41430,100,7.002521547508232
2023,41450,100,6.901171118513415
2023,41461,100,44.47396090575274
2023,41463,100,11.29091841805506
2023,41465,100,1.3951608020048374
2023,41480,100,20.050386691616968
2023,41500,100,18.269475664861783
2023,41550,100,45.80739728877289
2023,41570,100,0.3239318122849168
2023,41590,100,55.92590242575033
2023,41610,100,63.8024907292907
2023,41630,100,53.07955848186113
2023,41650,100,230.60809342145478
2023,41670,100,61.951916485535925
2023,41800,100,22.49911634376189
2023,41820,100,327.83795806843904
2023,41830,100,173.90912340964277
2023,43111,100,39.7788305488421
2023,43112,100,8.270425445881836
2023,43113,100,6.6965653101597145
2023,43114,100,8.788316260444164
2023,43130,100,167.38086161040127
2023,43150,100,286.71745790359205
2023,43720,100,100.46874964954002
2023,43730,100,55.60174893345735
2023,43740,100,135.2089599153109
2023,43745,100,1.2259987564874415
2023,43750,100,39.6618912979124
2023,43760,100,333.4640867973516
2023,43770,100,46.40823348140113
2023,43800,100,293.5669657514474
2023,44131,100,35.339379010933044
2023,44133,100,6.832979047030672
2023,44150,100,154.63671519772345
2023,44180,100,252.84087469818596
2023,44200,100,44.12398055043681
2023,44210,100,211.28372143512388
2023,44230,100,30.51103600738407
2023,44250,100,6.323501318586376
2023,44270,100,118.75632932153344
2023,44710,100,82.90537528210308
2023,44760,100,67.50723893795094
2023,44770,100,163.37371759590135
2023,44790,100,178.7115550492554
2023,44800,100,114.05468023365033
2023,44810,100,79.5184970944516
2023,44825,100,259.89171553017025
2023,45111,100,10.758459293730319
2023,45113,100,4.433519780205162
2023,45130,100,73.01943980327992
2023,45140,100,16.821885954439438
2023,45180,100,223.26230842802198
2023,45190,100,607.7124678274611
2023,45210,100,31.427783299382792
2023,45710,100,117.48754261941886
2023,45720,100,139.85701360797339
2023,45730,100,145.33474861559344
2023,45740,100,190.76901767146614
2023,45750,100,252.22677504763212
2023,45770,100,185.42271180309316
2023,45790,100,158.2593672141192
2023,45800,100,151.53184556906254
2023,46110,100,9.106462460375731
2023,46130,100,240.56987660551803
2023,46150,100,355.5515455349288
2023,46170,100,101.41142582658438
2023,46230,100,145.2471641116229
2023,46710,100,124.39849276291365
2023,46720,100,119.50058072732799
2023,46730,100,113.30546346625634
2023,46770,100,333.6356712954717
2023,46780,100,246.3627062311076
2023,46790,100,180.01127116723555
2023,46800,100,180.24615498331156
2023,46810,100,124.61403136085062
2023,46820,100,278.56483638157556
2023,46830,100,76.61171875569359
2023,46840,100,154.48891333329658
2023,46860,100,92.37858325592985
2023,46870,100,128.13094651718484
2023,46880,100,226.4839959879148
2023,46890,100,115.82541686127843
2023,46900,100,182.76137114467238
2023,46910,100,136.01872025336087
2023,47111,100,189.8661775304724
2023,47113,100,367.17481430386107
2023,47130,100,625.3679423374087
2023,47150,100,179.96882570920724
2023,47170,100,545.2338717087115
2023,47190,100,222.53705358668668
2023,47210,100,189.88253034456142
2023,47230,100,361.48317877763105
2023,47250,100,206.03409318191316
2023,47280,100,115.86153366100996
2023,47290,100,78.07456166430178
2023,47730,100,402.4722269417548
2023,47750,100,286.4101064317433
2023,47760,100,185.12980561059814
2023,47770,100,504.6896118410124
2023,47820,100,232.58415079866396
2023,47830,100,208.12521727663915
2023,47840,100,204.36736834588075
2023,47850,100,213.35308901513872
2023,47900,100,125.59067604636701
2023,47920,100,560.8080666999496
2023,47930,100,683.8848659687155
2023,47940,100,60.98755449287094
2023,48121,100,96.21634065679346
2023,48123,100,23.03595474647444
2023,48125,100,273.009708759801
2023,48127,100,16.175670076819106
2023,48129,100,89.37935837901736
2023,48170,100,299.40018438783227
2023,48220,100,171.7217751634845
2023,48240,100,178.77212516884597
2023,48250,100,353.43141264423576
2023,48270,100,361.29447103162977
2023,48310,100,317.57070943077986
2023,48330,100,115.95578150856912
2023,48720,100,124.01434058658583
2023,48730,100,164.92390022056153
2023,48740,100,335.9282940598391
2023,48820,100,417.29291523222
2023,48840,100,211.12808332165625
2023,48850,100,172.20370086355285
2023,48860,100,331.46905202517047
2023,48870,100,346.657509279598
2023,48880,100,288.6403085488185
2023,48890,100,427.389462579484
2023,50110,100,13.049609311064621
2023,50130,100,4.036797246130675
2023,51110,100,506.84721628627807
