연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수
2016,강원특별자치도,강릉시,0.0,0,1.4188057941094652,-0.3554231270119258,0.3837692523680871,-0.7034189876379786,0.18593323295691194,0.11998789315318688
2017,강원특별자치도,강릉시,0.0,0,1.4236421522593732,0.2015376986180146,0.10111913491399674,-0.7316514771248677,0.24866187716662924,0.29784279125084007
2018,강원특별자치도,강릉시,0.0,0,1.4273779747201745,0.4456063828572671,0.6598233988354029,-0.7089852073400895,0.4559556372681887,0.38799971674578404
2019,강원특별자치도,강릉시,0.0,0,1.4273779747201745,1.2831283364183064,0.6638779072792427,-0.7080252949921289,0.6665897308563986,0.6674936720487841
2020,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.49049460516757704,0.6912197662605586,-0.6642022635862006,0.4963954265506096,0.4314539799806265
2021,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.29699661933221844,0.661977496328156,-0.674585564678633,0.4381145373355611,0.3634935510046962
2022,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.7357160698702876,0.7039822447798993,-0.6644016965412087,0.5608415541173704,0.5131279905631939
2023,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.26456756179559304,0.7311373456691725,-0.6406662981278901,0.45577705192434464,0.3639902873427354
2016,강원특별자치도,고성군,0.0,0,-0.5877987277990624,-0.7662908365992767,0.3837692523680871,-0.061541962498176894,-0.2579655686321072,-0.471877175632172
2017,강원특별자치도,고성군,0.0,0,-0.5840768603374551,-0.005979296644641696,0.711348555417926,-0.028682909043491134,0.02315237234808451,-0.20624635534186264
2018,강원특별자치도,고성군,0.0,0,-0.5771527249082069,0.2885083830008356,0.6598233988354029,-0.004909322020260787,0.09156743372694269,-0.0978512213092107
2019,강원특별자치도,고성군,0.0,0,-0.5771527249082069,0.0793097659140557,0.6638779072792427,0.09191219751041879,0.06448678644887756,-0.13531025382791081
2020,강원특별자치도,고성군,0.0,0,-0.557556422795553,0.3480496271602614,0.6912197662605586,0.13299575412172,0.15367718118674675,-0.025503680504523858
2021,강원특별자치도,고성군,0.0,0,-0.557556422795553,-0.6108692631203091,0.661977496328156,0.14691624717402668,-0.08988298560341983,-0.34050314624727845
2022,강원특별자치도,고성군,0.0,0,-0.557556422795553,-0.02187903620454723,0.7039822447798993,0.1681478350186964,0.07317365519962389,-0.13709587466046794
2023,강원특별자치도,고성군,0.0,0,-0.557556422795553,-0.39328558880004383,0.7311373456691725,0.19042243094568317,-0.0073205587451852655,-0.2534731935499712
2016,강원특별자치도,동해시,0.0009995003330835,1,1.3391621637096065,-1.041681076762452,0.3837692523680871,0.5680200851024109,0.3123176061044131,0.28850039068318845
