시도,시군구,구조적취약성지수,재발위험확률
울산광역시,동구,0.5046393021142437,0.9999626605515111
울산광역시,남구,-0.26819931590201906,0.999951303342336
울산광역시,북구,0.4829809868601961,0.9999352597602138
울산광역시,중구,0.34131186385669093,0.9999088781696928
경상북도,경주시,0.14362859877132272,0.9998038627868545
울산광역시,울주군,0.0769976085063395,0.999741022363116
경상남도,고성군,0.7243041612459569,0.9997219862810641
경상남도,거제시,0.4915757052209515,0.9997127009525572
부산광역시,기장군,0.6027132164195848,0.9996582514157791
경상남도,양산시,0.15787776887624155,0.999623011484716
경상남도,밀양시,0.5915574101092147,0.9995356924883471
경상남도,남해군,0.826339658943952,0.9994332830943696
경상남도,진주시,0.4364974559297566,0.9992787821709672
경상북도,청도군,-0.12488975463064311,0.9992569730119416
경상남도,함안군,0.24239193957689195,0.9992198128345405
경상남도,통영시,0.9036196684556694,0.9991917730093318
부산광역시,해운대구,0.9249283542340121,0.9991791124902049
경상남도,김해시,0.1875228365142408,0.9991612168288504
전라남도,여수시,0.7046539570685159,0.9991540537069136
경상남도,의령군,0.7767680912904004,0.999140482643391
경상남도,하동군,0.6508107778676951,0.9990869374677624
부산광역시,금정구,0.8234202953144589,0.9990820996532861
경상남도,사천시,0.5335414889591505,0.9990745929597301
경상남도,창원시,0.28588945257887705,0.9990626770008967
경상북도,영덕군,0.5629928541454596,0.9989692041452909
경상북도,칠곡군,-0.20741913792412953,0.9989034022974782
경상남도,창녕군,0.5441679148141605,0.9988663643022645
경상북도,고령군,0.6640442862581484,0.9988156529432574
전라남도,광양시,0.23878788924646283,0.9987863146138497
대구광역시,달성군,0.45879550023641313,0.9987700730423817
경상북도,영천시,-0.40102260615964086,0.998606496244018
경상북도,포항시,0.5944521286056972,0.9985527469505591
경상북도,김천시,-0.35513448210187737,0.9984134346785523
경기도,하남시,-0.009177159926111261,0.9984087675557476
전라남도,순천시,-0.23527658067758883,0.9984034433612997
경상북도,상주시,-0.13360577641234883,0.9983517567727163
경상북도,성주군,-0.29234647297484867,0.9983415214450845
경기도,남양주시,-0.1514639126883573,0.99813286379692
대구광역시,북구,0.05895734002535993,0.9980295265619115
대구광역시,달서구,0.2115548928492918,0.9980073883589602
경기도,용인시,-0.2607318212951476,0.9979909850799026
경상북도,의성군,0.45541010513865365,0.9979438361040287
대구광역시,동구,0.52221681170909,0.9978548552987484
경상북도,구미시,-0.1805182893602765,0.9976860420449225
경기도,성남시,-0.21116286975350473,0.9976304592079072
경기도,양평군,-0.27035622783015967,0.9975739145078582
경기도,가평군,-0.1335621903920621,0.997277576366588
대구광역시,서구,-0.4049121824919054,0.997167682140822
경기도,포천시,-0.30298905046418784,0.9967616644286236
강원특별자치도,홍천군,-0.23870543234844163,0.9962690641455019
경기도,이천시,-0.7361936100420731,0.9960694797522396
경기도,광주시,-0.5027297073882668,0.9960198920952397
경상북도,영주시,-0.09823485332659673,0.9951486209868843
경기도,연천군,-0.35195012842612833,0.9948103436677154
강원특별자치도,원주시,-0.5026795626253012,0.9921580603482408
부산광역시,북구,0.6038970416593014,0.9884663352284154
경상북도,안동시,0.3762937732994713,0.9881397372945318
부산광역시,강서구,0.07682436840126625,0.9870533728641665
경상남도,합천군,0.6908719689936504,0.9696044573250827
전북특별자치도,순창군,0.05035010212095477,0.9681454034195569
부산광역시,부산진구,0.13778189915755445,0.967233739805046
부산광역시,사하구,0.252486331602083,0.9569332868732306
부산광역시,남구,0.3064222887989991,0.9417985566756745
경상남도,산청군,0.760326011569776,0.9373922814287684
부산광역시,영도구,0.3880021859881473,0.9334365713053685
경기도,여주시,-0.5140881501507674,0.9168813261456917
경기도,안성시,-0.6818273602563527,0.9165020865804597
전북특별자치도,임실군,-0.5345418961792463,0.9073771249752576
강원특별자치도,춘천시,-0.3866659749725839,0.9034420091033942
전북특별자치도,익산시,-0.4882897009333938,0.9007255483993422
전라남도,무안군,0.18075112547986272,0.9004416201714596
경기도,동두천시,0.08258131631376703,0.8990160289321306
전북특별자치도,정읍시,-0.08425403932386812,0.8971044055034328
경기도,양주시,-0.12458083574768021,0.892639390063076
전라남도,보성군,-0.2864991766100435,0.8923798639268581
경상북도,경산시,0.32811354842328994,0.8801387434151626
전북특별자치도,군산시,-0.7020528585724624,0.8757784751394667
충청북도,단양군,-0.3160724871750481,0.8671219151549692
강원특별자치도,정선군,-0.09165899130725848,0.8501285937742304
충청남도,보령시,-0.016778000371259705,0.8414196193268991
강원특별자치도,횡성군,-0.03196091974065224,0.8379168200066949
충청북도,제천시,-0.632673975488091,0.830133247900552
충청남도,천안시,-0.9303522378463516,0.8053889024729091
충청남도,부여군,-0.551640946342396,0.8015453580818531
부산광역시,서구,0.23937121995283245,0.7809367442484133
충청남도,논산시,-0.572324131731768,0.7752238874494172
충청북도,영동군,-1.2172209645861527,0.7532612561043003
충청북도,청주시,-0.8976338780080887,0.7429794145061913
대구광역시,수성구,0.31576795843747757,0.70157432089704
경기도,평택시,-0.4081225318146816,0.5026695488187393
경상북도,예천군,-0.8429663263779131,0.5019537180441745
경상남도,함양군,-0.13603344070506523,0.4898150176693833
광주광역시,광산구,-0.18333813264671273,0.4618850755593797
충청남도,서천군,-0.2686561052198885,0.4292758989757583
전라남도,곡성군,0.1595393094394099,0.39479132275002954
경상남도,거창군,-0.1814836118072729,0.38193524428353237
광주광역시,서구,-0.3942649416898678,0.3714957406662472
충청남도,청양군,-0.38427277326665754,0.33904206813568166
경기도,화성시,-0.4570070330966859,0.3079521224010855
전북특별자치도,남원시,-0.16949218126665283,0.3054656627505479
부산광역시,수영구,0.03261672604479314,0.3050213565678932
전라남도,구례군,0.20247080078482302,0.30415688932306734
광주광역시,남구,-0.1466158938959766,0.29093422998335294
전라남도,담양군,0.2275123374328557,0.2806453073114639
경상북도,울진군,0.5972012039301584,0.2674205115596284
전라남도,장성군,-0.44347559843068224,0.2531548475582951
전북특별자치도,부안군,0.2651356309936589,0.2507205709648076
전라남도,고흥군,0.2557993965243881,0.2502015799849271
경상북도,청송군,0.3333521985829512,0.24734492479076572
강원특별자치도,인제군,0.27004684665151907,0.22364432322305058
부산광역시,사상구,0.3755001737521585,0.21792243139671055
경상북도,영양군,0.5146792660598626,0.21185551874187114
충청남도,태안군,0.18598867344287115,0.2046424986211147
대전광역시,유성구,-0.2572174756182049,0.19313011222899726
전라남도,해남군,0.09888918603295796,0.19035853593339666
전라남도,함평군,0.11073091846570364,0.1877471024881047
전북특별자치도,고창군,0.10242963351604771,0.18456410582859714
강원특별자치도,양양군,0.5651069290703143,0.1838216599763442
전라남도,영광군,0.4576865248201701,0.18341405317146472
전북특별자치도,김제시,-0.38515599847258053,0.17840946915189193
충청남도,금산군,-0.5269657880634049,0.17369334616603735
경상북도,봉화군,-0.21728085259798663,0.1720186767060995
전라남도,나주시,-0.10145531569317184,0.15688142772018618
전라남도,목포시,0.27309523950337494,0.14985768406103017
경기도,의정부시,-0.013107169761551435,0.14452163957019737
전북특별자치도,장수군,-0.45084524068412263,0.13720388119356214
전라남도,신안군,0.827568892926299,0.13291245997492424
전북특별자치도,전주시,-1.178619012520966,0.12558561257758374
경상북도,문경시,-0.1959755863717751,0.12529090411044436
충청남도,예산군,-0.36325452161234295,0.12070389543175274
부산광역시,동래구,0.1785660355784606,0.11665929576467299
경기도,의왕시,-0.005701424484741285,0.11615642738396773
전라남도,진도군,0.3986474637980746,0.11141118181640842
전라남도,화순군,0.27108845352202854,0.1101827878884675
전라남도,완도군,1.1208524497828285,0.10984998674229826
전북특별자치도,무주군,-0.20944975798166196,0.10835404814543768
경상북도,울릉군,-0.20059210815373824,0.10202101455404095
강원특별자치도,동해시,0.4206159845812391,0.10192004804918743
전북특별자치도,완주군,-0.4175462492062267,0.10009159061727162
대구광역시,남구,0.47746661785965916,0.0996444251557434
부산광역시,연제구,0.2597193545962236,0.09742174590608774
강원특별자치도,삼척시,0.4576890840480963,0.09353191916164189
충청남도,서산시,0.16596161891485095,0.09315903766506801
부산광역시,동구,0.20134240777889484,0.09244165755446286
경기도,수원시,-0.2403575458881152,0.08143593964883762
경기도,파주시,-0.8164416156537324,0.08120447395995764
광주광역시,동구,0.4532043331710165,0.08077790844815198
부산광역시,중구,-0.22192779333883664,0.07847947071412426
경기도,과천시,0.16638338974002798,0.07615327801411106
광주광역시,북구,0.08117179936227821,0.07343772925758645
충청남도,홍성군,0.16708942512111066,0.07176055090514377
충청북도,옥천군,-1.1578164782909843,0.07084012792720006
충청북도,증평군,-0.35938193582060685,0.06914673695502341
강원특별자치도,속초시,0.44129294166976907,0.06524252563028682
전라남도,영암군,0.0268187001141482,0.06296345163539067
전라남도,강진군,-0.01810050702469193,0.06285275478559417
전라남도,장흥군,-0.4299476761546238,0.06269074194886837
인천광역시,옹진군,0.9895016930597202,0.060532066204447
충청북도,충주시,-1.1879235417542446,0.059936981868962874
강원특별자치도,고성군,0.3348313358667111,0.059494140975988055
충청남도,당진시,-0.41431105799734635,0.058886228442997825
전북특별자치도,진안군,-0.7270435541485765,0.05880794721603032
강원특별자치도,영월군,0.05438025149405082,0.05855808375099273
충청남도,공주시,-0.5830011148549271,0.05819299852855058
충청남도,아산시,-0.647259113400563,0.05733847678081956
충청북도,진천군,-1.1148344362910168,0.057284128207656555
충청남도,계룡시,0.009424005459774981,0.055064134351022566
대전광역시,중구,-0.24252357397635105,0.05256095682392744
강원특별자치도,철원군,-0.25763484871016246,0.052175329064613106
강원특별자치도,강릉시,0.2504339015505238,0.0517589593778312
충청북도,보은군,-0.6697962081566693,0.050447185948963975
경기도,구리시,0.37813579844840084,0.05003424809246653
대전광역시,대덕구,-0.43295013205595245,0.049768650438944524
서울특별시,도봉구,-0.15226314368789712,0.04912430550019322
서울특별시,구로구,-0.11095044871689216,0.04888332407820563
인천광역시,중구,0.022231714014516984,0.048561592584553434
서울특별시,노원구,0.5605631692182746,0.047298516384176065
서울특별시,관악구,0.580837711841609,0.0466499995199244
서울특별시,종로구,0.5360415558634837,0.04628368887912046
강원특별자치도,화천군,0.14087911797184177,0.045763678369715934
서울특별시,서초구,0.23413102570608813,0.04532387610181368
강원특별자치도,태백시,-0.49518426953474143,0.04531870338779183
서울특별시,은평구,0.4979017342386328,0.04493202460416459
서울특별시,성북구,0.4025139480680139,0.0435967687851289
서울특별시,광진구,0.4143100236352619,0.043587210918778346
강원특별자치도,양구군,0.15720111828251304,0.04339827113121189
대전광역시,서구,-0.39155568623043246,0.0430768807196381
서울특별시,강북구,0.3588778881652198,0.042850575292041115
경기도,안산시,0.4200648844897614,0.04257261856526069
서울특별시,중랑구,0.30039503873382634,0.042511073232144675
서울특별시,용산구,0.3326412507400279,0.04245653065458003
서울특별시,강남구,0.07212269482995351,0.04183168649977072
인천광역시,서구,-0.23887602530854296,0.041724193268169396
서울특별시,동작구,0.09869900560719701,0.03996504898871984
강원특별자치도,평창군,-0.5521871118629251,0.03986426988839325
충청북도,음성군,-0.6408936805804796,0.039789194812681346
경기도,광명시,0.1899022609626737,0.03977732473924287
경기도,시흥시,-0.06641226714415575,0.03959212889080221
충청북도,괴산군,-0.5277983049736541,0.039400981645499024
경기도,오산시,0.15274444065297563,0.039203545537899925
경기도,군포시,-0.08101398621478514,0.038006930893822656
서울특별시,동대문구,0.05333362778120751,0.037931657907386895
서울특별시,중구,0.004863105398396003,0.0375974699628611
서울특별시,성동구,-0.07045652382366144,0.037173641130371755
서울특별시,강서구,0.13591513155040144,0.0357629148962155
경기도,부천시,-0.02072568557417513,0.03548330395918358
서울특별시,양천구,0.03685462824569815,0.03527556620222123
서울특별시,강동구,0.1299953622800617,0.03478371324599488
대전광역시,동구,-0.22638321748867057,0.034526481462637044
서울특별시,서대문구,0.3626709443089958,0.03438349899947917
서울특별시,송파구,-0.09685938559684884,0.03434458393018183
인천광역시,남동구,-0.22840516403448718,0.03353988772800709
인천광역시,계양구,-0.2943468668263442,0.033090678918591424
서울특별시,금천구,0.14905656749927682,0.033067536404648615
인천광역시,미추홀구,-0.24585985668764515,0.032487090802411675
경기도,고양시,-0.32882940876688194,0.032038121636801344
인천광역시,연수구,-0.4545129535929633,0.030792822567718814
인천광역시,강화군,-0.8247574347741806,0.03048198583444587
서울특별시,마포구,0.023480884684303392,0.030213325185748034
경기도,김포시,-0.4877991162142613,0.029803768991456134
인천광역시,부평구,-0.012792837126342119,0.029256224862122458
